evolution$generation,bodyWeight,energyIntake,energyGain,initialSatiation,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,energyAvg,frequencyOfMoveAvg,budgetAvg,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
1600,43.0,2.0,242.0,-496.0,1.0,0.5,0.5,0.5,0.5,0.5,66465.63088080114,8.840627302389223,11.45,1,"[35816.0]","[14.040627302389222]","[14.040627302389222]","[67234.63088080114]","[42.39120370370371]","[41.09041153562783]","[14.858796296296294]","[14.040627302389222]","[42.75]","[16.787706557204505]","[35259.85466666718]"
1600,44.0,9.0,231.0,-472.0,1.0,0.5,0.5,1.5,0.5,0.5,474.0,12.626315789473686,67.75092592592593,1,"[2541.0]","[9.210526315789473]","[9.210526315789473]","[1199.6057223038258]","[0.662037037037037]","[60.526315789473685]","[0.28703703703703703]","[9.210526315789473]","[99.05092592592592]","[11.842105263157894]","[1877.2856666672312]"
1600,45.0,2.0,203.0,-496.0,1.0,0.5,0.5,1.5,0.5,0.5,2914.7568615596642,10.844878209079681,65.19918981481479,100,"[2233.0,1421.0,1624.0,1421.0,13398.0,1421.0,5075.0,1827.0,2639.0,1421.0,1827.0,1218.0,1827.0,1624.0,1624.0,2030.0,1624.0,1827.0,1827.0,1218.0,1421.0,1624.0,1421.0,6496.0,1218.0,2639.0,1421.0,1421.0,1827.0,1421.0,7511.0,1421.0,1624.0,1218.0,1624.0,1421.0,2436.0,19488.0,1827.0,1421.0,2030.0,1421.0,1421.0,2233.0,1421.0,1624.0,1624.0,2233.0,1218.0,1421.0,1218.0,1827.0,1827.0,1218.0,1218.0,2233.0,2842.0,1624.0,1827.0,2030.0,1827.0,1421.0,2233.0,1421.0,1421.0,1827.0,1218.0,1421.0,1218.0,2030.0,2639.0,1218.0,1421.0,17864.0,6293.0,1218.0,5887.0,1218.0,1421.0,2842.0,1624.0,1218.0,1421.0,1218.0,1218.0,2030.0,1218.0,2030.0,1218.0,1624.0,2233.0,5481.0,1827.0,1421.0,1624.0,6699.0,3857.0,1421.0,1827.0,1421.0]","[22.22222222222222,0.0,0.0,0.0,7.858407079646018,0.0,9.83009708737864,0.0,11.11111111111111,0.0,14.565826330532214,28.37837837837838,15.306122448979592,0.0,0.0,16.265060240963855,21.715817694369974,18.886679920477135,26.31578947368421,0.0,19.0,17.15686274509804,24.873096446700508,17.94425087108014,0.0,0.0,25.660377358490567,0.0,25.49019607843137,0.0,10.53370786516854,0.0,24.0625,0.0,0.0,25.64102564102564,10.513447432762836,16.679841897233203,28.219696969696972,26.180257510729614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.818181818181817,0.0,28.171334431630974,9.473684210526317,0.0,0.0,19.63882618510158,17.84338896020539,0.0,24.815724815724817,27.205882352941174,24.899598393574294,29.589041095890412,19.305019305019304,0.0,14.388489208633093,0.0,0.0,0.0,0.0,20.833333333333336,0.0,26.82926829268293,0.0,9.531662269129287,14.043754410726889,31.799163179916317,9.57886044591247,26.506024096385545,0.0,19.784172661870503,23.056300268096514,0.0,28.63070539419087,0.0,16.216216216216218,11.025641025641026,0.0,0.0,23.387096774193548,27.85977859778598,20.659340659340657,0.0,24.776785714285715,26.923076923076923,27.130044843049326,16.641753861484805,19.21182266009852,0.0,0.0,25.97402597402597]","[22.22222222222222,0.0,0.0,0.0,7.858407079646018,0.0,9.83009708737864,0.0,11.11111111111111,0.0,14.565826330532214,28.37837837837838,15.306122448979592,0.0,0.0,16.265060240963855,21.715817694369974,18.886679920477135,26.31578947368421,0.0,19.0,17.15686274509804,24.873096446700508,17.94425087108014,0.0,0.0,25.660377358490567,0.0,25.49019607843137,0.0,10.53370786516854,0.0,24.0625,0.0,0.0,25.64102564102564,10.513447432762836,16.679841897233203,28.219696969696972,26.180257510729614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.818181818181817,0.0,28.171334431630974,9.473684210526317,0.0,0.0,19.63882618510158,17.84338896020539,0.0,24.815724815724817,27.205882352941174,24.899598393574294,29.589041095890412,19.305019305019304,0.0,14.388489208633093,0.0,0.0,0.0,0.0,20.833333333333336,0.0,26.82926829268293,0.0,9.531662269129287,14.043754410726889,31.799163179916317,9.57886044591247,26.506024096385545,0.0,19.784172661870503,23.056300268096514,0.0,28.63070539419087,0.0,16.216216216216218,11.025641025641026,0.0,0.0,23.387096774193548,27.85977859778598,20.659340659340657,0.0,24.776785714285715,26.923076923076923,27.130044843049326,16.641753861484805,19.21182266009852,0.0,0.0,25.97402597402597]","[3177.967551504681,1664.7100871988314,1820.015375770587,1633.0281763877858,21841.543929887426,1876.528894751424,9394.562939704552,2124.7768726395984,3926.214755989538,970.3587452463385,2736.9114063738148,1301.7575200790598,2506.7632083788912,1824.905055792247,1732.3065384002393,3042.1223536678563,2898.8510860490524,3975.064995391116,4082.322998887516,966.3550181037689,1777.9396479078273,2133.9394819836534,1670.340981376601,11501.541217530434,937.6727639366751,3287.6254073190403,2337.2351063380233,1697.8306028284392,2560.2447949310217,2015.4672383615596,11766.895325417605,1147.1061227865205,3383.6327728254646,969.8779581455615,1994.9469807957005,1882.800563131585,3471.3995409130707,36150.48523354401,3258.1462538039164,1730.1570919913277,2968.7138627742474,1409.1949153191595,1442.9904084960199,2628.481704129021,1654.0409836905676,2159.155997856403,1874.55718036342,3550.9795315669357,1198.191311121638,1449.3338756600606,1057.994338328777,3290.8554003896465,2241.94887561864,1271.318368235502,1237.5149387657389,3051.6798475921446,4996.530349606181,1827.7765403760955,2229.6999267956967,3505.078404001497,4462.24529948684,2405.3952951192805,4976.699460683835,1757.5355351552544,1607.2608625553225,2575.6183754999724,967.8165238977139,1403.9884913740505,931.6353174584419,2713.5227719211075,3854.958954414965,1032.4793641885822,1169.9082619488568,32428.65941297259,10273.49362075448,1009.2002149628046,11412.624462278338,1102.14835650403,1228.7639255178335,4710.787109641176,2506.8406655871477,909.8030458866256,3032.4907854633702,981.8240156926781,1281.6760983039903,2239.6302520111385,991.6656212617378,2626.108889115408,1234.4924240491762,2920.141572046165,3842.3162085835284,8828.634100024232,2507.3642748950847,2215.2036412593716,2589.40928520391,11862.644576332901,6262.7582572655765,1489.9565082674076,2091.600154601333,1717.9948070205223]","[2.5972222222222223,1.6527777777777777,1.8888888888888888,1.6527777777777777,15.905092592592593,1.6527777777777777,6.041666666666667,2.125,3.1203703703703702,1.6527777777777777,2.1967592592592595,1.4166666666666665,2.125,1.8888888888888888,1.8888888888888888,2.4212962962962963,1.8888888888888888,2.1921296296296298,2.1782407407407405,1.4166666666666665,1.6527777777777777,1.8888888888888888,1.726851851851852,7.805555555555556,1.4166666666666665,3.0694444444444446,1.6527777777777777,1.6527777777777777,2.125,1.6527777777777777,9.006944444444445,1.6527777777777777,1.8888888888888888,1.4166666666666665,1.8888888888888888,1.6527777777777777,2.8796296296296298,23.13888888888889,2.189814814814815,1.6527777777777777,2.361111111111111,1.6527777777777777,1.6527777777777777,2.5972222222222223,1.6527777777777777,1.8888888888888888,1.8888888888888888,2.5972222222222223,1.4166666666666665,1.6527777777777777,1.4166666666666665,2.125,2.125,1.4166666666666665,1.4166666666666665,2.634259259259259,3.363425925925926,1.8888888888888888,2.1620370370370368,2.361111111111111,2.2222222222222223,1.7685185185185186,2.752314814814815,1.6527777777777777,1.6527777777777777,2.125,1.4166666666666665,1.6527777777777777,1.4166666666666665,2.435185185185185,3.0694444444444446,1.4166666666666665,1.6527777777777777,21.13888888888889,7.442129629629629,1.5393518518518519,6.847222222222222,1.4166666666666665,1.6527777777777777,3.3055555555555554,2.0162037037037037,1.4166666666666665,1.6527777777777777,1.4166666666666665,1.4166666666666665,2.414351851851852,1.4166666666666665,2.361111111111111,1.4166666666666665,1.8888888888888888,2.5972222222222223,6.375,2.298611111111111,1.7175925925925923,1.8888888888888888,8.199074074074074,4.673611111111111,1.6527777777777777,2.125,1.6527777777777777]","[20.671834625322997,61.66666666666667,53.5483870967742,54.929577464788736,53.52212389380531,67.24137931034483,49.51456310679612,67.56756756756756,48.5838779956427,41.9753086419753,30.252100840336134,0.0,33.6734693877551,45.038167938931295,63.41463414634146,40.06024096385542,15.81769436997319,22.266401590457257,11.403508771929824,48.837209302325576,28.999999999999996,30.392156862745097,14.720812182741117,28.86178861788618,11.363636363636363,54.54545454545454,12.830188679245284,45.45454545454545,17.647058823529413,77.77777777777779,49.78932584269663,56.060606060606055,14.374999999999998,54.761904761904766,83.9080459770115,14.529914529914532,51.1002444987775,37.03557312252965,9.280303030303031,8.15450643776824,64.75770925110133,60.63829787234043,57.14285714285714,66.35514018691589,63.63636363636363,61.73913043478261,50.54945054945055,79.88165680473372,67.5,16.969696969696972,8.771929824561402,8.5667215815486,47.368421052631575,57.692307692307686,43.956043956043956,25.733634311512414,37.48395378690629,77.02702702702703,16.953316953316953,8.455882352941178,14.457831325301203,4.657534246575342,29.53667953667954,58.06451612903226,42.44604316546763,84.50704225352112,10.869565217391305,57.647058823529406,16.129032258064516,14.285714285714285,71.89542483660131,0.0,45.588235294117645,49.241424802110814,36.556104446012704,0.0,51.27993393889347,9.63855421686747,43.13725490196079,27.51798561151079,20.10723860589812,30.357142857142854,7.883817427385892,60.0,3.3783783783783785,44.35897435897436,12.195121951219512,72.91666666666666,0.0,5.904059040590406,19.340659340659343,64.11960132890366,8.258928571428571,5.029585798816568,11.210762331838566,34.32984554060787,33.66174055829228,59.036144578313255,76.33136094674556,16.883116883116884]","[0.3425925925925926,0.1388888888888889,0.3587962962962963,0.16435185185185186,5.18287037037037,0.2685185185185185,1.5324074074074074,0.2569444444444445,0.7731481481481481,0.1875,0.5115740740740741,0.09027777777777778,0.3148148148148148,0.3032407407407407,0.18981481481481483,0.45601851851851855,0.42824074074074076,0.5925925925925926,0.5694444444444444,0.09953703703703703,0.14351851851851852,0.23148148148148145,0.15046296296296297,2.2962962962962963,0.10185185185185185,0.6111111111111112,0.22685185185185186,0.17824074074074076,0.40509259259259256,0.10416666666666667,2.321759259259259,0.1527777777777778,0.28935185185185186,0.09722222222222222,0.2013888888888889,0.22453703703703703,0.6990740740740741,7.317129629629629,0.39814814814814814,0.2569444444444445,0.525462962962963,0.2175925925925926,0.19444444444444445,0.2476851851851852,0.2037037037037037,0.2662037037037037,0.21064814814814814,0.39120370370370366,0.0925925925925926,0.2152777777777778,0.13194444444444445,0.5347222222222222,0.3564814814814815,0.12037037037037038,0.21064814814814814,0.5833333333333334,1.0300925925925926,0.1712962962962963,0.43287037037037035,0.5717592592592593,0.47916666666666663,0.22453703703703703,0.6550925925925927,0.14351851851851852,0.22916666666666666,0.3287037037037037,0.21296296296296297,0.3935185185185185,0.07175925925925926,0.6041666666666666,0.35416666666666663,0.11574074074074073,0.1574074074074074,5.310185185185185,2.2314814814814814,0.032407407407407406,2.263888888888889,0.11574074074074073,0.11805555555555555,0.7777777777777778,0.33333333333333337,0.12962962962962962,0.4768518518518518,0.06944444444444445,0.17824074074074076,0.6481481481481481,0.09490740740740741,0.4444444444444444,0.08796296296296297,0.375,0.6180555555555556,1.3935185185185186,0.3472222222222222,0.19907407407407407,0.33333333333333337,2.678240740740741,0.6736111111111112,0.19212962962962965,0.39120370370370366,0.125]","[22.22222222222222,0.0,0.0,0.0,7.858407079646018,0.0,9.83009708737864,0.0,11.11111111111111,0.0,14.565826330532214,28.37837837837838,15.306122448979592,0.0,0.0,16.265060240963855,21.715817694369974,18.886679920477135,26.31578947368421,0.0,19.0,17.15686274509804,24.873096446700508,17.94425087108014,0.0,0.0,25.660377358490567,0.0,25.49019607843137,0.0,10.53370786516854,0.0,24.0625,0.0,0.0,25.64102564102564,10.513447432762836,16.679841897233203,28.219696969696972,26.180257510729614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.818181818181817,0.0,28.171334431630974,9.473684210526317,0.0,0.0,19.63882618510158,17.84338896020539,0.0,24.815724815724817,27.205882352941174,24.899598393574294,29.589041095890412,19.305019305019304,0.0,14.388489208633093,0.0,0.0,0.0,0.0,20.833333333333336,0.0,26.82926829268293,0.0,9.531662269129287,14.043754410726889,31.799163179916317,9.57886044591247,26.506024096385545,0.0,19.784172661870503,23.056300268096514,0.0,28.63070539419087,0.0,16.216216216216218,11.025641025641026,0.0,0.0,23.387096774193548,27.85977859778598,20.659340659340657,0.0,24.776785714285715,26.923076923076923,27.130044843049326,16.641753861484805,19.21182266009852,0.0,0.0,25.97402597402597]","[97.06018518518519,98.20833333333333,97.75231481481481,98.18287037037037,78.91203703703704,98.07870370370371,92.42592592592592,97.61805555555556,96.10648148148148,98.15972222222223,97.29166666666667,98.49305555555556,97.56018518518519,97.80787037037038,97.9212962962963,97.12268518518519,97.62268518518519,97.21527777777777,97.25231481481481,98.4837962962963,98.20370370370371,97.87962962962963,98.12268518518519,89.89814814814815,98.48148148148148,96.31944444444444,98.12037037037037,98.16898148148148,97.4699074074074,98.24305555555556,88.6712962962963,98.19444444444444,97.82175925925925,98.48611111111111,97.90972222222221,98.08333333333333,96.4212962962963,69.54398148148148,97.41203703703704,98.09027777777779,97.11342592592592,98.12962962962963,98.15277777777777,97.1550925925926,98.14351851851852,97.8449074074074,97.90046296296296,97.01157407407408,98.49074074074075,98.13194444444444,98.45138888888889,97.34027777777777,97.51851851851852,98.46296296296296,98.37268518518518,96.7824074074074,95.53703703703704,97.93981481481482,97.4050925925926,97.06712962962963,97.29861111111111,98.00694444444444,96.5925925925926,98.20370370370371,98.11805555555554,97.5462962962963,98.37037037037038,97.9537037037037,98.51157407407408,96.96064814814814,96.57638888888889,98.4675925925926,98.18981481481481,73.55092592592592,90.32638888888889,98.42824074074073,90.88888888888889,98.4675925925926,98.22916666666667,95.91666666666666,97.65046296296296,98.4537037037037,97.87037037037038,98.51388888888889,98.4050925925926,96.9375,98.48842592592592,97.19444444444446,98.49537037037037,97.66898148148148,96.78472222222221,92.23148148148148,97.35416666666666,98.08333333333333,97.77777777777777,89.12268518518518,94.65277777777777,98.1550925925926,97.4837962962963,98.22222222222223]","[12.661498708010335,38.333333333333336,46.45161290322581,45.07042253521127,22.902654867256636,32.758620689655174,20.99514563106796,32.432432432432435,18.082788671023962,58.0246913580247,26.05042016806723,14.864864864864865,20.408163265306122,54.961832061068705,36.58536585365854,11.144578313253012,19.034852546916888,21.07355864811133,9.649122807017543,51.162790697674424,14.000000000000002,18.137254901960784,10.65989847715736,17.305458768873404,88.63636363636364,45.45454545454545,10.18867924528302,54.54545454545454,5.88235294117647,22.22222222222222,18.609550561797754,43.93939393939394,13.4375,45.23809523809524,16.091954022988507,8.547008547008547,17.359413202933986,12.924901185770752,6.0606060606060606,13.304721030042918,35.24229074889868,39.361702127659576,42.857142857142854,33.64485981308411,36.36363636363637,38.26086956521739,49.45054945054945,20.118343195266274,32.5,17.575757575757574,91.22807017543859,6.919275123558484,24.210526315789473,42.30769230769231,56.043956043956044,15.349887133182843,8.985879332477536,22.972972972972975,8.5995085995086,9.926470588235293,10.843373493975903,6.575342465753424,12.548262548262548,41.935483870967744,14.388489208633093,15.492957746478872,89.13043478260869,42.35294117647059,83.87096774193549,23.214285714285715,28.104575163398692,19.51219512195122,54.41176470588235,22.163588390501317,21.312632321806635,4.602510460251046,19.983484723369116,10.843373493975903,56.86274509803921,13.129496402877697,10.723860589812332,69.64285714285714,6.224066390041494,40.0,47.97297297297297,22.564102564102566,87.8048780487805,27.083333333333332,29.838709677419356,10.516605166051662,18.681318681318682,35.880398671096344,17.410714285714285,14.201183431952662,7.399103139013453,15.744892874937719,8.70279146141215,40.963855421686745,23.668639053254438,5.194805194805195]","[1616.145333333109,895.071999999773,1071.0789999997733,811.2539999997732,12834.459666666247,923.6289999997728,6998.670999999784,1268.7089999997734,1977.0649999997747,784.2039999997726,1221.80266666644,642.252999999773,1281.1229999997709,953.4199999997728,979.7859999997731,1466.1046666664358,1096.365999999773,1187.1746666664403,1199.6016666664405,717.289999999773,753.2029999997733,986.3393333331063,790.309999999773,5876.218333333121,588.727999999773,2010.3419999997714,918.1559999997722,806.2529999997729,1214.6816666664358,859.675999999773,6886.63733333317,806.704999999773,1043.549666666439,647.8499999997731,1010.6579999997732,834.9726666664394,1849.854666666439,18951.25133333316,1323.6293333331037,754.8586666664404,1479.5989999997719,797.8439999997731,871.0089999997736,1648.0059999997725,904.097999999773,997.9779999997729,967.3359999997731,1584.4969999997725,620.0959999997731,789.4086666664396,610.1059999997731,1205.258333333104,1210.4119999997747,690.367999999773,718.9059999997729,1657.2639999997725,2330.678666666441,1126.6939999997726,1206.9989999997724,1434.306666666436,1290.3013333331037,918.9449999997723,2689.6133333331063,803.127999999773,890.011999999773,1219.573999999773,679.742999999773,886.5469999997727,592.4599999997731,1427.557999999775,2066.3819999997713,651.5199999997733,735.588999999773,17274.84899999962,5702.893333333104,670.1803333331065,5301.954333333117,679.9399999997732,802.1599999997729,2338.9069999997682,1069.866999999773,672.8869999997728,903.4049999997742,645.2879999997731,651.3879999997731,1458.5919999997693,598.308999999773,1443.1119999997718,635.1999999997734,1041.6066666664392,1730.1649999997708,4877.431999999801,1158.647333333107,767.4946666664398,1051.31966666644,6121.771666666473,3233.6289999997803,923.245999999773,1306.953999999773,828.7303333331054]"
1600,45.0,2.0,204.0,-395.0,1.0,0.5,0.5,0.5,0.5,0.5,21689.495090347573,3.7675711449371283,47.85277777777779,1,"[13056.0]","[8.967571144937128]","[8.967571144937128]","[22458.495090347573]","[15.25462962962963]","[51.29053606882859]","[5.592592592592593]","[8.967571144937128]","[79.15277777777779]","[21.806750496360028]","[12577.389333333036]"
1600,35.0,2.0,232.0,-472.0,1.0,0.5,0.5,0.5,1.5,0.5,7547.489456170935,4.729078014184398,60.45,1,"[4872.0]","[9.929078014184398]","[9.929078014184398]","[8316.489456170935]","[5.844907407407407]","[48.01418439716312]","[2.4050925925925926]","[9.929078014184398]","[91.75]","[22.198581560283685]","[4316.18999999955]"
1600,44.0,2.0,212.0,-405.0,1.0,0.5,0.5,1.5,1.5,0.5,61770.4960509724,8.97482497899749,12.169907407407411,1,"[36464.0]","[6.622794735368244]","[6.622794735368244]","[62539.4960509724]","[42.833333333333336]","[56.87482497899749]","[13.696759259259258]","[6.622794735368244]","[43.46990740740741]","[23.256790814897787]","[36030.109000001234]"
1600,45.0,2.0,203.0,-294.0,1.0,0.5,1.5,1.5,1.5,0.5,55116.61965396179,8.349032345378266,19.970833333333328,1,"[30856.0]","[12.39680606306672]","[12.39680606306672]","[55885.61965396179]","[36.36805555555556]","[52.1586141561781]","[12.36111111111111]","[12.39680606306672]","[51.27083333333333]","[10.650967654621734]","[30444.084666666728]"
1600,44.0,2.0,203.0,-381.0,1.0,0.5,1.5,0.5,0.5,0.5,50586.92917950447,11.318805447957018,14.75092592592593,1,"[35728.0]","[16.518805447957018]","[16.518805447957018]","[51355.92917950447]","[42.104166666666664]","[42.47157316006497]","[11.844907407407407]","[16.518805447957018]","[46.05092592592593]","[7.972010496063977]","[35215.667000000234]"
1600,40.0,2.0,207.0,-153.0,1.0,0.5,0.5,0.5,0.5,0.5,42445.86546950189,3.8119435396308363,30.05648148148148,1,"[24219.0]","[9.011943539630836]","[9.011943539630836]","[43214.86546950189]","[28.499999999999996]","[51.465798045602604]","[10.143518518518519]","[9.011943539630836]","[61.35648148148148]","[21.49837133550489]","[23968.995000000123]"
1600,44.0,2.0,208.0,-472.0,1.0,0.5,1.5,1.5,1.5,0.5,37584.48148474054,13.777101119332201,32.75787037037037,1,"[22464.0]","[9.201290077784103]","[9.201290077784103]","[38353.48148474054]","[26.210648148148145]","[61.6771011193322]","[9.731481481481481]","[9.201290077784103]","[64.05787037037037]","[10.7190286473155]","[21968.02700000063]"
