evolution$generation,bodyWeight,energyIntake,energyGain,initialSatiation,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,energyAvg,frequencyOfMoveAvg,budgetAvg,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
2300,42.0,2.0,206.0,-409.0,1.0,0.5,0.5,1.5,0.5,0.5,67025.62135061159,8.103936330393633,10.06574074074074,1,"[37080.0]","[13.303936330393634]","[13.303936330393634]","[67794.62135061159]","[44.09027777777778]","[40.600129060012904]","[14.543981481481483]","[13.303936330393634]","[41.36574074074074]","[19.488061948806195]","[36591.2383333334]"
2300,45.0,10.0,202.0,-478.0,1.0,0.5,0.5,1.5,0.5,0.5,10294.232666666421,3.525855513307981,59.89212962962962,1,"[12322.0]","[8.713561470215463]","[8.713561470215463]","[10531.848193508564]","[2.923611111111111]","[51.42585551330798]","[5.8842592592592595]","[8.713561470215463]","[91.19212962962962]","[22.433460076045627]","[11770.232666666421]"
2300,42.0,7.0,364.0,-351.0,1.0,0.5,1.5,1.5,0.5,0.5,490.5793984548129,42.09953596287703,67.46157407407408,1,"[2548.0]","[30.162412993039446]","[30.162412993039446]","[1259.579398454813]","[0.8425925925925926]","[5.800464037122969]","[0.39583333333333337]","[30.162412993039446]","[98.76157407407408]","[3.7122969837587005]","[1913.354999999669]"
2300,45.0,2.0,217.0,-483.0,1.0,0.5,0.5,0.5,0.5,0.5,94414.31600273808,8.003758158215593,13.3,1,"[50127.0]","[13.203758158215592]","[13.203758158215592]","[95183.31600273808]","[59.8125]","[41.38277271749265]","[22.1875]","[13.203758158215592]","[18.0]","[19.005952807860574]","[49522.82666666624]"
2300,42.0,2.0,205.0,-440.0,1.0,0.5,1.5,0.5,0.5,0.5,1863.4518319442868,10.121353913112742,65.84201388888891,100,"[11480.0,1435.0,1230.0,1435.0,2255.0,1435.0,1230.0,1435.0,1435.0,1435.0,1230.0,1230.0,1230.0,1230.0,4715.0,1845.0,1025.0,1435.0,1230.0,1640.0,1230.0,1640.0,3075.0,3895.0,1230.0,1435.0,1230.0,2460.0,4920.0,1230.0,1230.0,1230.0,1230.0,1025.0,1435.0,1435.0,1640.0,1025.0,3280.0,1435.0,1230.0,1230.0,5740.0,2050.0,1025.0,1640.0,1230.0,1435.0,1435.0,4510.0,1230.0,1640.0,1435.0,1640.0,1845.0,1845.0,1640.0,1435.0,1640.0,1435.0,1230.0,1435.0,1230.0,2050.0,2050.0,1230.0,1435.0,2050.0,1230.0,1230.0,1230.0,3075.0,1640.0,1230.0,3895.0,1640.0,1230.0,1230.0,1435.0,15580.0,1435.0,1025.0,1230.0,1230.0,8610.0,1230.0,1640.0,1435.0,1230.0,6970.0,1230.0,1025.0,4305.0,1230.0,1230.0,1435.0,1230.0,1230.0,1025.0,1230.0]","[18.548895899053626,24.187725631768952,6.25,27.34375,28.14814814814815,2.7027027027027026,9.30232558139535,32.469775474956826,2.941176470588235,4.081632653061225,4.838709677419355,0.0,7.142857142857142,31.674208144796378,13.051305130513052,4.0650406504065035,9.30232558139535,2.6785714285714284,11.11111111111111,28.67231638418079,6.521739130434782,29.783393501805055,20.079260237780712,1.9877675840978593,24.22680412371134,32.21884498480243,31.55339805825243,28.213166144200624,1.2269938650306749,3.9215686274509802,5.970149253731343,10.0,7.2727272727272725,12.5,4.201680672268908,27.80487804878049,29.213483146067414,7.6923076923076925,2.3904382470119523,29.72972972972973,4.545454545454546,8.0,15.628415300546447,24.62526766595289,8.333333333333332,10.569105691056912,6.0,3.75,25.333333333333336,14.463452566096425,29.68036529680365,3.296703296703297,3.7383177570093453,1.8404907975460123,28.964401294498384,4.2682926829268295,20.454545454545457,27.696078431372552,2.2556390977443606,21.768707482993197,32.06751054852321,25.995316159250585,23.56687898089172,22.878228782287824,21.442885771543086,28.99628252788104,24.503311258278146,22.76923076923077,32.666666666666664,10.714285714285714,30.218068535825545,24.424778761061948,0.0,4.040404040404041,22.92917166866747,30.878859857482183,7.2727272727272725,10.0,30.508474576271187,12.594670406732117,7.2727272727272725,8.333333333333332,8.108108108108109,2.1739130434782608,24.289503599848427,3.9215686274509802,27.173913043478258,22.84263959390863,3.125,9.266409266409266,31.963470319634702,6.896551724137931,26.329555361813426,5.357142857142857,29.03225806451613,1.282051282051282,4.705882352941177,22.47191011235955,16.666666666666664,2.2222222222222223]","[18.548895899053626,24.187725631768952,6.25,27.34375,28.14814814814815,2.7027027027027026,9.30232558139535,32.469775474956826,2.941176470588235,4.081632653061225,4.838709677419355,0.0,7.142857142857142,31.674208144796378,13.051305130513052,4.0650406504065035,9.30232558139535,2.6785714285714284,11.11111111111111,28.67231638418079,6.521739130434782,29.783393501805055,20.079260237780712,1.9877675840978593,24.22680412371134,32.21884498480243,31.55339805825243,28.213166144200624,1.2269938650306749,3.9215686274509802,5.970149253731343,10.0,7.2727272727272725,12.5,4.201680672268908,27.80487804878049,29.213483146067414,7.6923076923076925,2.3904382470119523,29.72972972972973,4.545454545454546,8.0,15.628415300546447,24.62526766595289,8.333333333333332,10.569105691056912,6.0,3.75,25.333333333333336,14.463452566096425,29.68036529680365,3.296703296703297,3.7383177570093453,1.8404907975460123,28.964401294498384,4.2682926829268295,20.454545454545457,27.696078431372552,2.2556390977443606,21.768707482993197,32.06751054852321,25.995316159250585,23.56687898089172,22.878228782287824,21.442885771543086,28.99628252788104,24.503311258278146,22.76923076923077,32.666666666666664,10.714285714285714,30.218068535825545,24.424778761061948,0.0,4.040404040404041,22.92917166866747,30.878859857482183,7.2727272727272725,10.0,30.508474576271187,12.594670406732117,7.2727272727272725,8.333333333333332,8.108108108108109,2.1739130434782608,24.289503599848427,3.9215686274509802,27.173913043478258,22.84263959390863,3.125,9.266409266409266,31.963470319634702,6.896551724137931,26.329555361813426,5.357142857142857,29.03225806451613,1.282051282051282,4.705882352941177,22.47191011235955,16.666666666666664,2.2222222222222223]","[18089.848109944698,1770.0674156049238,1055.9108216936588,2288.9215723467473,4015.8954981249126,1459.8761681911278,514.4621692685599,2043.8708859074138,1244.488563814593,1566.9479040158149,1015.992185355552,1524.9700129006794,892.6241735023318,2036.2174110179392,7756.6209157225985,1965.8424967917324,394.5073968680148,1363.551414462022,73.67717922473076,3892.9803992767174,862.0766439095883,2260.0280547760794,4841.001721313365,3646.966299986053,832.9276644499224,2601.4580493533244,2095.1212168613774,4283.778334714496,6157.203172183439,1118.6035082823346,601.164141564516,923.9289617362133,556.694457674173,436.4142135623731,842.5679660249375,1644.0424040288024,2700.089428483098,575.793898167312,4133.490485631478,1576.605065913443,519.2331195829286,747.8603567719565,8695.554954247626,2980.326335912775,693.4953415699761,1392.7864757550471,798.898095300583,1268.7423967128063,1743.232493411352,6959.858126884376,1211.0671537709475,1981.8790492828884,1014.106685846909,1747.9576751197465,3786.182510109658,1005.067275558614,1834.10480135616,1129.6928722883597,1566.479239996562,1780.25899416394,1241.0529573173885,1815.4966467713357,1387.8818561132487,3055.3944754804475,2747.320285271957,2323.5267535931425,1872.4132324669465,2617.8477430861194,2408.713991224068,679.5041085822248,1837.6285218032433,4717.804660130646,2714.5082741524643,638.1960308806954,6982.353204691476,1732.1556635269517,710.5972328374609,984.8746098563255,2243.995084590354,24101.114091589676,1609.8207280973368,787.4396134799806,931.0889647604236,1511.8688502199302,15740.33311794741,1200.9552333162123,3130.120287273756,1217.903662011071,1212.5148490518068,9145.57970885608,1288.0803025278576,841.3778568157271,8432.01641365612,769.3739187035422,1759.7491268471842,2273.9521379077573,727.6296316971096,1433.315733660884,254.43741917735127,1651.2338781606998]","[13.655092592592593,1.6689814814814814,1.4305555555555556,1.6689814814814814,2.9722222222222223,1.6689814814814814,1.4305555555555556,1.7314814814814814,1.6689814814814814,1.6689814814814814,1.4305555555555556,1.4305555555555556,1.4305555555555556,1.4976851851851851,5.483796296296297,2.1458333333333335,1.1921296296296295,1.6689814814814814,1.4305555555555556,2.175925925925926,1.4305555555555556,1.9074074074074072,3.6597222222222223,4.530092592592593,1.4305555555555556,1.733796296296296,1.5046296296296295,2.9375,5.722222222222222,1.4305555555555556,1.4305555555555556,1.4305555555555556,1.4305555555555556,1.1921296296296295,1.6689814814814814,1.6689814814814814,2.122685185185185,1.1921296296296295,3.8148148148148144,1.6689814814814814,1.4305555555555556,1.4305555555555556,6.844907407407408,2.384259259259259,1.1921296296296295,1.9074074074074072,1.4305555555555556,1.6689814814814814,1.6689814814814814,5.368055555555555,1.4305555555555556,1.9074074074074072,1.6689814814814814,1.9074074074074072,2.1458333333333335,2.1458333333333335,1.9699074074074074,1.7615740740740742,1.9074074074074072,1.6689814814814814,1.4305555555555556,1.6689814814814814,1.4305555555555556,2.384259259259259,2.5462962962962963,1.4305555555555556,1.6689814814814814,2.384259259259259,1.4305555555555556,1.4305555555555556,1.4305555555555556,3.576388888888889,1.9074074074074072,1.4305555555555556,4.685185185185185,2.1412037037037037,1.4305555555555556,1.4305555555555556,1.6689814814814814,18.525462962962962,1.6689814814814814,1.1921296296296295,1.4305555555555556,1.4305555555555556,10.18287037037037,1.4305555555555556,1.9074074074074072,1.7592592592592593,1.4305555555555556,8.106481481481481,1.4305555555555556,1.1921296296296295,5.006944444444445,1.4305555555555556,1.4305555555555556,1.6689814814814814,1.4305555555555556,1.4305555555555556,1.1921296296296295,1.4305555555555556]","[38.01261829652997,19.855595667870034,50.0,14.84375,13.703703703703704,74.32432432432432,51.162790697674424,0.8635578583765112,74.50980392156863,71.42857142857143,75.80645161290323,80.3921568627451,54.761904761904766,1.3574660633484164,55.26552655265527,69.10569105691057,30.23255813953488,67.85714285714286,29.629629629629626,10.451977401129943,60.86956521739131,8.664259927797833,29.45838837516512,79.96941896024465,20.618556701030926,1.6717325227963524,2.669902912621359,12.225705329153605,80.7361963190184,62.745098039215684,61.19402985074627,46.666666666666664,49.09090909090909,0.0,70.58823529411765,10.731707317073171,8.539325842696629,35.8974358974359,77.68924302788844,7.837837837837839,65.45454545454545,62.0,42.841530054644814,21.413276231263385,54.166666666666664,47.96747967479675,46.0,80.0,18.666666666666668,51.16640746500778,6.8493150684931505,83.51648351648352,77.57009345794393,77.30061349693251,11.326860841423949,79.26829268292683,30.844155844155846,12.009803921568627,62.40601503759399,26.87074829931973,0.0,12.646370023419204,27.388535031847134,23.985239852398525,29.859719438877757,9.66542750929368,21.192052980132452,25.846153846153847,0.0,35.714285714285715,5.607476635514018,23.1858407079646,96.25,64.64646464646465,24.009603841536613,5.463182897862233,60.0,56.666666666666664,6.214689265536723,53.15568022440392,65.45454545454545,62.5,54.054054054054056,82.6086956521739,23.72110647972717,78.43137254901961,15.65217391304348,22.84263959390863,70.3125,59.97425997425997,0.0,68.96551724137932,16.477768090671315,48.214285714285715,8.60215053763441,88.46153846153845,62.35294117647059,21.910112359550563,29.166666666666668,71.11111111111111]","[4.305555555555555,0.3310185185185185,0.06481481481481481,0.1851851851851852,0.39814814814814814,0.16203703703703703,0.08101851851851852,0.30787037037037035,0.2222222222222222,0.10416666666666667,0.12962962962962962,0.11805555555555555,0.08333333333333334,0.24305555555555555,1.9004629629629628,0.26157407407407407,0.08101851851851852,0.24537037037037035,0.09722222222222222,0.42592592592592593,0.0925925925925926,0.5185185185185185,0.8773148148148148,1.4537037037037037,0.13425925925925924,0.1851851851851852,0.125,0.5648148148148148,1.840277777777778,0.1087962962962963,0.13657407407407407,0.05555555555555555,0.1087962962962963,0.04166666666666667,0.2523148148148148,0.41898148148148145,0.21064814814814814,0.0763888888888889,0.5532407407407408,0.2384259259259259,0.23148148148148145,0.09722222222222222,1.2824074074074074,0.548611111111111,0.0462962962962963,0.44907407407407407,0.10185185185185185,0.1712962962962963,0.27083333333333337,0.9328703703703703,0.13425925925925924,0.19675925925925924,0.22916666666666666,0.36342592592592593,0.6018518518518519,0.3472222222222222,0.3564814814814815,0.3263888888888889,0.29398148148148145,0.3032407407407407,0.08796296296296297,0.3310185185185185,0.18981481481481483,0.6805555555555555,0.4953703703703704,0.26157407407407407,0.19675925925925924,0.32175925925925924,0.1712962962962963,0.05092592592592592,0.29398148148148145,0.6666666666666667,0.1851851851851852,0.21064814814814814,0.8842592592592593,0.13657407407407407,0.1087962962962963,0.05555555555555555,0.1875,5.75462962962963,0.1087962962962963,0.0462962962962963,0.07175925925925926,0.10185185185185185,2.6180555555555554,0.1087962962962963,0.4861111111111111,0.1550925925925926,0.1388888888888889,1.465277777777778,0.1087962962962963,0.057870370370370364,1.1712962962962963,0.11574074074074073,0.27083333333333337,0.17592592592592593,0.17824074074074076,0.22685185185185186,0.037037037037037035,0.09953703703703703]","[18.548895899053626,24.187725631768952,6.25,27.34375,28.14814814814815,2.7027027027027026,9.30232558139535,32.469775474956826,2.941176470588235,4.081632653061225,4.838709677419355,0.0,7.142857142857142,31.674208144796378,13.051305130513052,4.0650406504065035,9.30232558139535,2.6785714285714284,11.11111111111111,28.67231638418079,6.521739130434782,29.783393501805055,20.079260237780712,1.9877675840978593,24.22680412371134,32.21884498480243,31.55339805825243,28.213166144200624,1.2269938650306749,3.9215686274509802,5.970149253731343,10.0,7.2727272727272725,12.5,4.201680672268908,27.80487804878049,29.213483146067414,7.6923076923076925,2.3904382470119523,29.72972972972973,4.545454545454546,8.0,15.628415300546447,24.62526766595289,8.333333333333332,10.569105691056912,6.0,3.75,25.333333333333336,14.463452566096425,29.68036529680365,3.296703296703297,3.7383177570093453,1.8404907975460123,28.964401294498384,4.2682926829268295,20.454545454545457,27.696078431372552,2.2556390977443606,21.768707482993197,32.06751054852321,25.995316159250585,23.56687898089172,22.878228782287824,21.442885771543086,28.99628252788104,24.503311258278146,22.76923076923077,32.666666666666664,10.714285714285714,30.218068535825545,24.424778761061948,0.0,4.040404040404041,22.92917166866747,30.878859857482183,7.2727272727272725,10.0,30.508474576271187,12.594670406732117,7.2727272727272725,8.333333333333332,8.108108108108109,2.1739130434782608,24.289503599848427,3.9215686274509802,27.173913043478258,22.84263959390863,3.125,9.266409266409266,31.963470319634702,6.896551724137931,26.329555361813426,5.357142857142857,29.03225806451613,1.282051282051282,4.705882352941177,22.47191011235955,16.666666666666664,2.2222222222222223]","[82.03935185185185,98.0,98.50462962962962,98.14583333333333,96.56712962962963,98.16898148148148,98.48842592592592,97.96064814814814,98.10879629629629,98.22685185185185,98.43981481481482,98.45138888888889,98.48611111111111,98.25925925925925,92.61574074074073,97.5925925925926,98.72685185185185,98.08564814814815,98.47222222222223,97.39814814814814,98.47685185185185,97.57407407407406,95.46296296296296,94.01620370370371,98.33796296296296,98.00462962962962,98.37037037037038,96.49768518518519,92.4375,98.46064814814814,98.43287037037037,98.51388888888889,98.46064814814814,98.76620370370371,98.07870370370371,97.91203703703704,97.66666666666667,98.73148148148148,95.63194444444446,97.9837962962963,98.33796296296296,98.47222222222223,91.87268518518519,97.06712962962963,98.76157407407408,97.64351851851852,98.4675925925926,98.15972222222223,98.06018518518519,93.69907407407408,98.43518518518518,97.89583333333334,98.10185185185185,97.72916666666667,97.25231481481481,97.50694444444444,97.67361111111111,97.91203703703704,97.79861111111111,98.02777777777779,98.48148148148148,98.0,98.37962962962963,96.93518518518518,96.95833333333333,98.30787037037037,98.13425925925927,97.29398148148148,98.39814814814815,98.51851851851852,98.27546296296296,95.75694444444444,97.9074074074074,98.35879629629629,94.43055555555556,97.72222222222223,98.46064814814814,98.51388888888889,98.14351851851852,75.7199074074074,98.22222222222223,98.76157407407408,98.49768518518518,98.4675925925926,87.19907407407408,98.46064814814814,97.60648148148148,98.08564814814815,98.43055555555556,90.42824074074073,98.46064814814814,98.75,93.82175925925927,98.4537037037037,98.29861111111111,98.1550925925926,98.3912037037037,98.3425925925926,98.77083333333333,98.4699074074074]","[6.340694006309149,7.581227436823104,31.25,3.125,1.8518518518518516,17.56756756756757,20.930232558139537,1.7271157167530224,16.666666666666664,16.3265306122449,9.67741935483871,19.607843137254903,23.809523809523807,3.619909502262444,5.5805580558055805,18.69918699186992,41.86046511627907,24.107142857142858,37.03703703703704,3.531073446327684,19.565217391304348,1.9855595667870036,10.303830911492733,14.067278287461773,6.701030927835052,1.6717325227963524,2.669902912621359,3.1347962382445136,15.58282208588957,25.49019607843137,20.8955223880597,23.333333333333332,29.09090909090909,62.5,16.80672268907563,5.853658536585367,3.8202247191011236,41.02564102564102,15.139442231075698,2.9729729729729732,20.909090909090907,14.000000000000002,10.273224043715846,4.710920770877944,20.833333333333336,20.32520325203252,36.0,8.75,5.333333333333334,5.443234836702955,4.10958904109589,6.593406593406594,11.214953271028037,17.177914110429448,1.779935275080906,7.926829268292683,7.792207792207792,4.901960784313726,30.82706766917293,7.8231292517006805,3.79746835443038,9.367681498829041,1.910828025477707,7.380073800738007,5.811623246492986,3.3457249070631967,5.298013245033113,5.846153846153846,2.0,32.142857142857146,3.7383177570093453,3.5398230088495577,3.75,23.232323232323232,7.202881152460984,1.9002375296912115,18.181818181818183,13.333333333333334,2.2598870056497176,9.06030855539972,12.727272727272727,12.5,21.62162162162162,10.869565217391305,3.4103827207275486,9.803921568627452,2.8260869565217392,8.629441624365482,20.3125,12.226512226512225,4.10958904109589,10.344827586206897,4.533565823888405,35.714285714285715,4.301075268817205,7.6923076923076925,23.52941176470588,10.674157303370785,20.833333333333336,22.22222222222222]","[11000.40866666629,972.0226666663362,608.2939999996684,878.0739999996683,1633.5419999996634,857.354666666335,639.9849999996683,834.1809999996678,852.625333333001,807.1579999996682,740.899666666335,697.2289999996683,642.0166666663349,685.6306666663355,4194.065666666352,1215.936666666334,572.8853333330017,908.831666666335,596.617666666335,1199.2193333329994,682.9279999996684,1174.9733333329991,2515.5336666663316,3304.4823333329973,754.9953333330017,989.3919999996696,741.4979999996692,1880.18833333301,4321.786333332991,695.521666666335,746.823666666335,606.9209999996683,682.5773333330014,522.428666666335,842.6219999996679,922.5603333330027,1023.7283333330008,582.6049999996683,2711.0549999996656,870.6106666663347,768.041666666335,734.2943333330016,5146.028999999626,1553.588666666337,547.7999999996683,1039.3756666663353,613.977666666335,965.493666666335,975.3939999996699,3926.294666666336,632.830666666335,1076.9279999996684,983.2073333330015,1189.336666666335,1317.7809999996657,1216.6739999996685,1067.778333332999,940.3063333330024,1089.8266666663355,829.345999999669,638.7456666663346,992.7939999996701,703.3133333330021,1536.7413333329948,1502.115999999658,722.3533333330017,850.7376666663349,1456.6713333330015,688.1329999996676,615.5029999996683,789.1929999996685,2504.823999999663,1089.4989999996678,727.283666666335,3320.5206666663444,1075.5039999996702,758.3423333330015,727.4173333330016,818.4599999996686,15002.519333332959,810.6963333330018,576.3999999996684,647.8923333330016,725.363666666335,8117.655333332975,759.336666666335,1127.200666666338,807.9316666663346,742.7736666663349,6519.646333333041,595.3293333330014,580.481666666335,3784.368333333004,622.2693333330017,727.0013333330019,898.627333333002,780.7253333330016,688.6499999996689,547.3219999996683,759.005666666335]"
2300,44.0,2.0,212.0,-448.0,1.0,0.5,0.5,0.5,0.5,0.5,61778.01357549393,8.872580645161289,12.223148148148152,1,"[34556.0]","[14.07258064516129]","[14.07258064516129]","[62547.01357549393]","[40.90740740740741]","[39.516129032258064]","[15.569444444444445]","[14.07258064516129]","[43.52314814814815]","[18.266129032258064]","[34089.218000001885]"
2300,45.0,2.0,211.0,-468.0,1.0,0.5,0.5,1.5,1.5,0.5,53121.82491153498,5.839369158878505,17.461574074074075,1,"[32494.0]","[7.535046728971963]","[7.535046728971963]","[53890.82491153498]","[37.958333333333336]","[52.555490654205606]","[13.280092592592593]","[7.535046728971963]","[48.761574074074076]","[24.839369158878505]","[32003.80199999906]"
2300,42.0,2.0,203.0,-405.0,1.0,0.5,1.5,0.5,1.5,0.5,45872.585783699156,9.012484394506867,20.818055555555556,1,"[30450.0]","[12.60923845193508]","[12.60923845193508]","[46641.585783699156]","[36.12731481481482]","[52.18476903870163]","[11.75462962962963]","[12.60923845193508]","[52.11805555555556]","[9.987515605493133]","[29960.74866666699]"
2300,45.0,2.0,231.0,101.0,1.0,0.5,1.5,0.5,0.5,0.5,50583.82551988505,11.557555101113383,19.63981481481481,1,"[30492.0]","[16.757555101113383]","[16.757555101113383]","[51352.82551988505]","[36.32175925925926]","[41.456487162008635]","[12.738425925925926]","[16.757555101113383]","[50.93981481481481]","[8.270847534651216]","[31677.373000000294]"
2300,45.0,2.0,220.0,12.0,1.0,0.5,1.5,0.5,1.5,0.5,42900.09864950428,10.489152099330177,25.320370370370366,1,"[27720.0]","[10.096389478843326]","[10.096389478843326]","[43669.09864950428]","[32.66203703703704]","[58.389152099330175]","[10.717592592592592]","[10.096389478843326]","[56.62037037037037]","[11.321679464139846]","[27711.8313333333]"
