evolution$generation,evolution$evaluated,energyIntake,energyGain,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,month,objective$budgetFit,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
50,351,1.7661394253254574,283.1558491954402,14.344837774586722,0.9662521048861221,1.927324234456081,0.5057672845952723,1.6488740659422054,0.11355276521870426,6,0.8181818181818182,3,"[6795.740380690565,6937.318305288285,7078.896229886005]","[12.372448979591837,12.67840259330962,12.923538748188532]","[0.5731011412829594,0.5634920634920635,0.47407142377960154]","[703.7462640201669,448.0910393521183,617.360475540684]","[8.89236111111111,9.07986111111111,9.26736111111111]","[0.33420758496287195,0.13812154696132595,0.28687210764690896]","[31.041666666666668,32.42824074074074,31.385416666666668]","[13.576373041229271,13.508490326940947,14.967147082045312]","[60.0625,58.67824074074073,59.34606481481482]","[73.21428571428572,73.16060947412106,72.51403908874667]","[8893.398631804455,8170.790131804455,8669.714631804454]"
50,351,0.38849118832401214,493.00424008191715,12.362866842659143,0.4065302492578623,0.6880914294449404,0.1812671370028191,1.885501972108137,0.5889487559732478,2,0.7272727272727273,1,"[2465.0212004095856]","[11.256654525077053]","[0.0]","[189.24211075248544]","[14.6875]","[0.5813953488372093]","[64.66087962962962]","[14.585166561910746]","[20.18402777777778]","[72.36079452946923]","[6442.358084481742]"
50,351,0.38849118832401214,493.00424008191715,12.362866842659143,0.4065302492578623,0.6880914294449404,0.1812671370028191,1.885501972108137,0.5889487559732478,5,0.7272727272727273,1,"[1972.0169603276686]","[12.708788171180622]","[0.20021656098820395]","[17944.871449490445]","[11.75]","[0.5895133703466329]","[75.55208333333334]","[13.814075384705022]","[12.697916666666668]","[72.73028545120818]","[56156.79958448149]"
50,351,7.2129194104290235,463.62968052402107,13.079327363180171,0.5507953649935278,1.352265988002775,1.349877498407781,1.5980675188998412,0.7142868713600908,6,0.8181818181818182,2,"[7881.704568908355,7649.889728646345]","[12.70874533069655,12.387687598736177]","[0.0,0.0]","[506.23697275427867,421.04032824327953]","[2.520833333333333,2.520833333333333]","[0.2066115702479339,0.0]","[1.0983796296296298,0.9930555555555556]","[12.987012987012985,12.028230676328503]","[96.37731481481481,96.4502314814815]","[72.51126126126127,74.09573108384458]","[7704.5051343275645,7450.378634327565]"
50,351,0.26911640823594846,464.2770586938206,6.7776748567787095,0.6414046468620659,0.6641485039423508,0.5049964477897972,1.8790094356426585,0.24977509450772564,6,0.8181818181818182,3,"[3714.2164695505644,3714.2164695505644,3714.2164695505644]","[11.677489177489177,10.334928229665072,14.065192956163358]","[0.0,0.0,0.0]","[226.12356405459656,148.56796990366306,216.49804594778217]","[34.53472222222222,31.944444444444443,34.09027777777778]","[0.0,0.0,0.0]","[0.9537037037037037,1.068287037037037,0.9502314814814814]","[10.994505494505495,12.199248120300751,12.18338023996445]","[64.40625,64.11805555555556,63.56597222222223]","[73.86868686868686,77.0650813516896,72.615168123241]","[3865.6084312526673,3655.6974312526663,3869.636431252667]"
50,351,7.3845274449067215,36.21864770769841,11.772668404021289,0.5108866551858374,1.4259163906574301,0.42561806195348184,1.90952061700732,0.22481328876415355,12,0.7272727272727273,1,"[2281.774805585001]","[14.073214361770091]","[0.0]","[489.70082543627166]","[0.7418981481481481]","[0.18867924528301888]","[94.93287037037037]","[15.387988307201699]","[4.467592592592593]","[70.09433962264151]","[6986.61183393305]"
50,351,5.119855600624039,299.0904972670225,8.273621003752492,1.1226469305290072,1.9480998798630553,1.395204631940478,1.8132942370738394,0.16700492875844763,7,0.8409090909090909,4,"[5383.628950806404,5383.628950806404,5234.083702172893,4934.99320490587]","[13.19767441860465,12.94572331302189,13.755904675972612,14.052287581699346]","[0.8980167119702003,0.0,0.32679738562091504,0.0]","[488.08740140286693,436.55421343373484,385.680278118504,291.5845222285104]","[2.4189814814814814,2.4166666666666665,2.351851851851852,2.2199074074074074]","[0.0,0.23696682464454977,0.0,0.0]","[1.042824074074074,0.8877314814814814,0.8252314814814814,1.1631944444444444]","[12.41778247592201,13.513387006178618,13.79045594141271,12.112598569594718]","[96.50462962962963,96.62268518518519,96.79513888888889,96.41435185185185]","[72.21349256232978,73.02546744036107,71.40620106482932,72.82697659191356]","[5360.581081803411,5220.209081803412,5078.37008180341,4786.978081803411]"
50,351,9.401455634865002,130.3921171264516,13.20387513385219,0.5512972576819126,0.6982810302232577,0.8837069080070135,1.6846501495747097,0.6132535154622278,4,0.7272727272727273,2,"[1564.7054055174196,1564.7054055174196]","[12.831678595102321,12.945006937234695]","[0.1740109058425593,0.169494271915046]","[21846.7861296739,22217.895159590167]","[0.3888888888888889,0.3888888888888889]","[0.7008433726050279,0.6559635989999402]","[88.19097222222223,89.42824074074075]","[13.80192230904186,13.686743804716814]","[11.42013888888889,10.18287037037037]","[72.70668525510283,72.3911386072148]","[67363.38956424463,68361.65356424493]"
50,351,3.4175600694361257,398.98134415022315,10.632721904324715,0.6866881654227902,1.965303358610092,0.14629461688651305,1.9587865568809144,0.7898433188720677,3,0.8181818181818182,2,"[3590.832097352009,3590.832097352009]","[12.940458932095538,13.145536247694746]","[0.1886965104258319,0.20684165252108624]","[24603.380778107432,22377.604507251075]","[2.4375,2.4375]","[0.7715235433750789,0.6735033259423503]","[46.9212962962963,45.388888888888886]","[13.851994144495567,13.957225476345435]","[50.64120370370371,52.173611111111114]","[72.22416654303385,71.9157038737454]","[73988.34451407517,67414.12801407519]"
50,351,8.777992249698427,133.58253365457225,11.002249211603264,0.2989593790073104,1.6723473319306617,0.9264124708402903,1.8408655888996075,0.9292524216127747,6,0.6363636363636364,2,"[3139.1895408824475,2404.4856057823004]","[13.273508037877118,12.937668333974607]","[0.3649682607958915,0.4763409788694239]","[504.4641584919067,549.6723620168146]","[0.8159722222222222,0.6296296296296297]","[0.0,0.0]","[75.78356481481481,78.00231481481481]","[13.639296840231419,13.746162181686833]","[23.380787037037038,21.266203703703702]","[72.41183502689779,71.83468705207835]","[6696.485121570646,6835.480121570647]"
