evolution$generation,evolution$evaluated,energyIntake,energyGain,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,month,objective$budgetFit,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
100,728,6.952430430214778,22.07103182055505,13.709581458163578,0.14671525511461186,1.1168083354587282,0.2582996045161802,1.9099689252967422,0.26558982666657427,9,0.8181818181818182,1,"[364.1720250391583]","[14.609904746528898]","[0.2777777777777778]","[530.6150530111524]","[0.12152777777777779]","[0.1388888888888889]","[99.8587962962963]","[15.982404692082111]","[0.0023148148148148147]","[68.03821386461891]","[8062.70759992091]"
100,728,6.952430430214778,22.07103182055505,13.709581458163578,0.14671525511461186,1.1168083354587282,0.2582996045161802,1.9099689252967422,0.26558982666657427,8,0.8181818181818182,1,"[1213.9067501305285]","[13.309999725307426]","[0.10526315789473684]","[944.7723511548309]","[0.4027777777777778]","[0.5464426877470355]","[98.68287037037037]","[14.190949899189713]","[0.8819444444444444]","[72.12967986977753]","[9229.88409992091]"
100,728,5.119855600624039,299.0904972670225,8.273621003752492,1.1226469305290072,1.9480998798630553,1.395204631940478,1.8132942370738394,0.16700492875844763,7,0.8409090909090909,4,"[5383.628950806404,5383.628950806404,5234.083702172893,4934.99320490587]","[13.19767441860465,12.94572331302189,13.755904675972612,14.052287581699346]","[0.8980167119702003,0.0,0.32679738562091504,0.0]","[488.08740140286693,436.55421343373484,385.680278118504,291.5845222285104]","[2.4189814814814814,2.4166666666666665,2.351851851851852,2.2199074074074074]","[0.0,0.23696682464454977,0.0,0.0]","[1.042824074074074,0.8877314814814814,0.8252314814814814,1.1631944444444444]","[12.41778247592201,13.513387006178618,13.79045594141271,12.112598569594718]","[96.50462962962963,96.62268518518519,96.79513888888889,96.41435185185185]","[72.21349256232978,73.02546744036107,71.40620106482932,72.82697659191356]","[5360.581081803411,5220.209081803412,5078.37008180341,4786.978081803411]"
100,728,9.822132621049446,482.4399301148482,12.285210233861358,1.0990204836211417,1.3514800724922311,0.28415792172019183,1.0307027220150005,0.7430706540640716,3,0.8181818181818182,2,"[4341.959371033634,4341.959371033634]","[12.940875305283814,13.15654672663668]","[0.17206864162730034,0.1817583814260812]","[17898.358772950498,17460.862397800036]","[1.0208333333333333,1.0208333333333333]","[0.7261112869124231,0.677320831925746]","[40.795138888888886,40.523148148148145]","[13.63501166234948,13.858133070711474]","[58.18402777777777,58.45601851851852]","[72.56309561200786,72.16313941625098]","[56169.1744122564,54835.91591225628]"
100,728,9.064924386299712,282.84764337219804,12.787196494137548,1.2920153959880825,1.8326529208259414,0.8606119212583467,1.5473149125953982,0.14784655109828193,7,0.8181818181818182,1,"[5091.257580699565]","[13.405381121150103]","[0.5564556425359235]","[543.7645836092976]","[1.2939814814814814]","[0.0]","[44.85069444444445]","[13.032246792791893]","[53.855324074074076]","[73.48842522083461]","[7710.768817185711]"
100,728,9.064924386299712,282.84764337219804,12.787196494137548,1.2920153959880822,1.8326528399314104,0.8606119212583467,1.5473149125953982,0.1478465510982819,8,0.8181818181818182,1,"[7495.462549363248]","[13.924698606380979]","[0.0]","[423.68678517068065]","[2.013888888888889]","[0.20325203252032523]","[1.2291666666666667]","[14.290854631034348]","[96.75694444444444]","[70.04088079531729]","[7300.972817185713]"
100,728,9.064924386299712,282.84764337219804,12.787196494137547,1.2920150508407284,1.8326528399314104,0.8606119212583467,1.5473149125953982,0.1478465510982819,2,0.8181818181818182,1,"[1272.8143951748912]","[13.78654970760234]","[0.0]","[232.0229483699851]","[0.32291666666666663]","[0.7148395851507221]","[86.20486111111111]","[14.589727849396358]","[13.400462962962962]","[71.36243386243386]","[6811.033817185713]"
100,728,9.064924386299712,282.84769066177296,12.787195943705344,1.2920153959880822,1.8326528399314104,0.8606119212583467,1.5473152125531004,0.14784655109828193,5,0.8181818181818182,1,"[1131.3907626470918]","[12.706098784805143]","[0.1776223260080791]","[37695.83283425255]","[0.28703703703703703]","[0.6944754267298943]","[90.07291666666666]","[13.407043641841323]","[9.640046296296298]","[73.03037750335811]","[110995.5940529725]"
100,728,8.777992249698427,133.58253365457225,11.002249211603264,0.2989593790073104,1.6723473319306617,0.9264124708402903,1.8408655888996075,0.9292524216127747,6,0.6363636363636364,2,"[3139.1895408824475,2404.4856057823004]","[13.273508037877118,12.937668333974607]","[0.3649682607958915,0.4763409788694239]","[504.4641584919067,549.6723620168146]","[0.8159722222222222,0.6296296296296297]","[0.0,0.0]","[75.78356481481481,78.00231481481481]","[13.639296840231419,13.746162181686833]","[23.380787037037038,21.266203703703702]","[72.41183502689779,71.83468705207835]","[6696.485121570646,6835.480121570647]"
100,728,7.470011044187876,210.875228758805,4.176995091249768,0.7384177017300717,0.7426093912359116,0.9673568518258233,1.9373873388413982,0.6940408153114987,3,0.8181818181818182,2,"[1897.8770588292448,1897.8770588292448]","[12.95699879241332,12.953992037251798]","[0.17736580163594817,0.1515615391692523]","[11330.355659784456,11373.463936422986]","[0.5833333333333334,0.5833333333333334]","[0.6722312786103154,0.7361460749794525]","[42.58796296296296,43.267361111111114]","[13.605633666093645,13.756738002253037]","[56.8287037037037,56.14930555555556]","[72.38750608486033,72.21938485983429]","[32891.98664380082,33583.54014380071]"
