brachiation,brachiationSpeed,climb,descent,energyExpenditure,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
50.0,1.7,31.25,18.75,665.3230000005756,0.3194444444444445,99.58333333333333,-1883178396,0.0,765.0,63.562774063306996,0.09722222222222222,0.0
50.0,1.7,12.5,37.5,612.0710000005756,0.3194444444444445,99.64351851851852,1096627890,0.0,765.0,22.64508368298458,0.037037037037037035,0.0
50.0,1.7,20.0,30.0,616.4360000005756,0.3194444444444445,99.61574074074075,782156915,0.0,765.0,43.49169484027032,0.06481481481481481,0.0
40.0,1.7,10.0,40.0,611.8820000005755,0.3194444444444445,99.63888888888889,-1738386243,10.0,765.0,26.402242550800327,0.04166666666666667,0.0
50.0,1.7,8.333333333333332,41.66666666666667,608.0580000005756,0.3194444444444445,99.62037037037037,1841793990,0.0,765.0,38.00469856663914,0.06018518518518519,0.0
50.0,1.7,10.0,40.0,607.9090000005756,0.3194444444444445,99.62731481481481,-104236678,0.0,765.0,35.00278945756139,0.05324074074074074,0.0
50.0,1.7,10.0,40.0,646.8330000005756,0.3194444444444445,99.5949074074074,-1468319395,0.0,765.0,56.856230665184114,0.08564814814814815,0.0
50.0,1.7,14.285714285714285,35.714285714285715,617.1330000005756,0.3194444444444445,99.60185185185185,-444402004,0.0,765.0,52.509496474758095,0.0787037037037037,0.0
50.0,1.7,18.75,31.25,621.6190000005756,0.3194444444444445,99.57870370370371,507871572,0.0,765.0,68.51994298584809,0.10185185185185185,0.0
50.0,1.7,10.0,40.0,611.7790000005756,0.3194444444444445,99.6111111111111,1049825061,0.0,765.0,46.166433675106106,0.06944444444444445,0.0
50.0,1.7,18.75,31.25,657.0870000005756,0.3194444444444445,99.58564814814815,-453403991,0.0,765.0,61.4302425217071,0.09490740740740741,0.0
50.0,1.7,12.5,37.5,643.7290000005756,0.3194444444444445,99.58101851851852,-1874925424,0.0,765.0,66.78136719693174,0.09953703703703703,0.0
50.0,1.7,16.666666666666664,33.33333333333333,611.5150000005756,0.3194444444444445,99.65046296296296,1886603717,0.0,765.0,18.47411034111828,0.030092592592592594,0.0
50.0,1.7,20.0,30.0,627.0610000005756,0.3194444444444445,99.625,1464652099,0.0,765.0,38.460797337825376,0.05555555555555555,0.0
50.0,1.7,16.666666666666664,33.33333333333333,660.7970000005756,0.3194444444444445,99.57175925925927,-1964966746,0.0,765.0,72.51379090027338,0.1087962962962963,0.0
50.0,1.7,20.0,30.0,642.7900000005756,0.3194444444444445,99.5949074074074,-648029872,0.0,765.0,58.42583688006066,0.08564814814814815,0.0
50.0,1.55,18.75,31.25,662.1760000005756,0.3194444444444445,99.58333333333333,1939297125,0.0,765.0,58.08795010206828,0.09722222222222222,0.0
45.83333333333333,1.7,20.833333333333336,29.166666666666668,663.3710000005756,0.3194444444444445,99.54861111111111,109876737,4.166666666666666,765.0,87.4171965851586,0.13194444444444445,0.0
50.0,1.7,28.57142857142857,21.428571428571427,632.7990000005756,0.3194444444444445,99.59953703703704,-663014547,0.0,765.0,53.982244793859664,0.08101851851851852,0.0
50.0,1.7,21.428571428571427,28.57142857142857,638.8720000005756,0.3194444444444445,99.5949074074074,243491763,0.0,765.0,55.550596384239334,0.08564814814814815,0.0
50.0,1.7,25.0,25.0,631.4490000005756,0.3194444444444445,99.60185185185185,268063888,0.0,765.0,52.36488861157505,0.0787037037037037,0.0
50.0,1.55,12.5,37.5,611.2910000005757,0.3194444444444445,99.625,141089604,0.0,765.0,33.61404412886036,0.05555555555555555,0.0
50.0,1.7,31.25,18.75,662.4390000005756,0.3194444444444445,99.58564814814815,-1824133068,0.0,765.0,64.44832696340274,0.09490740740740741,0.0
50.0,1.7,20.0,30.0,611.1230000005756,0.3194444444444445,99.6087962962963,452520879,0.0,765.0,47.79786354912028,0.07175925925925926,0.0
50.0,1.7,6.25,43.75,612.7210000005756,0.3194444444444445,99.58796296296296,-1316948099,0.0,765.0,61.168796314982956,0.0925925925925926,0.0
50.0,1.7,0.0,50.0,606.0390000005756,0.3194444444444445,99.63657407407408,-796296256,0.0,765.0,29.349452241730752,0.04398148148148148,0.0
42.857142857142854,1.55,14.285714285714285,35.714285714285715,612.5340000005756,0.3194444444444445,99.58796296296296,-1457755416,7.142857142857142,765.0,54.79786354912028,0.0925925925925926,0.0
43.75,1.7,6.25,43.75,613.0510000005756,0.3194444444444445,99.58564814814815,1603749887,6.25,765.0,61.11878319201273,0.09490740740740741,0.0
50.0,1.7,16.666666666666664,33.33333333333333,621.7240000005756,0.3194444444444445,99.61342592592592,575594666,0.0,765.0,44.89351883989569,0.06712962962962962,0.0
50.0,1.7,22.22222222222222,27.77777777777778,658.5230000005756,0.3194444444444445,99.56712962962962,388381261,0.0,765.0,73.62276594772912,0.11342592592592593,0.0
50.0,1.55,14.285714285714285,35.714285714285715,641.8230000005756,0.3194444444444445,99.58333333333333,-2038246932,0.0,765.0,57.96662629249005,0.09722222222222222,0.0
50.0,1.7,12.5,37.5,640.7890000005756,0.3194444444444445,99.6087962962963,352435726,0.0,765.0,49.815897790354384,0.07175925925925926,0.0
50.0,1.7,20.0,30.0,660.8860000005756,0.3194444444444445,99.56944444444444,1983089832,0.0,765.0,74.82154838598,0.1111111111111111,0.0
50.0,1.7,16.666666666666664,33.33333333333333,622.4240000005756,0.3194444444444445,99.625,-457530665,0.0,765.0,36.05916285676373,0.05555555555555555,0.0
50.0,1.55,25.0,25.0,619.3630000005755,0.3194444444444445,99.62268518518519,1972374049,0.0,765.0,36.08546719042422,0.057870370370370364,0.0
