basalEnergy,brachiation,climb,descent,energyExpenditure,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
1.5,50.0,37.5,12.5,734.4699999996739,0.3194444444444445,99.60185185185185,-422589902,0.0,765.0,30.644674625170175,0.0787037037037037,0.0
1.5,41.66666666666667,16.666666666666664,33.33333333333333,742.2609999996738,0.3194444444444445,99.57638888888889,-1613901023,8.333333333333332,765.0,41.69410351989733,0.10416666666666667,0.0
1.5,50.0,18.181818181818183,31.818181818181817,766.5429999996738,0.3263888888888889,99.46064814814815,-82376288,0.0,765.0,85.28977949162727,0.21296296296296297,0.0
1.5,50.0,16.666666666666664,33.33333333333333,773.6659999996739,0.42592592592592593,99.41666666666666,1517262795,0.0,1020.0,63.37741385683964,0.1574074074074074,0.0
1.5,50.0,8.333333333333332,41.66666666666667,752.6229999996739,0.3194444444444445,99.53472222222223,-2097517863,0.0,765.0,59.65902428785396,0.14583333333333334,0.0
1.5,50.0,16.666666666666664,33.33333333333333,731.3809999996738,0.3194444444444445,99.64583333333333,1730660535,0.0,765.0,13.092384255969128,0.034722222222222224,0.0
1.0,50.0,25.0,25.0,508.83900000025665,0.21296296296296297,99.72916666666667,-613517251,0.0,510.0,24.026297590440446,0.057870370370370364,0.0
1.5,50.0,25.0,25.0,781.7479999996738,0.42592592592592593,99.36111111111111,10907586,0.0,1020.0,85.79280277056358,0.21296296296296297,0.0
1.5,50.0,21.428571428571427,28.57142857142857,752.5159999996738,0.3194444444444445,99.52777777777779,-1940274158,0.0,765.0,62.273769846368324,0.1527777777777778,0.0
1.5,41.66666666666667,16.666666666666664,33.33333333333333,746.1169999996738,0.3194444444444445,99.57638888888889,-1842294269,8.333333333333332,765.0,41.32514193156711,0.10416666666666667,0.0
1.5,50.0,20.0,30.0,732.1209999996738,0.3194444444444445,99.56712962962962,-2078457368,0.0,765.0,44.94567162348844,0.11342592592592593,0.0
1.5,41.66666666666667,25.0,25.0,744.7339999996739,0.3194444444444445,99.57407407407408,565350761,8.333333333333332,765.0,42.077472342832465,0.10648148148148148,0.0
1.5,50.0,13.636363636363635,36.36363636363637,787.4479999996738,0.42592592592592593,99.3425925925926,-1152519474,0.0,1020.0,94.49101164747498,0.23148148148148145,0.0
1.5,50.0,13.636363636363635,36.36363636363637,784.5869999996738,0.42592592592592593,99.37268518518519,1858507911,0.0,1020.0,83.26538612928873,0.2013888888888889,0.0
1.5,50.0,19.230769230769234,30.76923076923077,788.4109999996738,0.42592592592592593,99.30555555555556,581382408,0.0,1020.0,109.86773277407214,0.2685185185185185,0.0
1.5,50.0,21.428571428571427,28.57142857142857,745.2729999996739,0.3194444444444445,99.53472222222223,2025550452,0.0,765.0,58.82324273364385,0.14583333333333334,0.0
1.5,41.66666666666667,16.666666666666664,33.33333333333333,734.1369999996739,0.3194444444444445,99.57638888888889,1286968796,8.333333333333332,765.0,43.15731573988981,0.10416666666666667,0.0
1.5,50.0,10.0,40.0,732.5789999996738,0.3194444444444445,99.58564814814815,1468274882,0.0,765.0,37.87547536866065,0.09490740740740741,0.0
1.5,50.0,14.285714285714285,35.714285714285715,734.4459999996739,0.3194444444444445,99.55092592592592,-957656107,0.0,765.0,52.18199430025528,0.12962962962962962,0.0
1.5,50.0,8.333333333333332,41.66666666666667,731.2779999996739,0.3194444444444445,99.55092592592592,-349212013,0.0,765.0,52.42243504957716,0.12962962962962962,0.0
1.5,50.0,8.333333333333332,41.66666666666667,728.7999999996738,0.3194444444444445,99.56712962962962,-1445578251,0.0,765.0,46.8782642808786,0.11342592592592593,0.0
1.5,50.0,16.666666666666664,33.33333333333333,742.7649999996738,0.3194444444444445,99.5324074074074,626944973,0.0,765.0,59.599250970013046,0.14814814814814814,0.0
1.5,50.0,0.0,50.0,725.3139999996738,0.3194444444444445,99.62962962962963,-1679735073,0.0,765.0,20.883935705329264,0.05092592592592592,0.0
1.5,50.0,10.0,40.0,731.8159999996739,0.3194444444444445,99.6087962962963,450800366,0.0,765.0,28.2115355904878,0.07175925925925926,0.0
1.5,45.83333333333333,20.833333333333336,29.166666666666668,787.9239999996738,0.42592592592592593,99.36574074074073,1398845207,4.166666666666666,1020.0,86.36844441697517,0.20833333333333334,0.0
1.5,50.0,27.77777777777778,22.22222222222222,781.7569999996738,0.42592592592592593,99.39583333333334,-1298478818,0.0,1020.0,72.13170341291033,0.17824074074074076,0.0
1.5,50.0,22.22222222222222,27.77777777777778,772.4039999996738,0.42592592592592593,99.40277777777777,456459224,0.0,1020.0,70.30069196297131,0.1712962962962963,0.0
1.5,50.0,27.77777777777778,22.22222222222222,782.6479999996739,0.42592592592592593,99.38194444444444,1674621669,0.0,1020.0,77.7690598527472,0.19212962962962965,0.0
1.5,50.0,20.0,30.0,749.3709999996738,0.3194444444444445,99.57638888888889,243553252,0.0,765.0,41.322373807348804,0.10416666666666667,0.0
1.5,50.0,16.666666666666664,33.33333333333333,750.2219999996738,0.3194444444444445,99.55787037037037,1819023089,0.0,765.0,49.122304867441706,0.12268518518518517,0.0
1.5,50.0,16.666666666666664,33.33333333333333,780.2839999996738,0.42592592592592593,99.36805555555556,-1028064279,0.0,1020.0,82.91254393597421,0.20601851851851852,0.0
1.5,50.0,20.0,30.0,741.7639999996738,0.3194444444444445,99.58564814814815,-38162969,0.0,765.0,37.45176319853478,0.09490740740740741,0.0
1.5,50.0,18.75,31.25,760.8599999996738,0.3194444444444445,99.52777777777779,2011608982,0.0,765.0,62.81351177961463,0.1527777777777778,0.0
