brachiation,climb,descent,descentSpeed,energyExpenditure,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
50.0,25.0,25.0,1.05,619.6380000005756,0.3194444444444445,99.58101851851852,1778107185,0.0,765.0,39.68779245746685,0.09953703703703703,0.0
50.0,10.0,40.0,0.95,611.1090000005756,0.3194444444444445,99.58101851851852,-44386806,0.0,765.0,39.79513450454809,0.09953703703703703,0.0
50.0,12.5,37.5,1.05,611.9010000005756,0.3194444444444445,99.61342592592592,1538459933,0.0,765.0,26.849782083427243,0.06712962962962962,0.0
41.66666666666667,8.333333333333332,41.66666666666667,1.05,612.2160000005756,0.3194444444444445,99.56018518518519,1963323359,8.333333333333332,765.0,48.166433675106106,0.12037037037037038,0.0
50.0,10.0,40.0,1.05,611.0880000005756,0.3194444444444445,99.58101851851852,1645429398,0.0,765.0,38.72089277118346,0.09953703703703703,0.0
50.0,16.666666666666664,33.33333333333333,1.05,611.2550000005756,0.3194444444444445,99.63194444444444,566072571,0.0,765.0,19.77896439759685,0.04861111111111111,0.0
50.0,25.0,25.0,1.05,647.7400000005756,0.3194444444444445,99.50925925925927,647536980,0.0,765.0,69.95950205140149,0.1712962962962963,0.0
50.0,8.333333333333332,41.66666666666667,1.05,641.7290000005756,0.3194444444444445,99.49537037037037,76333141,0.0,765.0,76.19496535068997,0.1851851851851852,0.0
50.0,20.0,30.0,1.05,613.3860000005756,0.3194444444444445,99.58101851851852,-502263144,0.0,765.0,41.15731573988981,0.09953703703703703,0.0
50.0,25.0,25.0,1.05,659.1850000005755,0.3194444444444445,99.53472222222223,-1230979815,0.0,765.0,61.15539197152481,0.14583333333333334,0.0
50.0,27.77777777777778,22.22222222222222,1.05,665.4170000005756,0.3194444444444445,99.50694444444444,509811277,0.0,765.0,71.04273096680573,0.1736111111111111,0.0
50.0,25.0,25.0,1.05,630.0130000005756,0.3194444444444445,99.61342592592592,732726278,0.0,765.0,27.147183527594443,0.06712962962962962,0.0
50.0,14.285714285714285,35.714285714285715,1.05,630.2840000005756,0.3194444444444445,99.57870370370371,1896926646,0.0,765.0,41.54110737574021,0.10185185185185185,0.0
50.0,31.25,18.75,1.05,660.9150000005756,0.3194444444444445,99.5162037037037,-1936787723,0.0,765.0,66.41894572864092,0.16435185185185186,0.0
50.0,25.0,25.0,1.05,664.4200000005756,0.3194444444444445,99.52546296296296,1198443783,0.0,765.0,63.14701728370451,0.1550925925925926,0.0
43.75,18.75,31.25,1.05,619.9010000005756,0.3194444444444445,99.57175925925927,-708893920,6.25,765.0,43.29477723585481,0.1087962962962963,0.0
50.0,22.22222222222222,27.77777777777778,1.05,652.4790000005756,0.3194444444444445,99.49074074074075,2083567650,0.0,765.0,77.2044157516847,0.18981481481481483,0.0
50.0,7.142857142857142,42.857142857142854,1.05,650.4190000005756,0.3194444444444445,99.52314814814814,-766958828,0.0,765.0,66.21678075167493,0.1574074074074074,0.0
50.0,20.0,30.0,1.05,625.2870000005756,0.3194444444444445,99.58564814814815,-658650957,0.0,765.0,38.52534233845548,0.09490740740740741,0.0
50.0,0.0,50.0,1.05,605.6820000005756,0.3194444444444445,99.61805555555556,1306599917,0.0,765.0,24.912798045033234,0.0625,0.0
40.0,20.0,30.0,1.05,612.3080000005756,0.3194444444444445,99.58101851851852,1665687254,10.0,765.0,40.36388241706368,0.09953703703703703,0.0
50.0,10.0,40.0,1.05,649.9950000005756,0.3194444444444445,99.5462962962963,-1872569013,0.0,765.0,56.21678075167493,0.13425925925925924,0.0
42.857142857142854,21.428571428571427,28.57142857142857,1.05,617.0680000005756,0.3194444444444445,99.59259259259258,-511904706,7.142857142857142,765.0,34.5210269022302,0.08796296296296297,0.0
50.0,20.0,30.0,1.05,616.5450000005756,0.3194444444444445,99.58333333333333,685896424,0.0,765.0,40.68144516436366,0.09722222222222222,0.0
50.0,14.285714285714285,35.714285714285715,1.05,613.2970000005756,0.3194444444444445,99.52546296296296,-1707272338,0.0,765.0,62.432746038990246,0.1550925925925926,0.0
50.0,20.0,30.0,1.05,625.9840000005756,0.3194444444444445,99.50231481481482,-764155573,0.0,765.0,72.8052869389945,0.17824074074074076,0.0
50.0,8.333333333333332,41.66666666666667,1.05,610.3530000005755,0.3194444444444445,99.5949074074074,613018259,0.0,765.0,33.73477974264227,0.08564814814814815,0.0
50.0,22.22222222222222,27.77777777777778,1.05,649.3910000005756,0.3194444444444445,99.49768518518518,-936256549,0.0,765.0,75.85988414216754,0.18287037037037038,0.0
50.0,20.0,30.0,1.05,622.9780000005755,0.3194444444444445,99.58796296296296,-521758771,0.0,765.0,37.45208405934421,0.0925925925925926,0.0
50.0,31.25,18.75,1.05,663.8780000005756,0.3194444444444445,99.53472222222223,-1299938296,0.0,765.0,59.74897790759534,0.14583333333333334,0.0
50.0,27.77777777777778,22.22222222222222,1.05,665.9610000005756,0.3194444444444445,99.4837962962963,-1620039630,0.0,765.0,79.87648256229176,0.19675925925925924,0.0
50.0,18.75,31.25,1.05,613.9670000005756,0.3194444444444445,99.51851851851852,-908223786,0.0,765.0,65.84009789009727,0.16203703703703703,0.0
50.0,25.0,25.0,1.05,621.2930000005756,0.3194444444444445,99.59027777777779,-613291650,0.0,765.0,34.93951261077148,0.09027777777777778,0.0
50.0,25.0,25.0,1.05,631.9620000005756,0.3194444444444445,99.54398148148148,-1085286539,0.0,765.0,56.63491992313138,0.13657407407407407,0.0
