brachiation,climb,descent,energyExpenditure,energyIntake,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
50.0,37.5,12.5,613.2350000005756,2.0,0.8888888888888888,99.03472222222223,-1279188474,0.0,765.0,29.947076902006458,0.0763888888888889,0.0
50.0,22.22222222222222,27.77777777777778,663.3960000005756,2.0,0.8888888888888888,98.93287037037038,-1617915778,0.0,765.0,73.11239908752022,0.17824074074074076,0.0
50.0,12.5,37.5,618.5220000005756,3.5,0.5069444444444444,99.42129629629629,881651943,0.0,765.0,27.716957910937573,0.07175925925925926,0.0
41.66666666666667,16.666666666666664,33.33333333333333,618.3010000005756,2.0,0.8888888888888888,99.01157407407408,140341142,8.333333333333332,765.0,40.68626414244552,0.09953703703703703,0.0
50.0,18.181818181818183,31.818181818181817,655.8160000005756,2.0,0.8888888888888888,98.88425925925925,143960505,0.0,765.0,94.01130997957644,0.22685185185185186,0.0
50.0,12.5,37.5,611.3860000005756,2.0,0.8888888888888888,99.02777777777779,-1132080288,0.0,765.0,33.51502461526758,0.08333333333333334,0.0
50.0,8.333333333333332,41.66666666666667,618.8190000005756,2.0,0.8888888888888888,99.00462962962962,-2068726198,0.0,765.0,43.90027843556543,0.10648148148148148,0.0
50.0,0.0,50.0,606.2520000005755,2.0,0.8888888888888888,99.02314814814814,-372916576,0.0,765.0,34.4920186906727,0.08796296296296297,0.0
50.0,16.666666666666664,33.33333333333333,645.2260000005756,2.0,0.8888888888888888,98.99305555555556,1360949742,0.0,765.0,49.18242756031132,0.11805555555555555,0.0
50.0,25.0,25.0,634.2110000005756,2.0,0.8888888888888888,98.99074074074075,-39612847,0.0,765.0,49.17110726300761,0.12037037037037038,0.0
45.45454545454545,18.181818181818183,31.818181818181817,668.8000000005757,2.0,0.8888888888888888,98.9074074074074,405728962,4.545454545454546,765.0,83.99047246625432,0.2037037037037037,0.0
35.714285714285715,14.285714285714285,35.714285714285715,613.5300000005756,2.0,0.8888888888888888,99.0300925925926,1071285656,14.285714285714285,765.0,32.447603567987585,0.08101851851851852,0.0
50.0,20.0,30.0,615.8850000005756,2.0,0.8888888888888888,99.01388888888889,-573826706,0.0,765.0,40.90333828566602,0.09722222222222222,0.0
50.0,20.0,30.0,618.6330000005756,2.0,0.8888888888888888,99.02083333333334,-1627909192,0.0,765.0,36.50214448876051,0.09027777777777778,0.0
50.0,25.0,25.0,623.0240000005756,2.0,0.8888888888888888,98.97916666666666,555429463,0.0,765.0,53.1000469650535,0.13194444444444445,0.0
41.66666666666667,16.666666666666664,33.33333333333333,624.0950000005756,2.0,0.8888888888888888,99.00925925925927,-316186007,8.333333333333332,765.0,40.652722475727224,0.10185185185185185,0.0
45.0,25.0,25.0,661.4780000005755,2.0,0.8888888888888888,98.91203703703704,345155052,5.0,765.0,80.10485879733476,0.19907407407407407,0.0
50.0,22.727272727272727,27.27272727272727,658.5780000005756,2.0,0.8888888888888888,98.90046296296296,-2069927173,0.0,765.0,88.00984889974812,0.21064814814814814,0.0
50.0,12.5,37.5,612.0540000005756,2.0,0.8888888888888888,99.04398148148148,1566973662,0.0,765.0,27.13568519199936,0.06712962962962962,0.0
50.0,31.25,18.75,665.3230000005756,2.0,0.8888888888888888,98.95138888888889,381687804,0.0,765.0,63.562774063306996,0.15972222222222224,0.0
50.0,16.666666666666664,33.33333333333333,621.9710000005756,2.0,0.8888888888888888,99.02083333333334,-2056663900,0.0,765.0,35.58702690176415,0.09027777777777778,0.0
50.0,31.25,18.75,657.8470000005756,2.0,0.8888888888888888,98.96064814814814,1166181477,0.0,765.0,61.74531947903248,0.15046296296296297,0.0
50.0,16.666666666666664,33.33333333333333,608.1550000005756,3.5,0.5069444444444444,99.45601851851852,-1235853949,0.0,765.0,14.40224255080033,0.037037037037037035,0.0
50.0,16.666666666666664,33.33333333333333,611.2440000005756,2.0,0.8888888888888888,99.07175925925927,1638559771,0.0,765.0,15.586960845293127,0.03935185185185185,0.0
50.0,22.22222222222222,27.77777777777778,647.6460000005757,2.0,0.8888888888888888,98.92592592592592,-1068282752,0.0,765.0,74.89140535441025,0.1851851851851852,0.0
50.0,31.25,18.75,659.1910000005756,2.0,0.8888888888888888,98.94212962962963,-499105510,0.0,765.0,69.95798947525259,0.16898148148148148,0.0
45.83333333333333,25.0,25.0,667.5770000005756,2.0,0.8888888888888888,98.91203703703704,-137862781,4.166666666666666,765.0,81.59140146418066,0.19907407407407407,0.0
41.66666666666667,16.666666666666664,33.33333333333333,630.4340000005756,3.5,0.5069444444444444,99.37037037037038,-1462136918,8.333333333333332,765.0,49.11349480387478,0.12268518518518517,0.0
50.0,10.0,40.0,618.1320000005755,2.0,0.8888888888888888,99.03703703703704,-1346277816,0.0,765.0,30.19385171740293,0.07407407407407407,0.0
50.0,14.285714285714285,35.714285714285715,638.7610000005756,2.0,0.8888888888888888,98.9699074074074,1052713927,0.0,765.0,58.72007121109788,0.1412037037037037,0.0
50.0,25.0,25.0,653.3690000005756,2.0,0.8888888888888888,98.93981481481482,1645362886,0.0,765.0,71.91101582883688,0.1712962962962963,0.0
50.0,21.428571428571427,28.57142857142857,644.3620000005756,2.0,0.8888888888888888,98.97916666666666,1133361819,0.0,765.0,53.65155441211906,0.13194444444444445,0.0
50.0,21.428571428571427,28.57142857142857,633.6850000005757,2.0,0.8888888888888888,98.97222222222221,269157804,0.0,765.0,56.285619191888955,0.1388888888888889,0.0
