brachiation,climb,descent,energyExpenditure,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk,walkSpeed
50.0,20.0,30.0,619.8970000005756,0.3194444444444445,99.58796296296296,2054008495,0.0,765.0,36.60116400235329,0.0925925925925926,0.0,0.95
50.0,16.666666666666664,33.33333333333333,611.1960000005756,0.3194444444444445,99.63425925925927,-614609249,0.0,765.0,18.17631784703607,0.0462962962962963,0.0,0.95
50.0,16.666666666666664,33.33333333333333,622.0950000005756,0.3194444444444445,99.53935185185185,926908808,0.0,765.0,57.85444304314692,0.1412037037037037,0.0,0.95
50.0,8.333333333333332,41.66666666666667,608.7250000005756,0.3194444444444445,99.56481481481482,-2099634316,0.0,765.0,47.00136990649625,0.11574074074074073,0.0,0.95
50.0,12.5,37.5,611.3050000005755,0.3194444444444445,99.59027777777779,-1098374683,0.0,765.0,36.130797721131486,0.09027777777777778,0.0,0.7
50.0,25.0,25.0,616.0910000005756,0.3194444444444445,99.53703703703704,1810652003,0.0,765.0,59.65114171522697,0.14351851851851852,0.0,0.95
50.0,18.75,31.25,616.2680000005756,0.3194444444444445,99.5300925925926,-660530530,0.0,765.0,61.4518643362805,0.15046296296296297,0.0,0.7
50.0,16.666666666666664,33.33333333333333,608.1450000005756,0.3194444444444445,99.64120370370371,1217070138,0.0,765.0,15.273360299226528,0.03935185185185185,0.0,0.7
45.45454545454545,22.727272727272727,27.27272727272727,659.7830000005756,0.3194444444444445,99.47685185185186,-1612504465,4.545454545454546,765.0,82.01445756043219,0.2037037037037037,0.0,0.7
50.0,25.0,25.0,664.5650000005755,0.3194444444444445,99.46064814814815,2074812673,0.0,765.0,89.72555236615364,0.2199074074074074,0.0,0.95
50.0,14.285714285714285,35.714285714285715,619.3830000005756,0.3194444444444445,99.52314814814814,-1096735762,0.0,765.0,62.98996259936446,0.1574074074074074,0.0,0.95
50.0,16.666666666666664,33.33333333333333,608.0240000005756,0.3194444444444445,99.64814814814815,-82899769,0.0,765.0,12.16617457330054,0.032407407407407406,0.0,0.95
50.0,20.0,30.0,621.7500000005756,0.3194444444444445,99.58333333333333,-890053860,0.0,765.0,40.74946704288993,0.09722222222222222,0.0,0.95
50.0,18.181818181818183,31.818181818181817,672.2260000005756,0.3194444444444445,99.47222222222221,855552600,0.0,765.0,86.42755400803665,0.20833333333333334,0.0,0.95
50.0,25.0,25.0,659.9840000005756,0.3194444444444445,99.51388888888889,-1087802755,0.0,765.0,68.37733673015063,0.16666666666666669,0.0,0.95
50.0,28.57142857142857,21.428571428571427,618.1530000005756,0.3194444444444445,99.5949074074074,789713624,0.0,765.0,33.353404411863025,0.08564814814814815,0.0,0.95
50.0,20.0,30.0,625.8490000005756,0.3194444444444445,99.58796296296296,-1375310379,0.0,765.0,38.247463064368034,0.0925925925925926,0.0,0.95
50.0,18.75,31.25,624.4940000005756,0.3194444444444445,99.56481481481482,-1581845780,0.0,765.0,44.58078632626486,0.11574074074074073,0.0,0.95
37.5,12.5,37.5,611.6660000005757,0.3194444444444445,99.62268518518519,-240868179,12.5,765.0,22.97546761298801,0.057870370370370364,0.0,0.95
50.0,16.666666666666664,33.33333333333333,611.5140000005756,0.3194444444444445,99.63194444444444,-2116971577,0.0,765.0,18.985491733938165,0.04861111111111111,0.0,0.95
42.857142857142854,7.142857142857142,42.857142857142854,613.6260000005756,0.3194444444444445,99.56944444444444,1952346662,7.142857142857142,765.0,44.93822345408848,0.1111111111111111,0.0,0.95
50.0,25.0,25.0,652.8720000005756,0.3194444444444445,99.52314814814814,-61977138,0.0,765.0,63.89810487459727,0.1574074074074074,0.0,0.95
50.0,8.333333333333332,41.66666666666667,608.0610000005756,0.3194444444444445,99.56712962962962,1160677631,0.0,765.0,46.04054194104697,0.11342592592592593,0.0,0.95
50.0,18.75,31.25,658.7100000005756,0.3194444444444445,99.53935185185185,-293855417,0.0,765.0,58.3263751340602,0.1412037037037037,0.0,0.95
50.0,20.0,30.0,627.7680000005756,0.3194444444444445,99.57407407407408,561807307,0.0,765.0,42.03477897421393,0.10648148148148148,0.0,0.95
50.0,31.25,18.75,659.5260000005756,0.3194444444444445,99.51851851851852,1790344747,0.0,765.0,66.39197060730919,0.16203703703703703,0.0,0.95
43.75,25.0,25.0,646.1970000005756,0.3194444444444445,99.51157407407408,860379549,6.25,765.0,70.67787086751588,0.16898148148148148,0.0,0.95
50.0,6.25,43.75,630.0700000005756,0.3194444444444445,99.50694444444444,-906069448,0.0,765.0,71.55109543449944,0.1736111111111111,0.0,0.95
50.0,22.22222222222222,27.77777777777778,631.4920000005756,0.3194444444444445,99.5162037037037,104573534,0.0,765.0,66.12881094910259,0.16435185185185186,0.0,0.95
50.0,18.75,31.25,661.0510000005756,0.3194444444444445,99.5162037037037,1642978426,0.0,765.0,67.4770323690467,0.16435185185185186,0.0,0.95
50.0,10.0,40.0,611.0650000005757,0.3194444444444445,99.57175925925927,-1497422495,0.0,765.0,43.95533112417813,0.1087962962962963,0.0,0.95
50.0,7.142857142857142,42.857142857142854,610.8540000005756,0.3194444444444445,99.56712962962962,-1787591894,0.0,765.0,45.221979732303,0.11342592592592593,0.0,0.95
50.0,18.181818181818183,31.818181818181817,677.2370000005756,0.3194444444444445,99.47222222222221,-1535060830,0.0,765.0,85.36556032081464,0.20833333333333334,0.0,0.95
50.0,25.0,25.0,651.9210000005756,0.3194444444444445,99.52314814814814,763849232,0.0,765.0,63.785515714879274,0.1574074074074074,0.0,0.95
