brachiation,climb,descent,energyExpenditure,energyGain,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
50.0,16.666666666666664,33.33333333333333,630.4800000005756,450.0,0.37962962962962965,99.50231481481482,-1753333715,0.0,900.0,48.868416162891876,0.11805555555555555,0.0
50.0,12.5,37.5,624.9270000005756,450.0,0.37962962962962965,99.54861111111111,-2014938533,0.0,900.0,28.93356650080412,0.07175925925925926,0.0
50.0,16.666666666666664,33.33333333333333,613.8500000005756,450.0,0.37962962962962965,99.53472222222223,-74756623,0.0,900.0,34.727909352845295,0.08564814814814815,0.0
50.0,14.285714285714285,35.714285714285715,648.9500000005756,450.0,0.37962962962962965,99.49074074074075,-2048702068,0.0,900.0,54.0283843282392,0.12962962962962962,0.0
50.0,25.0,25.0,605.9630000005756,450.0,0.37962962962962965,99.59722222222223,2041146178,0.0,900.0,8.56062329783655,0.02314814814814815,0.0
45.0,20.0,30.0,670.3260000005756,450.0,0.37962962962962965,99.43518518518518,-1502033664,5.0,900.0,75.28459986527892,0.1851851851851852,0.0
50.0,12.5,37.5,609.8420000005756,450.0,0.37962962962962965,99.54166666666666,-662891167,0.0,900.0,30.740259637719028,0.0787037037037037,0.0
50.0,25.0,25.0,629.5040000005756,450.0,0.37962962962962965,99.55092592592592,1945377621,0.0,900.0,28.87515539223655,0.06944444444444445,0.0
50.0,37.5,12.5,613.8240000005756,440.0,0.3703703703703704,99.57870370370371,-244436655,0.0,880.0,20.285563772970185,0.05092592592592592,0.0
50.0,10.0,40.0,624.4460000005756,440.0,0.3703703703703704,99.52314814814814,1518701606,0.0,880.0,42.308220436731105,0.10648148148148148,0.0
50.0,8.333333333333332,41.66666666666667,630.1060000005756,440.0,0.3703703703703704,99.50694444444444,-674388035,0.0,880.0,49.25545482827,0.12268518518518517,0.0
50.0,10.0,40.0,627.2720000005756,440.0,0.3703703703703704,99.5300925925926,-709992698,0.0,880.0,40.95080156829687,0.09953703703703703,0.0
50.0,21.428571428571427,28.57142857142857,649.7720000005756,440.0,0.3703703703703704,99.49074074074075,1551685664,0.0,880.0,56.32560819162043,0.1388888888888889,0.0
50.0,20.0,30.0,619.9100000005756,440.0,0.3703703703703704,99.56481481481482,751963718,0.0,880.0,26.72865690108165,0.06481481481481481,0.0
50.0,33.33333333333333,16.666666666666664,608.5500000005756,440.0,0.3703703703703704,99.57870370370371,-1394240948,0.0,880.0,20.147183527594443,0.05092592592592592,0.0
50.0,0.0,50.0,604.8060000005756,440.0,0.3703703703703704,99.56481481481482,-582445135,0.0,880.0,25.58522282349194,0.06481481481481481,0.0
40.0,0.0,40.0,610.6400000005756,440.0,0.3703703703703704,99.55787037037037,1138768402,20.0,880.0,28.8365472663471,0.07175925925925926,0.0
50.0,12.5,37.5,624.6360000005756,440.0,0.3703703703703704,99.54861111111111,1402927580,0.0,880.0,33.07291249499271,0.08101851851851852,0.0
50.0,25.0,25.0,627.1870000005756,440.0,0.3703703703703704,99.56944444444444,662200589,0.0,880.0,25.026297590440446,0.06018518518518519,0.0
50.0,16.666666666666664,33.33333333333333,629.9680000005756,440.0,0.3703703703703704,99.52777777777779,1830087796,0.0,880.0,41.534179526908346,0.10185185185185185,0.0
50.0,12.5,37.5,607.7590000005756,440.0,0.3703703703703704,99.56481481481482,-1495301043,0.0,880.0,25.164863834667596,0.06481481481481481,0.0
33.33333333333333,16.666666666666664,33.33333333333333,604.4930000005756,440.0,0.3703703703703704,99.58333333333333,-428510515,16.666666666666664,880.0,17.722682561906964,0.0462962962962963,0.0
50.0,25.0,25.0,606.8250000005756,440.0,0.3703703703703704,99.60185185185185,-997837783,0.0,880.0,11.32455532033676,0.027777777777777776,0.0
37.5,25.0,25.0,616.8560000005756,440.0,0.3703703703703704,99.55555555555556,1126725927,12.5,880.0,29.49382233646532,0.07407407407407407,0.0
37.5,12.5,37.5,607.4710000005756,440.0,0.3703703703703704,99.56944444444444,-1139590389,12.5,880.0,23.395777794098993,0.06018518518518519,0.0
50.0,20.0,30.0,613.0010000005756,440.0,0.3703703703703704,99.55787037037037,143161786,0.0,880.0,28.695278305817766,0.07175925925925926,0.0
50.0,0.0,50.0,605.3760000005756,440.0,0.3703703703703704,99.61342592592592,-837146400,0.0,880.0,6.60555127546399,0.016203703703703703,0.0
50.0,16.666666666666664,33.33333333333333,630.1370000005757,440.0,0.3703703703703704,99.52314814814814,-2046525848,0.0,880.0,43.30394681966368,0.10648148148148148,0.0
50.0,16.666666666666664,33.33333333333333,649.2360000005756,450.0,0.37962962962962965,99.50231481481482,730724309,0.0,900.0,49.28245681007802,0.11805555555555555,0.0
50.0,25.0,25.0,638.9020000005756,440.0,0.3703703703703704,99.51388888888889,-854442474,0.0,880.0,47.33115102412674,0.11574074074074073,0.0
50.0,12.5,37.5,625.2720000005756,450.0,0.37962962962962965,99.53935185185185,848266647,0.0,900.0,33.645281088785964,0.08101851851851852,0.0
50.0,33.33333333333333,16.666666666666664,608.7290000005756,450.0,0.37962962962962965,99.56712962962962,-314600482,0.0,900.0,21.073393210263035,0.05324074074074074,0.0
50.0,16.666666666666664,33.33333333333333,611.2020000005756,450.0,0.37962962962962965,99.5,1614435587,0.0,900.0,48.4965365672443,0.12037037037037038,0.0
50.0,16.666666666666664,33.33333333333333,608.7400000005756,480.0,0.4027777777777778,99.47222222222221,-1004428503,0.0,960.0,50.97899441090051,0.125,0.0
50.0,0.0,50.0,609.1170000005756,450.0,0.37962962962962965,99.56712962962962,107491367,0.0,900.0,21.854724715186638,0.05324074074074074,0.0
50.0,16.666666666666664,33.33333333333333,622.0360000005755,450.0,0.37962962962962965,99.55787037037037,-625734735,0.0,900.0,25.436694412469805,0.0625,0.0
50.0,12.5,37.5,618.9910000005756,450.0,0.37962962962962965,99.5462962962963,1751627192,0.0,900.0,30.605881327170614,0.07407407407407407,0.0
50.0,20.0,30.0,611.4660000005756,450.0,0.37962962962962965,99.53935185185185,-746452573,0.0,900.0,31.935986741394355,0.08101851851851852,0.0
50.0,20.0,30.0,627.4930000005756,450.0,0.37962962962962965,99.52777777777779,2079747807,0.0,900.0,37.482590447286256,0.0925925925925926,0.0
50.0,16.666666666666664,33.33333333333333,609.2740000005756,450.0,0.37962962962962965,99.58333333333333,268690766,0.0,900.0,14.543203766865055,0.037037037037037035,0.0
50.0,12.5,37.5,611.4560000005756,450.0,0.37962962962962965,99.5462962962963,-81213502,0.0,900.0,28.915481959394686,0.07407407407407407,0.0
50.0,16.666666666666664,33.33333333333333,613.8090000005756,450.0,0.37962962962962965,99.50231481481482,150948538,0.0,900.0,47.92236053952993,0.11805555555555555,0.0
50.0,25.0,25.0,607.5330000005756,450.0,0.37962962962962965,99.58796296296296,-1720487367,0.0,900.0,12.534393703298129,0.032407407407407406,0.0
50.0,10.0,40.0,617.1390000005756,450.0,0.37962962962962965,99.52314814814814,890053268,0.0,900.0,39.943648298702335,0.09722222222222222,0.0
50.0,20.0,30.0,621.0990000005756,450.0,0.37962962962962965,99.52314814814814,20686962,0.0,900.0,39.439416752312425,0.09722222222222222,0.0
50.0,14.285714285714285,35.714285714285715,638.8460000005756,450.0,0.37962962962962965,99.47916666666666,630821572,0.0,900.0,57.9292243565358,0.1412037037037037,0.0
50.0,12.5,37.5,642.7140000005757,450.0,0.37962962962962965,99.4675925925926,20840713,0.0,900.0,61.550235688411476,0.1527777777777778,0.0
50.0,21.428571428571427,28.57142857142857,654.5650000005755,450.0,0.37962962962962965,99.47222222222221,1251798549,0.0,900.0,59.61515980888802,0.14814814814814814,0.0
50.0,25.0,25.0,611.7950000005756,450.0,0.37962962962962965,99.57175925925927,1071245809,0.0,900.0,19.767828935632366,0.04861111111111111,0.0
40.0,30.0,20.0,613.4900000005756,450.0,0.37962962962962965,99.5625,-2053348434,10.0,900.0,22.358114583071103,0.057870370370370364,0.0
37.5,12.5,37.5,608.8100000005755,450.0,0.37962962962962965,99.56712962962962,905144190,12.5,900.0,21.895882995144426,0.05324074074074074,0.0
45.0,25.0,25.0,661.5590000005756,450.0,0.37962962962962965,99.42592592592592,-806438274,5.0,900.0,80.29981294977213,0.19444444444444445,0.0
50.0,20.0,30.0,663.0330000005756,450.0,0.37962962962962965,99.40046296296296,-53173135,0.0,900.0,89.02828977628754,0.2199074074074074,0.0
50.0,25.0,25.0,610.8240000005756,450.0,0.37962962962962965,99.59027777777779,-59243763,0.0,900.0,11.667809023762539,0.030092592592592594,0.0
50.0,20.0,30.0,630.4290000005756,450.0,0.37962962962962965,99.53935185185185,1157965734,0.0,900.0,33.617473121998806,0.08101851851851852,0.0
50.0,16.666666666666664,33.33333333333333,608.2340000005756,450.0,0.37962962962962965,99.57175925925927,1921911866,0.0,900.0,19.342367637579066,0.04861111111111111,0.0
50.0,40.0,10.0,621.4420000005756,450.0,0.37962962962962965,99.53472222222223,-415512145,0.0,900.0,33.72627714920787,0.08564814814814815,0.0
50.0,12.5,37.5,608.0150000005756,450.0,0.37962962962962965,99.55092592592592,-430188034,0.0,900.0,27.387750981633722,0.06944444444444445,0.0
50.0,16.666666666666664,33.33333333333333,612.1290000005756,450.0,0.37962962962962965,99.52546296296296,-1373229866,0.0,900.0,37.504117055280076,0.09490740740740741,0.0
50.0,0.0,50.0,603.4020000005756,450.0,0.37962962962962965,99.59722222222223,1252436206,0.0,900.0,8.990716082598492,0.02314814814814815,0.0
50.0,12.5,37.5,623.0290000005756,450.0,0.37962962962962965,99.54166666666666,1060023642,0.0,900.0,32.23815565031216,0.0787037037037037,0.0
50.0,25.0,25.0,610.7480000005756,450.0,0.37962962962962965,99.58796296296296,1327164922,0.0,900.0,12.660936413601407,0.032407407407407406,0.0
37.5,12.5,37.5,611.2570000005755,450.0,0.37962962962962965,99.57175925925927,-1899988466,12.5,900.0,19.142870463454745,0.04861111111111111,0.0
50.0,20.0,30.0,619.9500000005756,450.0,0.37962962962962965,99.50462962962962,-1200365903,0.0,900.0,46.84616169587377,0.11574074074074073,0.0
50.0,10.0,40.0,626.1620000005756,450.0,0.37962962962962965,99.50694444444444,-1889002988,0.0,900.0,46.164511637038515,0.11342592592592593,0.0
50.0,37.5,12.5,609.3200000005756,450.0,0.37962962962962965,99.55092592592592,1744527574,0.0,900.0,27.21825133945992,0.06944444444444445,0.0
50.0,25.0,25.0,610.5130000005756,450.0,0.37962962962962965,99.58333333333333,189891395,0.0,900.0,13.90118141645099,0.037037037037037035,0.0
50.0,16.666666666666664,33.33333333333333,608.3270000005756,450.0,0.37962962962962965,99.5625,-1545834779,0.0,900.0,23.983662798039518,0.057870370370370364,0.0
50.0,25.0,25.0,610.7490000005756,450.0,0.37962962962962965,99.59027777777779,-1696225623,0.0,900.0,12.14955502078152,0.030092592592592594,0.0
50.0,16.666666666666664,33.33333333333333,619.3040000005756,480.0,0.4027777777777778,99.47685185185186,-1582307503,0.0,960.0,49.41090324800653,0.12037037037037038,0.0
50.0,16.666666666666664,33.33333333333333,616.1610000005755,450.0,0.37962962962962965,99.50462962962962,-1348447336,0.0,900.0,47.27441931852454,0.11574074074074073,0.0
50.0,20.0,30.0,672.2760000005756,480.0,0.4027777777777778,99.38425925925925,1183079549,0.0,960.0,87.96366103217858,0.21296296296296297,0.0
50.0,12.5,37.5,623.9590000005755,480.0,0.4027777777777778,99.52546296296296,719780295,0.0,960.0,29.83503141287931,0.07175925925925926,0.0
50.0,25.0,25.0,610.2340000005756,480.0,0.4027777777777778,99.58101851851852,1254824801,0.0,960.0,5.841619252963779,0.016203703703703703,0.0
50.0,20.0,30.0,617.2680000005756,480.0,0.4027777777777778,99.51157407407408,-1247567689,0.0,960.0,34.71810793896175,0.08564814814814815,0.0
50.0,25.0,25.0,608.0730000005756,480.0,0.4027777777777778,99.56944444444444,1265943228,0.0,960.0,10.298325725798339,0.027777777777777776,0.0
50.0,10.0,40.0,609.4090000005756,480.0,0.4027777777777778,99.5300925925926,-1708229182,0.0,960.0,26.02401523476147,0.06712962962962962,0.0
50.0,0.0,50.0,602.1040000005756,480.0,0.4027777777777778,99.56481481481482,-1091875663,0.0,960.0,11.543203766865055,0.032407407407407406,0.0
50.0,20.0,30.0,624.0240000005756,480.0,0.4027777777777778,99.49305555555556,2064434684,0.0,960.0,41.25260620486213,0.10416666666666667,0.0
50.0,18.75,31.25,660.0660000005756,480.0,0.4027777777777778,99.44907407407408,1055505352,0.0,960.0,62.06864288508139,0.14814814814814814,0.0
40.0,20.0,30.0,621.0740000005756,480.0,0.4027777777777778,99.52777777777779,-86856173,10.0,960.0,27.262471581427384,0.06944444444444445,0.0
50.0,25.0,25.0,627.3080000005756,480.0,0.4027777777777778,99.5162037037037,-2091233488,0.0,960.0,33.712100845631525,0.08101851851851852,0.0
50.0,12.5,37.5,604.6440000005756,480.0,0.4027777777777778,99.5300925925926,1474832462,0.0,960.0,25.812829302359305,0.06712962962962962,0.0
50.0,12.5,37.5,605.0150000005756,480.0,0.4027777777777778,99.5,-1985894930,0.0,960.0,39.2727130054146,0.09722222222222222,0.0
50.0,25.0,25.0,609.0570000005756,480.0,0.4027777777777778,99.50925925925927,270948375,0.0,960.0,35.715994038518886,0.08796296296296297,0.0
50.0,25.0,25.0,676.5310000005757,480.0,0.4027777777777778,99.38657407407408,358303376,0.0,960.0,86.34800732500001,0.21064814814814814,0.0
50.0,25.0,25.0,629.1210000005756,480.0,0.4027777777777778,99.5162037037037,-1199198670,0.0,960.0,33.1684332141714,0.08101851851851852,0.0
50.0,12.5,37.5,618.7530000005756,480.0,0.4027777777777778,99.5162037037037,-1410862748,0.0,960.0,33.81313008638957,0.08101851851851852,0.0
50.0,14.285714285714285,35.714285714285715,649.5800000005756,480.0,0.4027777777777778,99.46527777777779,454360784,0.0,960.0,53.53020337107307,0.13194444444444445,0.0
50.0,25.0,25.0,605.7770000005756,480.0,0.4027777777777778,99.55555555555556,536405967,0.0,960.0,16.32455532033676,0.04166666666666667,0.0
50.0,25.0,25.0,648.9480000005756,480.0,0.4027777777777778,99.3912037037037,1780687844,0.0,960.0,83.21832508558374,0.20601851851851852,0.0
50.0,25.0,25.0,610.6030000005755,480.0,0.4027777777777778,99.57175925925927,-1568006063,0.0,960.0,10.008675512896838,0.02546296296296296,0.0
50.0,33.33333333333333,16.666666666666664,609.5220000005756,480.0,0.4027777777777778,99.55092592592592,-655087217,0.0,960.0,18.29832572579834,0.0462962962962963,0.0
50.0,12.5,37.5,605.8970000005756,480.0,0.4027777777777778,99.50694444444444,1516720310,0.0,960.0,37.648981549264654,0.09027777777777778,0.0
50.0,10.0,40.0,626.9210000005756,480.0,0.4027777777777778,99.50694444444444,989245940,0.0,960.0,35.80979364325354,0.09027777777777778,0.0
50.0,25.0,25.0,638.4290000005756,480.0,0.4027777777777778,99.4675925925926,1348299479,0.0,960.0,52.95750461283862,0.12962962962962962,0.0
50.0,16.666666666666664,33.33333333333333,619.2150000005756,480.0,0.4027777777777778,99.49768518518518,1063071010,0.0,960.0,39.77983093612871,0.09953703703703703,0.0
50.0,16.666666666666664,33.33333333333333,614.7100000005756,480.0,0.4027777777777778,99.54166666666666,-1295119996,0.0,960.0,22.43721338846138,0.05555555555555555,0.0
50.0,16.666666666666664,33.33333333333333,611.3390000005757,480.0,0.4027777777777778,99.4675925925926,109873298,0.0,960.0,54.04793681025907,0.12962962962962962,0.0
44.44444444444444,27.77777777777778,22.22222222222222,653.9600000005756,480.0,0.4027777777777778,99.43055555555556,119591752,5.555555555555555,960.0,70.24191550308421,0.16666666666666669,0.0
48.99723374827109,24.533195020746888,25.44951590594744,16194.776000000607,30.0,0.16203703703703703,41.56018518518518,-271080201,1.020055325034578,420.0,23424.55712064812,58.27777777777777,0.0
48.869088416723784,24.76010966415353,25.222755311857437,15498.758000000622,30.0,0.16203703703703703,42.092592592592595,-132850739,1.1480466072652502,420.0,23180.80487301319,57.745370370370374,0.0
48.732824427480914,24.671755725190838,25.297709923664126,17809.31600000066,30.0,0.16203703703703703,34.69212962962963,-1973710572,1.297709923664122,420.0,26162.810812702643,65.14583333333334,0.0
48.79892491180917,25.07979170166303,24.89501091886444,15996.146000000648,30.0,0.16203703703703703,41.20601851851852,1842148787,1.226272467663363,420.0,23524.54066261222,58.63194444444444,0.0
48.888541014402,25.03130870381966,24.953036944270508,17748.028000000617,30.0,0.16203703703703703,35.844907407407405,-852915279,1.127113337507827,420.0,25701.441008065023,63.99305555555556,0.0
48.64669271964105,24.67795628889854,25.300332899117095,18813.9640000007,30.0,0.16203703703703703,31.041666666666668,1411819916,1.3750180923433204,420.0,27595.970592436945,68.7962962962963,0.0
49.12442396313364,24.46082949308756,25.493087557603687,14936.442000000614,30.0,0.16203703703703703,45.36574074074074,307741199,0.9216589861751152,420.0,21936.834603976433,54.47222222222222,0.0
48.91707039042462,24.793388429752067,25.163864348817327,18889.794000000624,30.0,0.16203703703703703,31.05787037037037,-1555547202,1.1256768310059846,420.0,27621.00353749245,68.7800925925926,0.0
48.96666666666666,24.4,25.583333333333336,16477.58800000058,30.0,0.16203703703703703,39.1712962962963,-809876439,1.05,420.0,24384.51727097781,60.66666666666667,0.0
48.8627326228726,25.08350564657229,24.876729759821856,17087.401000000616,30.0,0.16203703703703703,37.28240740740741,-1801849123,1.177031970733259,420.0,25097.26252455865,62.55555555555555,0.0
48.660781086338474,24.719437378422864,25.258117611850967,18349.928000000502,30.0,0.16203703703703703,34.567129629629626,-2111547525,1.3616639233877001,420.0,26179.213082647246,65.27083333333333,0.0
48.73012972775443,24.68481637127718,25.28777635665997,14988.394000000651,30.0,0.16203703703703703,44.5,1590327336,1.2972775443084232,420.0,22237.892746024,55.33796296296296,0.0
48.87568943572338,24.77725922783199,25.187385094046107,19352.212000000625,30.0,0.16203703703703703,30.24074074074074,-1837436247,1.1596662423985291,420.0,27943.920463479477,69.59722222222223,0.0
48.77332158072573,24.592331423534596,25.40032319670927,18823.909000000625,30.0,0.16203703703703703,31.900462962962962,1582707683,1.23402379903041,420.0,27296.243186521762,67.9375,0.0
