brachiation,climb,descent,energyExpenditure,feedingBudget,initialSatiation,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
46.666666666666664,13.333333333333334,36.666666666666664,680.1350000005756,0.5324074074074074,-490.0,99.14583333333333,-1564077631,3.3333333333333335,1275.0,130.4360897471097,0.32175925925925924,0.0
50.0,20.833333333333336,29.166666666666668,718.5080000005756,0.5324074074074074,-490.0,99.13425925925927,1429939104,0.0,1275.0,137.92791149830376,0.33333333333333337,0.0
50.0,21.875,28.125,675.3750000005756,0.5324074074074074,-460.0,99.1087962962963,882438631,0.0,1275.0,145.238437197035,0.3587962962962963,0.0
50.0,16.666666666666664,33.33333333333333,653.0530000005756,0.5324074074074074,-490.0,99.25231481481481,-1539302730,0.0,1275.0,86.44300266460773,0.2152777777777778,0.0
50.0,21.428571428571427,28.57142857142857,633.0410000005757,0.5324074074074074,-460.0,99.34490740740742,622441069,0.0,1275.0,49.18333970687805,0.12268518518518517,0.0
50.0,22.22222222222222,27.77777777777778,658.1010000005756,0.5324074074074074,-460.0,99.25694444444444,800854865,0.0,1275.0,85.99323337138793,0.21064814814814814,0.0
50.0,11.538461538461538,38.46153846153847,661.5660000005756,0.5324074074074074,-460.0,99.16666666666667,-1017169471,0.0,1275.0,121.82836506900685,0.30092592592592593,0.0
50.0,17.857142857142858,32.142857142857146,670.1060000005756,0.5324074074074074,-460.0,99.14583333333333,-442441020,0.0,1275.0,128.94869428392133,0.32175925925925924,0.0
50.0,25.0,25.0,664.1190000005756,0.5324074074074074,-490.0,99.25925925925925,461789504,0.0,1275.0,84.67066336456375,0.20833333333333334,0.0
50.0,22.727272727272727,27.27272727272727,654.7120000005756,0.5324074074074074,-490.0,99.26388888888889,-64795066,0.0,1275.0,83.29353200114176,0.2037037037037037,0.0
50.0,25.0,25.0,669.7100000005756,0.5324074074074074,-490.0,99.25,-1918438973,0.0,1275.0,89.80293012377197,0.2175925925925926,0.0
50.0,21.428571428571427,28.57142857142857,626.5670000005756,0.5324074074074074,-490.0,99.3425925925926,-479025820,0.0,1275.0,51.062357940567175,0.125,0.0
50.0,18.181818181818183,31.818181818181817,673.7500000005756,0.5324074074074074,-490.0,99.26851851851852,893746623,0.0,1275.0,81.68898631969728,0.19907407407407407,0.0
50.0,19.230769230769234,30.76923076923077,680.9620000005756,0.5324074074074074,-490.0,99.16203703703704,-498774226,0.0,1275.0,123.60627722435468,0.3055555555555556,0.0
50.0,15.384615384615385,34.61538461538461,666.3460000005756,0.5324074074074074,-490.0,99.2175925925926,-1569351131,0.0,1275.0,101.25740113520743,0.25,0.0
50.0,22.22222222222222,27.77777777777778,628.3750000005756,0.5324074074074074,-490.0,99.32638888888889,-665649986,0.0,1275.0,56.71670408045136,0.1412037037037037,0.0
50.0,20.833333333333336,29.166666666666668,664.5390000005756,0.5324074074074074,-490.0,99.24768518518519,1590199994,0.0,1275.0,88.88588365639923,0.2199074074074074,0.0
50.0,22.727272727272727,27.27272727272727,666.7800000005756,0.5324074074074074,-490.0,99.24074074074073,757745251,0.0,1275.0,94.42933141964943,0.22685185185185186,0.0
50.0,19.230769230769234,30.76923076923077,664.5560000005756,0.5324074074074074,-490.0,99.22916666666667,1824900043,0.0,1275.0,97.41348941732917,0.2384259259259259,0.0
50.0,8.333333333333332,41.66666666666667,609.0970000005756,0.5324074074074074,-490.0,99.375,707384556,0.0,1275.0,36.51562681503129,0.0925925925925926,0.0
50.0,16.666666666666664,33.33333333333333,639.3900000005756,0.5324074074074074,-490.0,99.24537037037037,1542548745,0.0,1275.0,90.3473094991456,0.2222222222222222,0.0
50.0,25.0,25.0,662.9070000005756,0.5324074074074074,-490.0,99.26620370370371,240457285,0.0,1275.0,83.21796521082771,0.2013888888888889,0.0
50.0,25.0,25.0,624.4130000005756,0.5324074074074074,-490.0,99.34953703703704,1885173279,0.0,1275.0,48.98119006041137,0.11805555555555555,0.0
50.0,18.181818181818183,31.818181818181817,667.2460000005756,0.5324074074074074,-490.0,99.20370370370371,163152981,0.0,1275.0,106.48378657009864,0.2638888888888889,0.0
50.0,18.75,31.25,622.4010000005756,0.5324074074074074,-490.0,99.3287037037037,928825214,0.0,1275.0,55.345061764996444,0.1388888888888889,0.0
46.15384615384615,19.230769230769234,30.76923076923077,660.7610000005756,0.5324074074074074,-490.0,99.17592592592592,1618364907,3.8461538461538463,1275.0,118.38622215509974,0.2916666666666667,0.0
50.0,10.0,40.0,607.2730000005756,0.5324074074074074,-490.0,99.38194444444444,-158536474,0.0,1275.0,34.2795588375315,0.08564814814814815,0.0
50.0,19.230769230769234,30.76923076923077,677.0900000005756,0.5324074074074074,-460.0,99.23379629629629,1688425736,0.0,1275.0,96.56095729798776,0.2337962962962963,0.0
50.0,20.833333333333336,29.166666666666668,657.3920000005756,0.5324074074074074,-460.0,99.16203703703704,-110849227,0.0,1275.0,125.16802751561815,0.3055555555555556,0.0
50.0,20.0,30.0,667.5740000005756,0.5324074074074074,-490.0,99.28935185185185,317158051,0.0,1275.0,73.31657824856669,0.17824074074074076,0.0
50.0,20.0,30.0,641.2820000005756,0.5324074074074074,-460.0,99.29398148148148,132469657,0.0,1275.0,71.2512579815448,0.1736111111111111,0.0
50.0,30.0,20.0,621.6860000005756,0.5324074074074074,-490.0,99.38425925925925,419085243,0.0,1275.0,33.533046346002784,0.08333333333333334,0.0
50.0,22.727272727272727,27.27272727272727,664.8980000005756,0.5324074074074074,-490.0,99.22453703703704,1818162958,0.0,1275.0,98.72475009378434,0.24305555555555555,0.0
