brachiation,climb,climbSpeed,descent,energyExpenditure,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
50.0,21.428571428571427,2.0,28.57142857142857,624.7090000005755,0.3194444444444445,99.5300925925926,-1402764328,0.0,765.0,60.92610437459612,0.15046296296296297,0.0
50.0,25.0,1.5,25.0,629.9350000005757,0.3194444444444445,99.60185185185185,419751214,0.0,765.0,32.52688865595856,0.0787037037037037,0.0
50.0,16.666666666666664,1.5,33.33333333333333,606.9840000005756,0.3194444444444445,99.63425925925927,-642663562,0.0,765.0,18.874378505799907,0.0462962962962963,0.0
50.0,20.0,1.5,30.0,611.7370000005756,0.3194444444444445,99.61342592592592,345018921,0.0,765.0,26.653007553805676,0.06712962962962962,0.0
50.0,25.0,1.5,25.0,635.2330000005755,0.3194444444444445,99.55092592592592,1396873558,0.0,765.0,52.332231749132355,0.12962962962962962,0.0
50.0,12.5,1.5,37.5,617.9370000005756,0.3194444444444445,99.625,2001485444,0.0,765.0,23.02135222683463,0.05555555555555555,0.0
50.0,0.0,1.5,50.0,606.5320000005756,0.3194444444444445,99.58564814814815,1004830840,0.0,765.0,38.39147129835764,0.09490740740740741,0.0
50.0,12.5,1.5,37.5,612.3640000005756,0.3194444444444445,99.62731481481481,-1841846707,0.0,765.0,22.03953240752059,0.05324074074074074,0.0
50.0,25.0,1.6,25.0,627.1390000005756,0.3194444444444445,99.59259259259258,-865666523,0.0,765.0,33.988661382825796,0.08796296296296297,0.0
50.0,14.285714285714285,1.6,35.714285714285715,613.3810000005756,0.3194444444444445,99.52546296296296,-1411882462,0.0,765.0,62.781776368372164,0.1550925925925926,0.0
40.0,10.0,1.6,40.0,613.1490000005756,0.3194444444444445,99.5949074074074,-1666316408,10.0,765.0,34.42817208597796,0.08564814814814815,0.0
50.0,27.77777777777778,1.6,22.22222222222222,658.1570000005756,0.3194444444444445,99.4837962962963,-176228975,0.0,765.0,80.25320141550037,0.19675925925925924,0.0
50.0,16.666666666666664,1.6,33.33333333333333,621.3490000005756,0.3194444444444445,99.57175925925927,318916219,0.0,765.0,42.918779366216086,0.1087962962962963,0.0
50.0,20.0,1.6,30.0,627.3340000005755,0.3194444444444445,99.58796296296296,-1357395799,0.0,765.0,36.69024316488065,0.0925925925925926,0.0
50.0,18.181818181818183,1.6,31.818181818181817,663.6960000005756,0.3194444444444445,99.4675925925926,-695805695,0.0,765.0,86.48000513820492,0.21296296296296297,0.0
50.0,14.285714285714285,1.6,35.714285714285715,646.3060000005756,0.3194444444444445,99.52777777777779,1031493076,0.0,765.0,61.834461253088065,0.1527777777777778,0.0
50.0,16.666666666666664,1.6,33.33333333333333,668.7860000005755,0.3194444444444445,99.5,-301632012,0.0,765.0,73.5933801675829,0.18055555555555555,0.0
50.0,12.5,1.6,37.5,611.4090000005756,0.3194444444444445,99.59953703703704,-863856303,0.0,765.0,32.12057589073156,0.08101851851851852,0.0
50.0,22.727272727272727,1.6,27.27272727272727,675.2410000005756,0.3194444444444445,99.48148148148148,-439120499,0.0,765.0,83.87889256098805,0.19907407407407407,0.0
50.0,25.0,1.6,25.0,630.0360000005755,0.3194444444444445,99.60416666666667,-1938810257,0.0,765.0,30.99387808039287,0.0763888888888889,0.0
50.0,22.22222222222222,1.6,27.77777777777778,660.9200000005756,0.3194444444444445,99.50462962962962,1768036947,0.0,765.0,72.19501752815314,0.17592592592592593,0.0
40.0,10.0,1.6,40.0,611.8210000005756,0.3194444444444445,99.61805555555556,215441557,10.0,765.0,25.53565787126474,0.0625,0.0
50.0,25.0,1.6,25.0,629.5520000005756,0.3194444444444445,99.59722222222223,-789172302,0.0,765.0,34.22607411559059,0.08333333333333334,0.0
