brachiation,climb,descent,energyExpenditure,feedingBudget,restingBudget,seed,sway,swaySpeed,totalEnergyIntake,travelDistance,travellingBudget,walk
50.0,20.0,30.0,619.7820000005756,0.3194444444444445,99.58564814814815,726117885,0.0,0.75,765.0,37.82669980909726,0.09490740740740741,0.0
50.0,31.25,18.75,659.0570000005756,0.3194444444444445,99.51157407407408,-336790676,0.0,1.05,765.0,67.89773568177081,0.16898148148148148,0.0
50.0,22.22222222222222,27.77777777777778,656.1730000005756,0.3194444444444445,99.49768518518518,-357053259,0.0,1.05,765.0,74.47214411116337,0.18287037037037038,0.0
50.0,16.666666666666664,33.33333333333333,638.9390000005756,0.3194444444444445,99.52314814814814,294282654,0.0,1.05,765.0,64.15320024312572,0.1574074074074074,0.0
50.0,14.285714285714285,35.714285714285715,612.8080000005756,0.3194444444444445,99.55787037037037,-841530763,0.0,1.05,765.0,49.30451488073942,0.12268518518518517,0.0
45.0,25.0,25.0,669.5660000005756,0.3194444444444445,99.48611111111111,1949048847,5.0,1.05,765.0,79.78328553465019,0.19444444444444445,0.0
50.0,16.666666666666664,33.33333333333333,608.0240000005756,0.3194444444444445,99.64814814814815,2124454745,0.0,1.05,765.0,12.16617457330054,0.032407407407407406,0.0
40.0,10.0,40.0,611.8960000005756,0.3194444444444445,99.58564814814815,-1594055527,10.0,1.05,765.0,37.72612716619555,0.09490740740740741,0.0
50.0,33.33333333333333,16.666666666666664,627.1240000005756,0.3194444444444445,99.54398148148148,1728268604,0.0,0.95,765.0,55.17599322237267,0.13657407407407407,0.0
50.0,27.77777777777778,22.22222222222222,659.9700000005756,0.3194444444444445,99.49768518518518,1667328233,0.0,0.95,765.0,76.10677524922241,0.18287037037037038,0.0
50.0,14.285714285714285,35.714285714285715,641.5070000005755,0.3194444444444445,99.53472222222223,-1020618349,0.0,0.95,765.0,58.13526888225818,0.14583333333333334,0.0
50.0,10.0,40.0,611.5860000005756,0.3194444444444445,99.58101851851852,1964590753,0.0,0.95,765.0,39.40068578001208,0.09953703703703703,0.0
50.0,16.666666666666664,33.33333333333333,617.5560000005756,0.3194444444444445,99.59259259259258,1667741879,0.0,0.75,765.0,35.525348176417985,0.08796296296296297,0.0
50.0,16.666666666666664,33.33333333333333,628.3750000005756,0.3194444444444445,99.56018518518519,-604221905,0.0,1.15,765.0,49.42780295186699,0.12037037037037038,0.0
50.0,31.25,18.75,659.7400000005756,0.3194444444444445,99.5162037037037,-1661365875,0.0,0.95,765.0,68.22462902099288,0.16435185185185186,0.0
50.0,21.428571428571427,28.57142857142857,639.4870000005756,0.3194444444444445,99.52314814814814,-2136051947,0.0,0.95,765.0,63.05133047311344,0.1574074074074074,0.0
50.0,8.333333333333332,41.66666666666667,612.1660000005757,0.3194444444444445,99.55787037037037,-631190365,0.0,0.95,765.0,49.1176087843465,0.12268518518518517,0.0
50.0,16.666666666666664,33.33333333333333,630.3210000005756,0.3194444444444445,99.55324074074075,1441513352,0.0,0.95,765.0,52.37707252546582,0.12731481481481483,0.0
44.44444444444444,27.77777777777778,22.22222222222222,625.0750000005756,0.3194444444444445,99.49305555555556,1352775330,5.555555555555555,0.95,765.0,74.3316516473166,0.1875,0.0
50.0,22.22222222222222,27.77777777777778,630.8660000005756,0.3194444444444445,99.52777777777779,1346618413,0.0,0.95,765.0,64.52636577164728,0.1527777777777778,0.0
50.0,16.666666666666664,33.33333333333333,643.7960000005756,0.3194444444444445,99.56481481481482,-543665305,0.0,0.95,765.0,47.416259769358575,0.11574074074074073,0.0
40.0,20.0,30.0,620.9330000005756,0.3194444444444445,99.59259259259258,-1374035384,10.0,0.95,765.0,34.39384080590829,0.08796296296296297,0.0
50.0,25.0,25.0,612.6190000005756,0.3194444444444445,99.62268518518519,1717817262,0.0,0.95,765.0,22.796320386035188,0.057870370370370364,0.0
50.0,16.666666666666664,33.33333333333333,615.3660000005756,0.3194444444444445,99.60185185185185,1215374663,0.0,1.15,765.0,32.022490851769874,0.0787037037037037,0.0
50.0,20.0,30.0,655.8670000005756,0.3194444444444445,99.48148148148148,825307745,0.0,0.95,765.0,81.58997195894432,0.19907407407407407,0.0
43.75,18.75,31.25,645.6020000005756,0.3194444444444445,99.5324074074074,977386949,6.25,0.95,765.0,59.47369656432084,0.14814814814814814,0.0
41.66666666666667,8.333333333333332,41.66666666666667,612.3160000005756,0.3194444444444445,99.60648148148148,-246524191,8.333333333333332,0.95,765.0,29.05321222141841,0.07407407407407407,0.0
43.75,18.75,31.25,640.7690000005756,0.3194444444444445,99.5324074074074,1221443700,6.25,1.15,765.0,58.968530739020416,0.14814814814814814,0.0
50.0,20.833333333333336,29.166666666666668,675.4080000005756,0.3194444444444445,99.42592592592592,-2047727508,0.0,1.15,765.0,103.93772882714194,0.25462962962962965,0.0
50.0,22.22222222222222,27.77777777777778,649.0950000005756,0.3194444444444445,99.48148148148148,-1081389474,0.0,1.15,765.0,81.62144537552375,0.19907407407407407,0.0
50.0,21.428571428571427,28.57142857142857,633.7360000005756,0.3194444444444445,99.57638888888889,2044180498,0.0,1.15,765.0,41.71969362392315,0.10416666666666667,0.0
50.0,14.285714285714285,35.714285714285715,628.4080000005756,0.3194444444444445,99.5324074074074,1234920109,0.0,1.15,765.0,59.64321266090048,0.14814814814814814,0.0
50.0,28.57142857142857,21.428571428571427,625.9790000005756,0.3194444444444445,99.51388888888889,-1028295307,0.0,1.15,765.0,68.5760818450955,0.16666666666666669,0.0
