bodyWeight,brachiation,climb,descent,energyExpenditure,feedingBudget,restingBudget,seed,sway,totalEnergyIntake,travelDistance,travellingBudget,walk
43.0,50.0,18.181818181818183,31.818181818181817,715.9880000003379,0.3194444444444445,99.45833333333334,122701097,0.0,765.0,91.69145021802561,0.2222222222222222,0.0
42.0,50.0,13.636363636363635,36.36363636363637,700.8660000002791,0.3194444444444445,99.46527777777779,1967309444,0.0,765.0,90.60744551295508,0.2152777777777778,0.0
43.0,50.0,20.0,30.0,660.4380000003379,0.3194444444444445,99.56944444444444,-1685129216,0.0,765.0,44.37933227165041,0.1111111111111111,0.0
43.0,50.0,16.666666666666664,33.33333333333333,653.8810000003378,0.3194444444444445,99.64351851851852,-2067169433,0.0,765.0,14.93010659580075,0.037037037037037035,0.0
43.0,50.0,16.666666666666664,33.33333333333333,660.8440000003379,0.3194444444444445,99.60185185185185,-231878600,0.0,765.0,31.215489881586787,0.0787037037037037,0.0
43.0,50.0,20.0,30.0,658.7290000003379,0.3194444444444445,99.59027777777779,-182662915,0.0,765.0,36.43736130259424,0.09027777777777778,0.0
43.0,50.0,25.0,25.0,682.5630000003379,0.3194444444444445,99.49074074074075,2133744478,0.0,765.0,78.54609324244626,0.18981481481481483,0.0
43.0,50.0,20.0,30.0,668.1430000003379,0.3194444444444445,99.58564814814815,-2122458934,0.0,765.0,37.682416288967715,0.09490740740740741,0.0
43.0,50.0,20.0,30.0,678.2670000003379,0.3194444444444445,99.57175925925927,-1986141625,0.0,765.0,44.32795612696379,0.1087962962962963,0.0
43.0,50.0,8.333333333333332,41.66666666666667,658.2000000003379,0.3194444444444445,99.55324074074075,1951136897,0.0,765.0,51.44216410468326,0.12731481481481483,0.0
43.0,50.0,20.0,30.0,705.2210000003379,0.3194444444444445,99.48842592592592,371604318,0.0,765.0,79.06913582980575,0.19212962962962965,0.0
43.0,50.0,31.25,18.75,715.5980000003378,0.3194444444444445,99.51388888888889,-1875223046,0.0,765.0,67.49170625144151,0.16666666666666669,0.0
43.0,50.0,25.0,25.0,680.9670000003379,0.3194444444444445,99.49074074074075,-3439947,0.0,765.0,77.82370426916499,0.18981481481481483,0.0
43.0,50.0,8.333333333333332,41.66666666666667,653.6750000003378,0.3194444444444445,99.58796296296296,632474825,0.0,765.0,37.73461704886526,0.0925925925925926,0.0
43.0,50.0,22.22222222222222,27.77777777777778,707.7690000003379,0.3194444444444445,99.50462962962962,797932835,0.0,765.0,73.0997355100377,0.17592592592592593,0.0
43.0,45.0,20.0,30.0,711.6050000003379,0.3194444444444445,99.48842592592592,949410276,5.0,765.0,79.17344805343845,0.19212962962962965,0.0
43.0,50.0,22.22222222222222,27.77777777777778,702.2150000003379,0.3194444444444445,99.5,1092727994,0.0,765.0,74.01047777190122,0.18055555555555555,0.0
43.0,50.0,8.333333333333332,41.66666666666667,665.0700000003379,0.3194444444444445,99.58333333333333,-327455058,0.0,765.0,39.607872744738565,0.09722222222222222,0.0
43.0,50.0,16.666666666666664,33.33333333333333,670.6610000003378,0.3194444444444445,99.58796296296296,68200265,0.0,765.0,38.12229493781881,0.0925925925925926,0.0
43.0,50.0,0.0,50.0,651.3590000003379,0.3194444444444445,99.57870370370371,-191659734,0.0,765.0,39.863607253357216,0.10185185185185185,0.0
43.0,50.0,20.833333333333336,29.166666666666668,717.8820000003378,0.3194444444444445,99.40972222222221,-1969974659,0.0,765.0,111.59822118747464,0.27083333333333337,0.0
43.0,50.0,16.666666666666664,33.33333333333333,657.2420000003378,0.3194444444444445,99.63425925925927,-946509935,0.0,765.0,18.532431862843374,0.0462962962962963,0.0
43.0,50.0,16.666666666666664,33.33333333333333,678.0480000003379,0.3194444444444445,99.55787037037037,172023608,0.0,765.0,50.39541853343954,0.12268518518518517,0.0
43.0,50.0,16.666666666666664,33.33333333333333,680.8090000003378,0.3194444444444445,99.52314814814814,-1100163402,0.0,765.0,64.32915185283005,0.1574074074074074,0.0
43.0,50.0,20.0,30.0,666.6300000003379,0.3194444444444445,99.55787037037037,2049412290,0.0,765.0,49.87542420870015,0.12268518518518517,0.0
43.0,50.0,25.0,25.0,658.5650000003379,0.3194444444444445,99.62268518518519,981540500,0.0,765.0,22.796320386035188,0.057870370370370364,0.0
43.0,50.0,18.181818181818183,31.818181818181817,733.6640000003379,0.3194444444444445,99.46527777777779,-1823455096,0.0,765.0,88.13429173332679,0.2152777777777778,0.0
43.0,50.0,16.666666666666664,33.33333333333333,654.6790000003379,0.3194444444444445,99.64351851851852,33557852,0.0,765.0,14.667809023762539,0.037037037037037035,0.0
43.0,50.0,21.428571428571427,28.57142857142857,690.5310000003378,0.3194444444444445,99.53935185185185,1487297558,0.0,765.0,57.6633519533752,0.1412037037037037,0.0
43.0,50.0,25.0,25.0,666.1730000003379,0.3194444444444445,99.58796296296296,1879193339,0.0,765.0,36.76532917066585,0.0925925925925926,0.0
43.0,50.0,16.666666666666664,33.33333333333333,678.8640000003379,0.3194444444444445,99.53472222222223,1736841734,0.0,765.0,58.54122758176439,0.14583333333333334,0.0
43.0,50.0,25.0,25.0,675.7280000003378,0.3194444444444445,99.5949074074074,-966244139,0.0,765.0,34.22024897280501,0.08564814814814815,0.0
43.0,50.0,10.0,40.0,652.0950000003379,0.3194444444444445,99.59027777777779,-1238842468,0.0,765.0,35.624169843170506,0.09027777777777778,0.0
43.0,50.0,14.285714285714285,35.714285714285715,656.2750000003379,0.3194444444444445,99.56712962962962,277203961,0.0,765.0,45.689323339288585,0.11342592592592593,0.0
