"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"547",24,80,9.4,1.875,13,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"548",23,83,36.6,4.5,24.594010767585,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"549",24,85,16,3.025,13,0,0,0,0,0,0,0,0,0,0,0,0,"Garcinia","sp. 1","untouched"
"550",25,87,8.4,0.8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"551",23,89,38.5,5.7,30.4948487861359,0,0,0,0,0,0,0,0,0,0,0,0,"Koompassia","malaccensis","untouched"
"552",24,90,7,1.175,7,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii","untouched"
"553",20,89,20.4,2.625,14,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"554",21,94,7.8,2.1,7,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"555",23,94,6.6,0.55,5,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum","untouched"
"556",23,96,28.2,2.75,24.1556900417866,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)","untouched"
"557",21,98,6.9,1.8,5.5,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"558",22,96,7,1.125,9,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"559",23,97,12.2,2.15,16,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)","untouched"
"560",24,97,18.4,2.675,18,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"561",24,99,11.2,2.025,10,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"562",25,99,8.4,3.025,6.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"563",25,97,7.8,1.575,11,0,0,0,0,0,0,0,0,0,0,0,0,"Tristaniopsis","sp. 2","untouched"
"564",30,96,6.7,1.625,7,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"565",33,95,7.3,0.95,12,0,0,0,0,0,0,0,0,0,0,0,0,"Isonandra","lanceolata","untouched"
"566",32,92,13.3,1.675,13,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"567",32,91,66.2,5.95,28.4237881585548,0,0,0,0,0,0,0,0,0,1,0,0,"Diospyros","areolata (bantamensis)","untouched"
"568",30,90,25.2,2.725,18,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"569",29,88,9,2.175,7,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"570",30,87,12,2.75,12,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"571",31,86,17,2.15,13,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
