"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"1",3,31,10.7,3.4,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"2",1,31,14.9,2.125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"3",0,33,13.5,2.65,15,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"4",2,33,26.3,3.225,17,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","squamatum","untouched"
"5",2,34,10.5,1.975,15,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"6",3,35,7,2.05,8.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"7",10,37,10.5,1.85,15,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"8",10,39,20.6,3,25.246519562317,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"9",3,36,8.5,1.6,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"10",2,37,22.4,2.075,25.5,0,0,0,0,0,0,0,0,0,0,0,0,"Dactylocladus","stenostachys","untouched"
"11",1,34,9.2,1.25,9,0,0,0,0,0,0,0,0,0,0,0,0,"Xylopia","coriifolia","untouched"
"12",1,39,8.4,0.65,6,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"13",13,39,34.5,2.525,26.8079015565825,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"14",14,38,10,2.05,13,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"15",13,37,9.1,1.775,15,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"16",13,36,14.7,1.275,17,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"17",14,35,11.8,2.025,17,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"18",15,35,12.1,2.8,18,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus","untouched"
"19",18,36,18.5,3.45,20.4627599809399,0,0,0,0,0,0,0,1,0,0,0,0,"Neoscortechinia","kingii","untouched"
"20",13,35,26.3,2.7,36.8730153561092,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)","untouched"
"21",20,34,25.2,4.475,22.7283714327067,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"22",45,32,22.2,3.675,22.8782984763482,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"23",16,35,8.6,0.95,10,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"24",15,37,9.2,1.175,17,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","cf. evena","untouched"
"25",16,37,13.5,2.725,17,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"26",17,33,9.2,1.35,17,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"27",18,32,7.1,3.05,11,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"28",19,34,7.1,1.775,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"29",18,34,6.5,1.3,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"30",18,30,14.7,3.5,16,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"31",16,32,10.5,1.525,15.5,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"32",15,32,7.6,0.85,7.5,0,0,0,0,0,0,0,1,0,0,0,0,"Memecylon","sp. 1","untouched"
"33",11,31,19,1.325,17,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum","untouched"
"34",11,30,16.6,3.9,15,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"35",7,31,10.2,1.55,16,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)","untouched"
"36",22,34,18,2.25,17,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"37",20,35,25.6,3.25,30.1841896919988,0,0,0,0,0,0,0,1,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
