,x,y,dbh,canopy_radius,height,fruiting_jan,fruiting_feb,fruiting_mar,fruiting_apr,fruiting_may,fruiting_jun,fruiting_jul,fruiting_aug,fruiting_sep,fruiting_oct,fruiting_nov,fruiting_dec,genus,species
26,38,15,8.6,1.275,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
27,37,14,6.7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
28,36,14,10.4,1.75,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
29,37,18,10,1.825,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
30,37,18,10.5,1.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
31,34,14,11.5,1.5,8,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
32,32,15,9.5,0.875,7,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
33,31,17,7.6,0.75,6.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
34,28,11,7.8,0.8625,5.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
35,26,12,6.7,1.15,4.5,0,0,0,0,0,0,0,0,0,0,0,0,Combretocarpus,rotundatus
