"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species"
"739",49.5,48.3,12.1,1.75,12.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana"
"740",50.8,47.3,8.5,1.425,10,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"741",50.8,47.3,8.5,1.425,10,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"742",40.3,47.9,10.4,2.325,9,0,0,0,0,0,0,0,1,0,0,0,0,"Memecylon","sp. 1"
"743",50.9,56.2,11.9,2.3,11.5,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"744",48.7,55.6,9.4,2,8.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana"
"745",53.1,55.4,9.5,1.575,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia"
"746",52.4,54.8,14.3,2.025,1.5,0,0,0,0,0,0,0,0,0,0,0,0,"Blumeodendron","tokbrai (elateriospermum)"
"747",51.9,53,18.3,2.75,17.5,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"748",51.9,53,18.3,2.75,17.5,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"749",52.5,53.2,6.1,1.25,8,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)"
"750",50.1,42,54.7,3.575,27.7185790370726,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"751",50.1,42,54.7,3.575,27.7185790370726,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"752",51.2,41.1,13.8,3.75,15.5,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"753",51.2,41.1,13.8,3.75,15.5,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"754",57,40.7,17,3.1,15,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"755",54.3,44.3,11.4,2.125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1"
"756",55.7,42.4,7.1,2,8.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana"
"757",51.9,45.3,10.5,1.45,12,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana"
"758",53,47.4,10.4,2.1,11,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra"
"759",56.8,46.8,7.8,1.35,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"760",56.8,46.8,7.8,1.35,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi"
"761",58,47.8,7.2,1.875,11,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"762",56.3,48.3,40.6,6.85,25.9334753262422,0,0,0,0,0,0,0,0,0,0,0,0,"Lithocarpus","conocarpus"
"763",54.3,49.4,7,1.45,9.5,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"764",55.7,49.1,6.8,1.075,8,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"765",55.7,49.1,6.8,1.075,8,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"766",51.9,50.2,30.2,4.125,21.7446008298752,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)"
"767",52,51.3,10,1.6,13,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"768",52,51.3,10,1.6,13,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii"
"769",52.1,51.4,6.7,1.825,7.5,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca"
"770",51,51.7,12,1.8,14,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)"
