"","TreeID","x","y","DBH","crown","height","fruiting"
"1059",66081,29,24,15.2,0.790984582338079,2.915664,0
"1060",66068,29,26,61,1.97910548072432,11.70102,0
"1061",66066,29,27,20.1,0.951175484473719,3.855582,0
"1062",66065,29,28,25.9,1.12442137971726,4.968138,0
"1063",66159,29,32,35,1.37162742381731,6.7137,0
"1064",66141,29,35,26.3,1.13585277760201,5.044866,0
"1065",66137,29,37,24.2,1.07515082358244,4.642044,0
"1066",66134,29,38,36,1.39736834519993,6.90552,0
"1067",66344,29,41,13,0.713434099080492,2.49366,0
"1068",66342,29,43,65,2.06383068746799,12.4683,0
"1069",66341,29,44,18.1,0.887603711987364,3.471942,0
"1070",66327,29,45,21.2,0.985219317499518,4.066584,0
"1071",66321,29,48,17.4,0.864796163427602,3.337668,0
"1072",66394,29,50,27.3,1.16417588087632,5.236686,0
"1073",66383,29,56,187,4.14540255456747,35.87034,1
"1074",66382,29,58,159,3.72454608609017,30.49938,0
"1075",66538,29,62,88,2.52063413921818,16.88016,0
"1076",66537,29,63,21.7,1.00049442900832,4.162494,0
"1077",66531,29,67,178,4.0126238661601,34.14396,0
"1078",66579,29,73,30,1.23894286372721,5.7546,0
"1079",66576,29,74,22.1,1.01262851109601,4.239222,0
"1080",66566,29,77,31,1.26604740764534,5.94642,0
"1081",66565,29,78,70,2.16728465860083,13.4274,0
"1082",66697,29,81,19,0.916491891586387,3.64458,0
"1083",66696,29,82,63,2.02169675039927,12.08466,0
"1084",66694,29,84,30,1.23894286372721,5.7546,0
"1085",66687,29,87,82,2.40584914973183,15.72924,0
"1086",66746,29,93,55,1.84837729642226,10.5501,0
"1087",66745,29,94,86,2.48267704194748,16.49652,0
"1088",66735,29,97,48,1.68954773730251,9.20736,0
"1089",65982,30,4,38,1.44813291268211,7.28916,0
"1090",65991,30,7,67,2.1055260557998,12.85194,0
"1091",65993,30,8,19.3,0.926017244590986,3.702126,0
"1092",65996,30,9,21.2,0.985219317499518,4.066584,0
"1093",65909,30,10,32,1.29285624050683,6.13824,0
"1094",65911,30,13,16,0.818220655738572,3.06912,0
"1095",65913,30,14,25.3,1.10716103849553,4.853046,0
"1096",65922,30,15,48,1.68954773730251,9.20736,0
"1097",65924,30,17,59,1.93603666621506,11.31738,0
"1098",65928,30,19,40,1.49799665868193,7.6728,0
"1099",66223,30,21,16.7,0.841674406347162,3.203394,0
"1100",66224,30,22,72,2.20795744119622,13.81104,0
"1101",66227,30,23,33,1.31938168371389,6.33006,0
"1102",66243,30,28,28.3,1.19214833847086,5.428506,0
"1103",66244,30,29,35,1.37162742381731,6.7137,0
"1104",66165,30,32,11.7,0.66550897871728,2.244294,0
"1105",66168,30,34,44,1.59525464135101,8.44008,0
"1106",66184,30,35,15.2,0.790984582338079,2.915664,0
"1107",66436,30,42,11.3,0.650403729781884,2.167566,0
"1108",66439,30,44,49,1.71269749766966,9.39918,0
"1109",66459,30,49,19.3,0.926017244590986,3.702126,0
"1110",66398,30,51,18.1,0.887603711987364,3.471942,0
"1111",66408,30,55,14.8,0.777184235159213,2.838936,0
"1112",66410,30,56,53,1.80373745802223,10.16646,0
"1113",66632,30,69,40,1.49799665868193,7.6728,0
"1114",66811,30,87,13,0.713434099080492,2.49366,0
"1115",66749,30,90,21.7,1.00049442900832,4.162494,0
"1116",65977,31,2,59,1.93603666621506,11.31738,0
