evolution$generation,evolution$evaluated,energyIntake,energyGain,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,month,objective$budgetFit,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
100,762,9.804274889291097,124.14998599367252,2.8320058790594183,1.451413249227772,1.7771229370990194,1.2929384670889408,1.731229581794392,0.928405350040938,2,0.7272727272727273,2,"[434.5249509778538,620.7499299683626]","[11.469640939997614,14.40422322775264]","[0.0,0.0]","[188.28852817633665,193.64916227931465]","[0.10532407407407407,0.15046296296296297]","[0.9804863981543785,0.5617977528089888]","[89.0324074074074,77.45486111111111]","[14.39519469759735,12.82051282051282]","[10.847222222222221,22.394675925925924]","[73.1505172989209,71.0097954479977]","[1864.4123219474845,1896.3513219474844]"
100,762,4.3687042949496835,335.9763848945917,8.804201092914033,0.5322991439495073,0.9303353483891901,1.1763362354817906,1.753431017182743,0.6328096193261095,4,0.75,4,"[4031.716618735101,4031.716618735101,4031.716618735101,4031.716618735101]","[13.149212733303324,13.384527162464995,13.139446223558373,13.018380539474027]","[0.14064866589200387,0.16105727111200246,0.15338619967121794,0.2098203033941714]","[7925.805040275334,8518.855655747973,8568.80196855876,8249.370242839092]","[2.138888888888889,2.138888888888889,2.138888888888889,2.138888888888889]","[0.6317256882097713,0.7589788391538743,0.6308694840321611,0.7497616900976978]","[25.108796296296298,27.84837962962963,27.476851851851848,26.05439814814815]","[13.76005410408112,14.10717267578587,13.63921513068445,13.787641821349688]","[72.75231481481482,70.01273148148148,70.38425925925925,71.80671296296296]","[72.29938798261779,71.5687507226269,72.38360040578274,72.23814619480751]","[26654.01352460132,28144.238524601325,28425.21752460127,26911.263024601343]"
100,762,5.981908876638669,491.5823756970943,7.407362255498457,0.8770544127839428,1.0819105073613546,1.3028372818761786,1.9575015910894245,0.5274042983556468,9,0.7818181818181817,5,"[3195.2854420311132,3932.6590055767547,3932.6590055767547,3932.6590055767547,3441.0766298796602]","[14.508161512027492,12.112106643356643,12.5,13.529411764705884,14.345063538611925]","[0.0,0.0,0.0,0.0,0.0]","[196.1637031147941,151.24659974463248,176.3554614758474,214.14138823063234,186.010455738519]","[1.238425925925926,1.519675925925926,1.5208333333333335,1.5231481481481481,1.3298611111111112]","[0.0,0.0,0.0,0.0,0.0]","[26.31365740740741,0.5358796296296297,2.8067129629629632,0.6805555555555556,17.65509259259259]","[13.791666666666668,12.543706293706293,15.480338476854156,14.815609942273746,15.302144249512668]","[72.44444444444444,97.77083333333334,95.5787037037037,97.61111111111111,80.9212962962963]","[71.41666666666667,74.6918030423185,71.82539682539682,71.06054100472306,69.2269921436588]","[4111.981382641259,3972.6568826412595,4054.68088264126,4155.44138264126,4076.5983826412594]"
100,762,8.635175473340514,429.8225312822333,5.949030921744046,0.1195002727932216,1.8618229159521877,0.8412293910152433,1.5739067921930248,0.664796331580152,6,0.8181818181818182,2,"[2793.8464533345164,3438.5802502578663]","[12.785654712260218,12.771194926568757]","[0.45454545454545453,0.4464285714285714]","[193.71912916484192,203.72270652725257]","[0.7546296296296295,0.9259259259259258]","[0.0,0.0]","[0.5497685185185186,0.6342592592592592]","[14.415584415584416,13.074129459517197]","[98.26851851851852,98.25115740740742]","[71.16883116883116,72.87136598964557]","[3405.587342437384,3440.2418424373836]"
100,762,1.6578495550652927,458.30967032240426,7.048375706027469,1.3787331524048112,1.6424521369333729,0.6073165752273485,1.7039946207398249,0.7057758192496268,4,0.8181818181818182,4,"[4124.787032901638,4124.787032901638,4124.787032901638,4124.787032901638]","[15.742296918767508,15.229885057471265,12.410256410256409,14.520582329317268]","[0.0,0.0,0.0,0.0]","[197.80802067221217,194.7803631687749,171.43667943190823,201.26247446360236]","[5.75,5.75,5.75,5.75]","[1.2639109697933226,1.7966484047695777,2.564102564102564,2.0416666666666665]","[0.40162037037037035,0.37615740740740744,0.3194444444444444,0.39467592592592593]","[13.314133805937086,15.19702842377261,14.932432432432432,14.267097581317765]","[93.84837962962963,93.8738425925926,93.93055555555556,93.85532407407408]","[68.54387656702025,67.36579004564226,71.08974358974359,69.66198125836681]","[3945.692838891652,3925.6933388916523,3834.3898388916523,3894.9413388916523]"
100,762,5.191658274220986,443.9434628593363,10.746281567554426,0.40147137970607827,0.5104834942842206,0.5997743093624598,1.6252478486443696,0.23250025765313537,7,0.8636363636363636,4,"[6437.180211460376,4439.434628593363,6215.208480030708,6215.208480030708]","[12.447929429061503,12.115107913669064,11.641257293431206,12.692750287686996]","[0.0,0.24390243902439024,0.24630541871921183,0.0]","[360.06681390421994,303.54052705718385,325.5605918368865,314.83828314536953]","[2.887731481481482,1.990740740740741,2.7881944444444446,2.7905092592592595]","[0.0,0.0,0.0,0.0]","[2.4305555555555554,18.80902777777778,5.289351851851851,2.3275462962962963]","[13.22576702114656,12.14594807238395,12.464689265536723,12.995780590717299]","[94.5775462962963,79.20023148148148,91.81944444444444,94.68055555555554]","[74.02890695573623,74.02439024390245,75.61219390304848,73.47763347763347]","[6163.475152430709,6043.18765243071,6055.0696524307095,6061.598652430709]"
100,762,2.1490338728428044,95.45552853262194,5.859491491370802,0.7570054858103681,1.5035521587968292,0.15602210639041061,1.93015602053111,0.28452744957981,7,0.6363636363636364,1,"[2195.477156250304]","[12.429775280898877]","[0.6089036055923474]","[632.2150819940864]","[2.3449074074074074]","[0.1388888888888889]","[76.56597222222223]","[12.449938486506294]","[21.688657407407405]","[74.01009316770185]","[4631.62041585907]"
100,762,0.714404675044589,209.7783650534246,13.952822002146215,0.48217170268347476,1.1337589667245491,0.14405157759701656,0.4867311300202307,0.20255109739213994,4,0.7272727272727273,2,"[2517.340380641095,2517.340380641095]","[13.115224570076386,12.856529070654748]","[0.19048895760741275,0.13765084236532332]","[23984.12220326878,24233.536894540208]","[8.166666666666666,8.166666666666666]","[0.7073409944913106,0.68940632656024]","[75.64699074074073,74.54050925925927]","[13.797670970151147,13.604868358910073]","[16.186342592592595,17.292824074074076]","[72.15676246265696,72.50721857902273]","[73683.07106102462,74855.02856102414]"
100,762,5.866622855995954,304.12364463591746,10.012686746987558,0.6109024425020918,0.9139051980973547,0.6524671039708987,1.1435985192523765,0.5756914558692894,11,0.9090909090909091,3,"[5474.225603446514,5626.287425764473,5474.225603446514]","[13.070686957758497,12.316017316017316,11.199633699633699]","[0.0,0.0,0.0]","[227.63538100650055,264.83946621191285,227.65347076680416]","[2.173611111111111,2.2881944444444446,2.2384259259259256]","[0.0,0.30303030303030304,0.0]","[0.7881944444444445,0.84375,0.7488425925925926]","[14.87787356321839,14.689734422880491,13.693528693528695]","[97.02546296296296,96.82870370370371,96.91319444444446]","[70.43512658227849,70.11363636363637,75.32356532356533]","[5415.994638556769,5512.64613855677,5434.993138556769]"
100,762,9.842550782445665,228.8576219255384,2.6445509412279007,1.2483774409011952,1.5981843132553044,0.4501890578798726,1.1900135237358316,0.8472979666619692,4,0.7272727272727273,4,"[1830.8609754043068,1830.8609754043068,1602.0033534787685,1716.4321644415377]","[14.784456587735274,13.638124757845794,11.4477563052735,11.428571428571429]","[0.0,0.0,0.0,0.0]","[151.5566153655511,174.51442998858067,126.38185507357196,127.92076611288454]","[0.42592592592592593,0.42592592592592593,0.3726851851851852,0.3993055555555556]","[1.8613387978142075,1.8824771287825475,2.0408163265306123,1.7125292740046838]","[0.33564814814814814,0.3460648148148148,0.22916666666666669,0.28587962962962965]","[14.285714285714285,14.608739837398375,12.766599597585511,15.535444947209653]","[99.23842592592592,99.22800925925927,99.39814814814815,99.31481481481481]","[68.73322597960279,70.14846235418875,72.63212977498692,71.27450980392157]","[1697.485451789576,1756.706451789576,1574.3324517895762,1620.808951789576]"
