evolution$generation,evolution$evaluated,energyIntake,energyGain,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,month,objective$budgetFit,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
50,375,3.6049081354951227,100.26291976880155,12.62211836321133,0.9247474196756649,1.5129703275496844,0.12154775331200673,1.5474555720967245,0.9431308693441498,7,0.6818181818181818,2,"[1503.9437965320233,2306.0471546824356]","[13.148233797768398,13.15199506375977]","[0.25510204081632654,0.569337782960074]","[405.7298960600261,551.3514213013265]","[0.9733796296296295,1.4942129629629628]","[0.0,0.0]","[87.49768518518519,87.03240740740742]","[12.515006002400959,12.333333333333332]","[11.319444444444445,11.210648148148149]","[73.17552210290533,74.33031674208145]","[7174.661814344979,7653.857814344978]"
50,375,9.865103993373713,318.62466499187684,13.308477231831493,0.7646800351376608,1.15924284984585,0.23490291433276064,1.0763934977707725,0.15910520200255002,7,0.7727272727272727,2,"[7328.367294813165,7806.30429230098]","[13.217934100358175,12.72829794256794]","[0.5675270344936459,0.6550592876900315]","[641.442651565395,670.3369978558715]","[1.715277777777778,1.8206018518518519]","[0.16181229773462785,0.1597444089456869]","[14.636574074074073,5.496527777777779]","[12.815100815100816,13.098188446348914]","[83.61458333333334,92.64236111111111]","[73.40710048027121,73.25807958003897]","[8232.704571275723,8270.588571275723]"
50,375,6.888999209374456,313.5979154824046,3.7102378086729586,1.1135023441227796,1.5481883257410638,0.8744981345668321,1.3378710825332194,0.5098612560596325,10,0.7636363636363637,5,"[2195.1854083768317,1881.5874928944272,1881.5874928944272,2195.1854083768317,2195.1854083768317]","[12.626262626262626,8.012820512820513,14.743589743589741,16.263736263736263,16.666666666666664]","[0.0,0.0,0.0,0.0,0.0]","[57.82433655165913,32.22464528221637,38.57915994388553,69.44459373236764,63.56790398087436]","[0.7453703703703703,0.6435185185185185,0.6435185185185186,0.7453703703703703,0.7453703703703703]","[0.0,0.0,0.0,0.0,0.0]","[0.125,0.09259259259259259,0.11574074074074074,0.21412037037037038,0.15972222222222224]","[14.51048951048951,13.825109916951636,12.957875457875458,15.22133526850508,15.833333333333332]","[99.125,99.12037037037038,99.15162037037038,99.03935185185185,99.10763888888889]","[75.96153846153847,75.08549096238397,71.10805860805861,69.61538461538461,65.17857142857143]","[1932.4626481614087,1866.2336481614084,1879.6776481614086,1949.8226481614086,1951.9771481614084]"
50,375,4.528160296067878,103.59318438688777,7.4376184536864285,0.5792478567421393,1.2145837656911813,0.4354752111320259,1.8776193430894965,0.3374833043738402,2,0.9090909090909091,1,"[466.16932974099495]","[12.271557271557272]","[0.0]","[192.94141842044078]","[0.23958333333333334]","[0.9434801958166443]","[95.57407407407408]","[13.555431909862289]","[4.252314814814815]","[73.28377504848093]","[4106.546857771706]"
50,375,4.528160296067878,103.59318438688777,7.437618453686428,0.5792478567421393,1.8365884636378629,0.4354752111320259,1.3778800229113106,0.3374833043738402,5,0.9090909090909091,1,"[414.3727375475511]","[13.002061306431848]","[0.19695738022281184]","[45717.868816648326]","[0.21296296296296297]","[0.7198205367919821]","[98.76967592592592]","[13.762054602217844]","[1.0173611111111112]","[72.42807271113938]","[131305.75435777128]"
50,375,6.917983571808599,442.6405301688562,7.352165185824659,0.9587497249500081,1.7598203403134067,1.3112647844635403,1.5754263861685316,0.6595575054824414,7,0.8181818181818182,2,"[4426.405301688561,4426.405301688561]","[15.077457264957266,11.995494199980826]","[0.0,0.0]","[227.72347314942579,262.2879997812719]","[1.4814814814814816,1.4814814814814816]","[0.0,0.0]","[0.42824074074074076,0.5162037037037037]","[13.610013175230566,10.522648083623693]","[98.08217592592592,98.00231481481481]","[70.43628013777267,75.50646408103425]","[4173.7562891973375,4257.932289197338]"
50,375,4.614726538371715,179.22034787681605,1.1104494710056998,0.4136436689022981,0.8504242666497434,0.2122448194124417,0.9225553837809686,0.8495521186821927,2,0.8181818181818182,3,"[806.4915654456722,358.4406957536321,716.8813915072642]","[11.369509043927648,13.53641777370591,13.564875491480997]","[0.0,0.0,0.0]","[115.10035476423555,107.73559062405604,226.37926350683435]","[0.40625,0.18055555555555555,0.3611111111111111]","[1.4716465169833044,0.0,0.9132610508757297]","[0.3900462962962963,40.25231481481481,47.61574074074074]","[13.643410852713178,11.696306429548564,16.074203574203572]","[99.15856481481481,59.52199074074074,52.06828703703704]","[68.96923288550599,68.23507737656595,69.99848725512442]","[841.8587460824294,826.0012460824295,1164.1297460824294]"
50,375,7.15535805924324,95.57850350304709,2.8342732777863002,1.0748151238674035,1.2241904110340656,1.4270318210561497,1.8017715973885151,0.35196086953938843,1,0.7727272727272727,2,"[2054.937825315513,2293.884084073131]","[12.293706293706293,13.759296822177147]","[0.0,0.0]","[240.11600951688007,332.1036976715396]","[0.6469907407407407,0.7546296296296295]","[0.0,0.0]","[0.7418981481481481,0.9560185185185185]","[12.609495767390506,15.578093306288032]","[98.54976851851852,98.2337962962963]","[74.05481158517595,70.96774193548387]","[1992.676173337104,2274.3611733371044]"
50,375,9.703960338338753,127.25417198712778,6.723962010839269,0.23387635497262707,1.1319802110651604,1.624324938324106,1.9698779977649719,0.6604859810114598,4,0.7272727272727273,2,"[1527.0500638455335,1527.0500638455335]","[13.060501586848746,13.167015609640043]","[0.22255410130906092,0.14367625990026212]","[26534.154700642343,26591.56707632164]","[0.3611111111111111,0.3611111111111111]","[0.6393838046011959,0.6935752735107141]","[74.81712962962963,73.77893518518519]","[13.70532537573116,13.80148407216058]","[24.82175925925926,25.859953703703702]","[72.49416090050772,71.96942079387847]","[77298.18426520501,78204.414765205]"
50,375,2.947133367931511,415.7861581316895,10.929773533751948,0.17158008620313225,1.8983955355335178,0.6837990434167205,1.290939491224925,0.19881438227364462,4,0.8181818181818182,2,"[4989.433897580272,4989.433897580272]","[13.076304213694593,13.13329621284465]","[0.2001831747288333,0.1917887679947623]","[9583.696359340262,9969.145177334849]","[3.916666666666667,3.916666666666667]","[0.7230814220638506,0.7760098076732562]","[21.001157407407405,21.74537037037037]","[14.047813363333216,13.898642216238295]","[75.08217592592592,74.33796296296296]","[71.66752181637149,72.09339448146552]","[32197.79579620378,33485.634796203754]"
