"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"1",1,10,10.2,2.225,15,0,0,0,0,0,0,0,0,0,0,0,0,"Callophyllum","cf. lanigerum / sp. 2","untouched"
"2",2,10,18.8,2.525,17.8201402942395,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"3",4,10,11.6,1.65,9.31285626506717,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"4",1,13,33.2,4.5,12.9351091399407,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"5",2,14,11,1.9,15,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum","untouched"
"6",2,15,8.8,1.65,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"7",3,18,13,2.175,15,0,0,0,0,0,0,0,0,0,0,0,0,"Ilex","hypoglauca","untouched"
"8",6,19,7.6,1.925,13,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"9",7,17,24.9,3.8,11.7768347915753,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","cf. hosei (cf. fragrans)","untouched"
"10",8,19,10.1,0.875,13,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"11",8,16,10,2.025,10,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"12",10,18,6.5,1.25,6,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"13",11,16,7.7,1.325,8.5,0,0,0,0,0,0,0,0,0,0,0,0,"Isonandra","lanceolata","untouched"
"14",11,14,14.1,2.85,14,0,0,0,0,0,0,0,0,0,0,0,0,"Licania","splendens","untouched"
"15",14,15,8.3,0.8,15,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum","untouched"
"16",14,18,8.2,2.875,10,0,0,0,0,0,0,0,0,0,0,0,0,"Licania","splendens","untouched"
"17",16,15,10.9,1.925,12,0,0,0,0,0,0,0,0,0,1,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"18",20,16,21.7,3.625,23.2680052906522,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"19",6,13,11.7,2.25,11,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"20",7,10,7.5,1.65,7,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"21",9,10,12,2.45,10,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana","untouched"
"22",11,11,11.1,1.5,15,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"23",11,10,11.6,1.825,14,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"24",21,11,7.3,1.525,8,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"25",20,19,6.6,1.625,8,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","cf. hosei (cf. fragrans)","untouched"
"26",20,19,19.6,1.625,8,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum","untouched"
"27",27,17,8.3,1.425,8,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"28",27,15,8.7,1.6,13,0,0,0,0,0,0,0,0,0,0,0,0,"Santiria","cf. griffithi","untouched"
"29",27,14,6.9,0.675,7,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"30",26,13,29.5,5.325,15.7869670503452,0,0,0,0,0,0,0,0,0,0,0,0,"Sandoricum","beccanarium","untouched"
"31",27,13,23.1,3.6,8.96092253047998,0,0,0,0,0,0,0,0,0,0,0,0,"Blumeodendron","tokbrai (elateriospermum)","untouched"
"32",29,12,8.4,1.65,11,0,0,0,0,0,1,1,0,0,1,0,0,"Tetramerista","glabra","untouched"
"33",39,13,9.5,1.725,11,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"34",31,10,37,3.775,14.2017059221718,0,0,0,0,0,0,0,0,0,0,0,0,"Koompassia","malaccensis","untouched"
"35",30,11,6.4,1.775,6,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"36",31,13,10.8,1.35,13,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"37",31,16,30.7,3.275,26.3527275309737,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)","untouched"
"38",32,17,19.8,2.3,23.8300202985864,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"39",32,16,14.3,1.625,15.2940885027313,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"40",33,15,18.7,2.525,24.5008443370683,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"41",33,14,9.7,1.675,14,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"42",34,19,27.5,2.9,15.4294737608008,0,0,0,0,0,0,0,0,0,0,0,0,"Blumeodendron","tokbrai (elateriospermum)","untouched"
"43",33,18,12.6,1.875,14,0,0,0,0,0,0,0,0,0,0,0,0,"Dipterocarpus","borneensis","untouched"
"44",35,19,8.5,1.5,11,0,0,0,0,0,1,1,1,0,1,0,0,"Syzygium","sp. 1 cf. garcinifolia","untouched"
"45",37,17,10.9,2.175,16,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"46",36,15,8.2,2.025,8,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"47",36,16,17.3,2.725,21.2,0,0,0,0,0,1,1,1,0,1,0,0,"Sandoricum","beccanarium","untouched"
"48",38,14,17.9,2.8,15,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum","untouched"
"49",39,11,26.2,3.275,21.8413096648997,0,0,0,0,0,0,0,0,0,0,0,0,"Sandoricum","beccanarium","untouched"
"50",42,10,34.7,5.2,23.8,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"51",43,10,6.8,0.575,14,1,1,1,1,1,1,1,1,0,1,1,1,"Diospyros","siamang","untouched"
"52",43,11,7,3.025,12.5,0,0,0,0,0,0,0,0,0,0,0,0,"Koompassia","malaccensis","untouched"
"53",43,12,21.6,3.3,19.4085574574122,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"54",45,11,13.7,1.55,20.8,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"55",46,10,20.7,2.85,24.4896790569643,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"56",46,13,14,2.375,21.2315842644542,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum","untouched"
"57",43,14,13.2,2.75,15.6,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)","untouched"
"58",45,16,35.9,5.025,32.2769819777084,0,0,0,0,0,0,0,0,0,0,0,0,"Koompassia","malaccensis","untouched"
"59",45,17,18.3,4.85,19.7550214941408,0,0,0,2,0,0,2,2,2,2,2,0,"Nephelium","maingayi","untouched"
"60",45,19,23.5,3.225,18.3995535591238,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"61",43,19,12,2.15,13,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"62",49,19,18,1.975,18.9796099734023,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum","untouched"
"63",50,20,15.7,3.2,15,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana","untouched"
"64",54,18,8.2,1.875,13,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii","untouched"
"65",57,17,10.5,2.35,15,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii","untouched"
"66",58,15,19.9,2.375,21.7131477698913,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"67",57,13,17.1,3.025,22.5,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","cf. elliptica","untouched"
"68",58,11,14.9,2.475,11.6613647377374,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"69",54,11,11.3,2.4,15,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii","untouched"
"70",52,11,13.6,1.325,16,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","cf. valevenosum","untouched"
"71",51,10,10.1,2.175,13,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"72",61,10,6,1.625,9,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"73",60,16,7.9,2.375,10,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"74",61,16,34.7,2.675,21.1,0,0,0,0,0,0,0,0,0,1,0,1,"Palaquium","pseudorostratum","untouched"
"75",62,16,23.3,2.325,16.2,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"76",62,15,8.8,0.55,7,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"77",65,13,10.8,1.5,17,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"78",66,13,14,1.55,17,0,0,0,0,0,0,0,0,0,0,0,0,"Mezzetia","parviflora (leptopoda)","untouched"
"79",66,14,8.5,1.425,12,0,0,0,0,0,0,0,0,0,0,0,0,"Licania","splendens","untouched"
"80",67,13,18.8,1.6,17.5,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"81",68,14,14.6,1.2,16,0,0,0,0,0,0,0,0,0,0,0,0,"Myristica","lowiana","untouched"
"82",70,16,6.8,1.3,11,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"83",73,15,17.7,2.725,12.8,0,0,0,0,0,0,0,1,0,0,0,0,"Isonandra","lanceolata","untouched"
"84",79,15,26.5,5.6,21.4012572937154,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"85",76,13,16.4,2.55,16,0,0,0,0,0,0,0,1,0,0,0,0,"Memecylon","sp. 1","untouched"
"86",79,11,31.5,3.75,23.9719237058512,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"87",74,12,9,1.85,13,0,0,0,0,0,0,0,0,0,0,0,0,"Blumeodendron","tokbrai (elateriospermum)","untouched"
"88",74,11,12.1,1.425,14,0,0,0,0,0,0,0,0,0,0,0,0,"Isonandra","lanceolata","untouched"
"89",71,11,9.2,2.25,13,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"90",83,10,35.4,3.2,26.70066468558,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"91",80,10,12.8,2.85,15,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"92",80,16,15.8,2.525,15,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"93",83,17,16.3,1.85,17,0,0,0,0,0,0,0,0,0,0,0,0,"Maasia (Polyalthia)","glauca","untouched"
"94",84,18,14.5,2.7,17,1,0,0,0,0,0,0,0,0,1,1,0,"Garcinia","bancana","untouched"
"95",86,19,10.3,1.425,12,0,0,0,0,0,1,1,0,0,1,0,0,"Tetramerista","glabra","untouched"
"96",88,18,10.2,1.775,16,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"97",90,18,21.5,2.1,16,0,0,0,0,0,0,0,0,0,0,0,0,"Tristaniopsis","sp. 4","untouched"
"98",92,19,26,1.975,14,0,0,0,0,0,0,0,0,0,0,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"99",93,18,10,1.925,12,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"100",97,17,7.4,2.1,10,0,0,0,0,0,0,0,0,0,0,0,1,"Garcinia","sp. 4 parvifolia","untouched"
"101",96,15,10.3,1.8125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"102",97,14,20.5,3.575,18,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
"103",99,13,16.6,2.3,18,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"104",98,12,29.5,4.875,33.1348769457281,0,0,0,0,0,0,0,0,0,0,0,0,"Koompassia","malaccensis","untouched"
"105",86,13,8.5,1.3,8,0,0,0,0,0,0,0,0,0,0,0,0,"Stemonurus","cf. scorpiodes","untouched"
"106",92,12,28.4,3.7,27.9060230016595,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"107",91,12,23.4,2.575,21.3866612589015,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"108",93,12,24.6,3.525,24.5,0,0,0,0,0,0,0,0,0,0,0,0,"Xylopia","coriifolia","untouched"
"109",93,11,25,3.1,22.5,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"110",90,10,17.5,1.4,14,0,0,0,0,0,0,0,1,0,0,0,0,"Myristica","lowiana","untouched"
"111",0,20,13.8,2.415,15,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"112",0,21,11,2.25,15,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"113",5,22,13.3,2.05,16,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"114",5,24,13.4,1.825,15,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"115",3,31,10.7,3.4,9,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"116",1,31,14.9,2.125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
