"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"1",47,80,27.9,3.95,22,0,0,0,0,0,0,0,0,0,0,1,0,"Santiria","sp. 1","untouched"
"2",50,80,21,5.05,8,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","cf. hosei (cf. fragrans)","untouched"
"3",65,80,10.9,4.9,7,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","lappaceum","untouched"
"4",0,81,6.2,1.4575,8,0,0,0,0,0,0,0,1,0,0,0,0,"Memecylon","sp. 1","untouched"
"5",1,81,9.1,1.46,10,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"6",2,82,7.4,1.1525,11,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"7",1,85,16.5,2.3175,14,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"8",6,85,23.7,2.575,18.3714725015518,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"9",8,88,16.2,2.4125,13,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"10",7,89,20.2,2.7,28.5,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"11",2,91,10.3,1.3,6,0,0,0,0,0,0,0,0,0,0,0,0,"Horsfieldia","crassifolia","untouched"
"12",1,93,9.9,1.95,10,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"13",4,94,20.5,1.725,16,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"14",3,95,7.8,1.025,11,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"15",0,96,20.1,1.725,17,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"16",3,98,8.8,1.275,13,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"17",2,98,10.3,1.5,13,0,0,0,0,0,0,0,0,0,0,0,0,"Blumeodendron","tokbrai (elateriospermum)","untouched"
"18",2,99,35,4.325,28.5,0,0,0,0,0,0,0,1,1,1,0,0,"Xylopia","fusca","untouched"
"19",4,98,7,1.675,9,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"20",5,98,14.4,2.625,14,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","soulattri","untouched"
"21",4,99,19.3,3.45,16,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"22",11,95,28,3.6,23.1096970631482,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"23",9,94,15.9,2.1,16,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"24",7,95,14,1.825,16.5,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","sp. 1","untouched"
"25",8,92,10.6,1.575,10,0,0,0,0,0,1,1,1,0,2,1,0,"Maasia (Polyalthia)","hypoleuca","untouched"
"26",9,92,19.5,1.35,16.5,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"27",10,92,7.5,1.725,10,0,0,0,0,0,0,0,0,0,0,0,0,"Blumeodendron","tokbrai (elateriospermum)","untouched"
"28",13,94,14.5,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","havilandii","untouched"
"29",15,92,25.7,3.125,20.4084849302546,1,0,0,0,0,0,0,0,0,0,1,1,"Madhuca","mottleyana","untouched"
"30",14,98,10.4,1.525,14,0,0,1,1,0,0,0,0,0,0,0,0,"Combretocarpus","rotundatus","untouched"
"31",15,98,10.2,1.925,7,0,0,0,0,0,0,0,0,0,0,0,0,"Diospyros","areolata (bantamensis)","untouched"
"32",13,99,14.4,2.45,15,0,0,0,0,0,0,0,0,0,0,0,0,"Xylopia","cf. malayana","untouched"
"33",17,99,23.3,2.8,17,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"34",18,99,16.5,2.75,15,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","sclerophyllum","untouched"
"35",18,98,8.1,1.75,9,0,0,0,0,0,0,0,0,0,0,0,0,"Neoscortechinia","kingii","untouched"
"36",19,99,39.2,3.725,26.6779073257169,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"37",15,91,6.9,0.95,6,0,0,0,0,0,0,0,0,0,0,0,0,"Calophyllum","hosei","untouched"
"38",16,92,10.1,1.5,8,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"39",18,89,8.3,1.35,7,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"40",18,88,17.5,2.725,14,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"41",19,87,8,1.4,8,0,0,0,0,0,0,0,0,0,0,0,0,"Gymnacranthera","farquhariania","untouched"
"42",18,87,16.9,1.6,16,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 4","untouched"
