"","x","y","dbh","canopy_radius","height","fruiting_jan","fruiting_feb","fruiting_mar","fruiting_apr","fruiting_may","fruiting_jun","fruiting_jul","fruiting_aug","fruiting_sep","fruiting_oct","fruiting_nov","fruiting_dec","genus","species","status"
"205",74,25,7.8,1.675,7,0,0,0,0,0,0,0,0,0,0,0,0,"Nephelium","maingayi","untouched"
"206",76,26,6.5,1.4,6,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"207",76,25,10.6,1.325,8,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","ridleyii","untouched"
"208",62,23,13.2,3.675,10,0,0,0,0,0,0,0,0,0,0,0,0,"Elaeocarpus","mastersii","untouched"
"209",82,20,7,1.625,10,0,0,0,0,0,0,0,0,0,0,0,0,"Palaquium","cochlearifolium","untouched"
"210",87,20,7.4,1.25,9,0,0,0,0,0,0,0,0,0,0,0,0,"Sandoricum","beccanarium","untouched"
"211",86,22,12,3.05,9,0,0,0,0,0,0,0,0,0,0,0,0,"Campnosperma","squamatum","untouched"
"212",86,23,12.3,2.4,13,0,0,0,0,0,1,1,1,0,1,0,0,"Litsea","sp. 1 cf. resinosa","untouched"
"213",87,24,40.7,4.65,26,0,0,0,0,0,0,0,0,0,0,0,0,"Shorea","teysmanniana","untouched"
"214",86,26,7.9,1.725,11,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
"215",83,26,10.4,3.3125,18,0,0,0,0,0,0,0,0,0,1,0,0,"Palaquium","pseudorostratum","untouched"
"216",82,26,7.8,0.125,7.5,0,0,0,0,0,0,0,0,0,0,0,1,"Dyera","polyphylla (lowii)","untouched"
"217",81,25,17.1,2.6775,13,0,0,0,0,0,0,0,0,0,0,0,0,"Mesua","sp. 1","untouched"
"218",80,23,17.8,3.475,14,0,0,0,0,0,1,1,1,0,1,0,0,"Syzygium","sp. 1 cf. garcinifolia","untouched"
"219",80,27,6.3,1.25,11,0,0,0,0,0,0,0,0,0,0,0,0,"Syzygium","sp. 5 cf. zeylanicum","untouched"
"220",81,28,14,2.0625,10,0,0,0,0,0,0,0,0,0,0,0,0,"Gonystylus","bancanus","untouched"
"221",82,30,11,2.5025,17,0,0,0,0,0,0,0,0,0,0,0,0,"Tetractomia","tetrandra","untouched"
