"","TreeID","x","y","DBH","crown","height","fruiting","species"
"783",66517,21,68,47,3.3324668067184,5.89031378906892,0,"Mangifera unknown<ca>mixed"
"784",66541,21,73,18.1,1.77520742397473,3.04922257094621,0,"Popowia odoardoi"
"785",66667,21,86,20,1.89609914847211,3.26664248588566,0,"Xanthophyllum adenotus"
"786",66668,21,87,50,3.4713743401858,6.14724060916549,0,"Dillenia excelsa"
"787",66671,21,88,387,13.3989412523616,25.229664480734,0,"Aglaia unknown<ca>mixed"
"788",66702,21,92,26.1,2.26028904895753,3.92530004475275,0,"Polyalthia insignis"
"789",66719,21,96,16.8,1.6899948142649,2.89637182117355,0,"Memecylon costatum"
"790",66720,21,97,41,3.04521942537085,5.36057985950493,0,"Alangium javanicum"
"791",65785,22,0,185,8.23217486137337,15.1614033509361,0,"Garcinia andersonii"
"792",65788,22,2,67,4.21105211159959,7.52285208987442,0,"Unidentified unknown"
"793",65774,22,4,52,3.56240632204111,6.31587049412669,0,"Syzygium unknown<ca>mixed"
"794",65790,22,5,15,1.56820009931514,2.67851373637564,0,"Mallotus miquelianus"
"795",65877,22,17,379,13.2154855639128,24.8686359089682,0,"Alangium javanicum"
"796",65866,22,18,12.2,1.36829183149523,2.32262551348167,0,"Streblus glaber"
"797",66029,22,20,28.6,2.40094840773138,4.18103181282424,0,"Unidentified unknown<ca>mixed"
"798",66030,22,21,16.4,1.6633291006718,2.8486111137301,0,"Lansium domesticum"
"799",66037,22,23,18.2,1.78167449123576,3.06083674868159,0,"Mallotus miquelianus"
"800",66049,22,28,27.6,2.34520731541068,4.07960556757092,0,"Beilschmiedia tawaensis"
"801",66051,22,29,18.2,1.78167449123576,3.06083674868159,0,"Brownlowia peltata"
"802",66124,22,36,25.9,2.24884275943451,3.90452085100347,0,"Mallotus miquelianus"
"803",66297,22,41,13.2,1.44131876417897,2.45237523446843,0,"Mallotus miquelianus"
"804",66299,22,42,52,3.56240632204111,6.31587049412669,0,"Aglaia oligophylla"
"805",66300,22,45,12.2,1.36829183149523,2.32262551348167,0,"Mallotus miquelianus"
"806",66359,22,50,19.3,1.85203448918197,3.18731841853367,0,"Mallotus miquelianus"
"807",66360,22,55,39,2.94634695265143,5.17875645981544,0,"Polyalthia insignis"
"808",66368,22,57,17.4,1.7295923268552,2.96735762495946,0,"Syzygium unknown<ca>mixed"
"809",66367,22,58,107,5.73554299016293,10.3912002869701,0,"Orophea myriantha"
"810",66503,22,61,15.6,1.60932397389524,2.75199019385456,0,"Popowia pisocarpa"
"811",66527,22,66,30,2.47788572745443,4.32120206482135,0,"Baccaurea tetrandra"
"812",66539,22,71,21.1,1.96429932109468,3.3895793355403,0,"Parashorea malaanonan"
"813",66540,22,73,72,4.41591488239245,7.9058820686228,0,"Glycosmis macrantha"
"814",66559,22,76,22.7,2.06138120415594,3.56491148207367,0,"Baccaurea tetrandra"
"815",66654,22,80,32,2.58571248101366,4.51798093785213,0,"Pentace laxiflora"
"816",66661,22,85,22.2,2.03130065793807,3.51054433017067,0,"Leea aculeata"
"817",66669,22,87,12.3,1.37568378898813,2.33574504424218,0,"Pentace laxiflora"
"818",66676,22,88,106,5.70010843037198,10.3240941452932,0,"Unidentified grandistipula"
"819",66672,22,89,17.5,1.73614645616723,2.97911427680774,0,"Pentace laxiflora"
"820",66718,22,92,16.9,1.69662737910264,2.9082566871364,0,"Actinodaphne glomerata"
"821",66717,22,93,22.9,2.07335020682027,3.58655414813423,0,"Goniothalamus woodii"
"822",66706,22,94,41,3.04521942537085,5.36057985950493,0,"Cryptocarya pulchrinervia"
"823",66726,22,98,56,3.74097963381603,6.64722910939878,0,"Hydnocarpus anomalus"
"824",65784,23,0,25.7,2.23736637804176,3.88369185539859,0,"Ryparosa acuminata"
"825",65782,23,2,12.2,1.36829183149523,2.32262551348167,0,"Mallotus miquelianus"
"826",65777,23,3,13.6,1.46999861502099,2.5034144572495,0,"Goniothalamus woodii"
"827",65799,23,7,89,5.07900511771466,9.15103073030655,0,"Ryparosa acuminata"
"828",65798,23,8,13.9,1.4913205907024,2.54138885688725,0,"Mallotus miquelianus"
"829",65857,23,12,40,2.99599331736387,5.27002048312909,0,"Popowia pisocarpa"
"830",65856,23,13,72,4.41591488239245,7.9058820686228,0,"Streblus glaber"
"831",65855,23,14,16,1.63644131147714,2.80048787841643,0,"Mallotus miquelianus"
"832",65875,23,15,20,1.89609914847211,3.26664248588566,0,"Mallotus miquelianus"
"833",65873,23,16,81,4.77288926519274,8.57522595097558,0,"Palaquium beccarianum"
"834",65871,23,18,22.7,2.06138120415594,3.56491148207367,0,"Mallotus miquelianus"
"835",66043,23,20,125,6.35538485390425,11.5680143358963,0,"Ryparosa acuminata"
"836",66041,23,22,23.5,2.10904591739545,3.65113367968276,0,"Mallotus miquelianus"
"837",66038,23,24,159,7.44909217218035,13.6569879106178,0,"Pterospermum javanicum"
"838",66055,23,26,16,1.63644131147714,2.80048787841643,0,"Mallotus miquelianus"
"839",66054,23,27,31,2.53209481529068,4.42008354300624,0,"Syzygium unknown<ca>mixed"
"840",66052,23,29,183,8.17332870635606,15.0481170650278,0,"Dillenia excelsa"
"841",66102,23,30,11.6,1.32349869964468,2.24319444985503,0,"Mallotus miquelianus"
"842",66103,23,31,22,2.01920408135173,3.48869143448845,0,"Mallotus miquelianus"
"843",66093,23,34,45,3.23818386990467,5.71620168588903,0,"Heliciopsis artocarpoides"
"844",66122,23,35,21.5,1.98879779408743,3.43378774660987,0,"Memecylon laevigatum"
"845",66117,23,37,91,5.15404925953284,9.29243367275265,0,"Diplospora malaccensis"
"846",66296,23,40,13.5,1.46285585152807,2.49069878812273,0,"Mallotus miquelianus"
"847",66294,23,41,21.5,1.98879779408743,3.43378774660987,0,"Mallotus miquelianus"
"848",66291,23,44,13.6,1.46999861502099,2.5034144572495,0,"Syzygium unknown<ca>mixed"
"849",66310,23,45,35,2.74325484763462,4.80615596233589,0,"Mallotus miquelianus"
"850",66357,23,50,50,3.4713743401858,6.14724060916549,0,"Aglaia oligophylla"
"851",66372,23,55,19.6,1.87098477356835,3.22142183787242,0,"Phaeanthus splendens"
"852",66508,23,64,58,3.8286328543465,6.81014289616826,0,"Ryparosa acuminata"
"853",66547,23,71,17.2,1.71644551026872,2.94378126868347,0,"Baccaurea tetrandra"
"854",66544,23,72,18,1.76872819714215,3.03758848436408,0,"Leea aculeata"
"855",66658,23,83,18,1.76872819714215,3.03758848436408,0,"Leea aculeata"
"856",66679,23,85,15,1.56820009931514,2.67851373637564,0,"Xanthophyllum adenotus"
"857",66678,23,86,52,3.56240632204111,6.31587049412669,0,"Orophea myriantha"
"858",66714,23,91,14.1,1.50544835132373,2.56656399166483,0,"Leea aculeata"
"859",66716,23,92,27,2.31143311201651,4.01820330428748,0,"Alangium javanicum"
"860",66709,23,93,15.8,1.62291182043506,2.77628661438447,0,"Diospyros curranii"
"861",66708,23,94,15.8,1.62291182043506,2.77628661438447,0,"Litsea oppositifolia"
"862",66723,23,98,66,4.16946414499932,7.44519753195426,0,"Hydnocarpus anomalus"
"863",65781,24,3,24.8,2.18534171256694,3.7893312283976,0,"Aglaia oligophylla"
"864",65779,24,4,70,4.33456931720165,7.75369220110907,0,"Paranephelium xestophyllum"
"865",65803,24,5,11.8,1.33851539579781,2.26980994351482,0,"Mallotus miquelianus"
"866",65802,24,6,29.9,2.47243128514817,4.31125815755507,0,"Buchanania sessilifolia"
"867",44326,24,12,23,2.07932137390245,3.59735349537344,0,"Heliciopsis artocarpoides"
"868",65872,24,16,20.7,1.9396424221303,3.34511033850422,0,"Aglaia luzoniensis"
"869",65868,24,19,24.6,2.17369405072273,3.76821898316375,0,"Mallotus miquelianus"
"870",66042,24,22,38,2.89626582536423,5.08676402116854,0,"Aglaia silvestris"
"871",66040,24,24,18.3,1.7881294883691,3.07243116074963,0,"Mallotus miquelianus"
"872",66056,24,25,46,3.2854995720469,5.80355110410379,0,"Mallotus miquelianus"
"873",66053,24,28,12.1,1.36087924446205,2.30947260338665,0,"Mallotus miquelianus"
"874",66100,24,30,31,2.53209481529068,4.42008354300624,0,"Xanthophyllum affine"
"875",66098,24,31,27.7,2.35081197117176,4.08979886282579,0,"Mallotus miquelianus"
"876",66097,24,33,143,6.94549224559054,12.6932482828667,0,"Buchanania sessilifolia"
"877",66095,24,34,18.6,1.80742293642532,3.1070972078502,0,"Microcos crassifolia"
"878",66118,24,37,33,2.63876336742777,4.61493435396522,0,"Unidentified illustris"
"879",66115,24,38,360,12.7744113426514,24.0015691065281,1,"Shorea johorensis"
"880",66293,24,43,24.7,2.1795218899617,3.77878173008818,0,"Mallotus miquelianus"
