"","x","y","dbh","crown","height","fruiting","genus","species"
"1055",97.25,73.4,26.1,3.775,26.5598335937318,0,"Sandoricum","beccanarium"
"1056",98.9,75.5,15.1,2.825,15,0,"Shorea","teysmanniana"
"1057",95.65,71.5,10.1,1.75,13,0,"Neoscortechinia","kingii"
"1058",95.1,74.1,18.7,3.8125,17,0,"Syzygium","sp. 4"
"1059",95.5,72.6,10.7,2.3375,11,0,"Palaquium","cochlearifolium"
"1060",92.3,76.4,9.1,1.2,9,0,"Magnolia","bintulensis"
"1061",91.7,77.3,21.5,1.625,21.6314471263677,0,"Sandoricum","beccanarium"
"1062",91.7,78.3,11.8,1.2,16,0,"Diospyros","cf. evena"
"1063",91.7,79.6,27.3,3.225,15,0,"Litsea","sp. 1 cf. resinosa"
"1064",90.3,78.1,16.4,1.475,18,0,"Horsfieldia","crassifolia"
"1065",87.6,72.7,27.4,5,23,0,"Blumeodendron","tokbrai (elateriospermum)"
"1066",81.7,74.2,15.5,2.225,16,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"1067",84,76.8,23,4.25,14,0,"Elaeocarpus","mastersii"
"1068",87.1,79.7,8,1.375,6,0,"Madhuca","mottleyana"
"1069",86.8,75.3,12,2.075,15,0,"Memecylon","sp. 1"
"1070",84.1,79.1,9.7,1.425,10,0,"Mezzetia","umbellata"
"1071",80.8,78.7,21.3,2.8,18,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"1072",0.25,81.2,6.2,1.4575,8,0,"Memecylon","sp. 1"
"1073",1.7,81.1,9.1,1.46,10,0,"Neoscortechinia","kingii"
"1074",2.7,82,7.4,1.1525,11,0,"Madhuca","mottleyana"
"1075",1,85.3,16.5,2.3175,14,0,"Tetractomia","tetrandra"
"1076",6.3,85.9,23.7,2.575,18.3714725015518,0,"Palaquium","ridleyii"
"1077",8.2,88.2,16.2,2.4125,13,0,"Neoscortechinia","kingii"
"1078",7.5,89.4,20.2,2.7,28.5,0,"Diospyros","areolata (bantamensis)"
"1079",2.6,91.3,10.3,1.3,6,0,"Horsfieldia","crassifolia"
"1080",1.6,93.9,9.9,1.95,10,0,"Mesua","sp. 1"
"1081",4.6,94.3,20.5,1.725,16,0,"Neoscortechinia","kingii"
"1082",3.8,95.9,7.8,1.025,11,0,"Madhuca","mottleyana"
"1083",0.9,96.1,20.1,1.725,17,0,"Dyera","polyphylla (lowii)"
"1084",3,98.1,8.8,1.275,13,0,"Neoscortechinia","kingii"
"1085",2.9,98.4,10.3,1.5,13,0,"Blumeodendron","tokbrai (elateriospermum)"
"1086",2.9,99,35,4.325,28.5,0,"Xylopia","fusca"
"1087",4.6,98.4,7,1.675,9,0,"Diospyros","areolata (bantamensis)"
"1088",5,98.8,14.4,2.625,14,0,"Calophyllum","soulattri"
"1090",11,95.5,28,3.6,23.1096970631482,0,"Mesua","sp. 1"
"1091",9,94.2,15.9,2.1,16,0,"Tetractomia","tetrandra"
"1092",7.5,95.2,14,1.825,16.5,0,"Diospyros","sp. 1"
"1093",8.4,92.5,10.6,1.575,10,0,"Maasia (Polyalthia)","hypoleuca"
"1094",8,92,7.2,0.85,7,0,"Syzygium","sp. 1 cf. garcinifolia"
"1095",9.3,92.4,19.5,1.35,16.5,0,"Dyera","polyphylla (lowii)"
"1096",10.6,92.4,7.5,1.225,10,0,"Blumeodendron","tokbrai (elateriospermum)"
"1097",13.2,94.8,14.5,1,7.5,0,"Syzygium","havilandii"
"1098",15.3,92.7,25.7,3.125,20.4084849302546,0,"Madhuca","mottleyana"
"1099",14.4,98.2,10.4,1.525,14,0,"Combretocarpus","rotundatus"
"1100",15.9,98.2,10.2,1.925,7,0,"Diospyros","areolata (bantamensis)"
"1104",18.8,98.4,8.1,1.75,9,0,"Neoscortechinia","kingii"
"1106",15.9,92.1,10.1,1.575,8,0,"Gymnacranthera","farquhariania"
"1107",15.8,91.1,6.9,0.95,6,0,"Calophyllum","hosei"
"1108",16.8,92.4,10.1,1.5,8,0,"Gymnacranthera","farquhariania"
"1109",18.6,89.2,8.3,1.35,7,0,"Gonystylus","bancanus"
"1110",18.4,88.9,17.5,1.85,14,0,"Mesua","sp. 1"
"1111",19,87.9,8,0.95,8,0,"Gymnacranthera","farquhariania"
"1112",18.9,87.7,16.9,1.6,16,0,"Syzygium","sp. 4"
"1113",16.3,88.7,7.5,0.625,5,0,"Stemonurus","cf. scorpiodes"
"1114",15.6,86.8,13.8,2.125,9,0,"Horsfieldia","crassifolia"
"1115",10.6,84.6,7.8,1.55,8,0,"Mesua","sp. 1"
"1116",10.9,83,13,2.625,15,0,"Neoscortechinia","kingii"
"1117",18,83,7.3,0.825,9,0,"Syzygium","sp. 1 cf. garcinifolia"
"1118",17.9,82.5,11.6,0.9,15,0,"Sandoricum","beccanarium"
"1119",17.2,81.5,6.5,1.225,8,0,"Syzygium","sp. 4"
"1120",16.5,80.4,10.1,1.55,12,0,"Tetractomia","tetrandra"
"1121",24,80.7,9.4,1.6,13,0,"Madhuca","mottleyana"
"1122",23.1,83.7,36.6,4.5,24.594010767585,0,"Xylopia","fusca"
"1123",24.6,85.4,16,3.025,13,0,"Garcinia","sp. 1"
"1124",25,87.1,8.4,0.8,4.5,0,"Shorea","teysmanniana"
"1125",23.2,89.4,38.5,5.7,30.4948487861359,0,"Koompassia","malaccensis"
"1126",23.7,89.8,11,2.275,11,0,"Tetractomia","tetrandra"
"1127",24.2,90.7,7,1.175,7,0,"Syzygium","havilandii"
"1128",20.25,89.4,20.4,2.625,14,0,"Palaquium","ridleyii"
"1129",21.5,94.6,7.8,2.1,7,0,"Elaeocarpus","mastersii"
"1130",23.2,94,6.6,0.55,5,0,"Nephelium","lappaceum"
"1131",23.9,96.2,28.2,2.75,24.1556900417866,0,"Mezzetia","parviflora (leptopoda)"
"1132",21.9,98,6.9,1,5.5,0,"Litsea","sp. 1 cf. resinosa"
"1133",22.8,96.8,7,1.125,9,0,"Litsea","sp. 1 cf. resinosa"
"1134",23.7,97.1,12.2,2.15,16,0,"Litsea","cf. grandis var. rufofusca (cf. rufo-fusca)"
"1135",24.2,97.7,18.4,2.675,18,0,"Palaquium","ridleyii"
"1136",24.6,97.9,20.9,2.575,19,0,"Shorea","teysmanniana"
"1139",25.8,97.8,7.8,1.575,11,0,"Tristaniopsis","sp. 2"
