evolution$generation,evolution$evaluated,energyIntake,energyGain,basalEnergy,brachiationSpeed,swaySpeed,climbSpeed,descentSpeed,walkSpeed,month,objective$budgetFit,evolution$samples,totalEnergyIntake,climb,walk,travelDistance,feedingBudget,brachiation,travellingBudget,descent,restingBudget,sway,energyExpenditure
700,5167,7.135910625878217,314.434584222927,3.7496551027563583,0.22207157198578065,0.8167148401562578,0.1429557039346158,0.9394896934971432,0.10624550202206168,11,0.7272727272727273,4,"[2201.0420895604893,2201.0420895604893,2201.0420895604893,2201.0420895604893]","[13.961038961038959,13.097094259390506,12.660256410256409,14.144736842105264]","[0.0,0.0,0.0,0.0]","[89.71267442275746,96.37230522816022,93.54379405166588,56.521982131243135]","[0.7141203703703705,0.712962962962963,0.7152777777777778,0.712962962962963]","[0.0,0.0,0.0,0.0]","[0.3368055555555556,0.3530092592592593,0.3287037037037037,0.2476851851851852]","[13.085255066387141,13.523057748234317,15.515873015873016,13.14655172413793]","[98.87615740740742,98.93402777777777,98.95601851851852,99.03935185185185]","[72.07792207792208,71.43869596031183,67.0994968349294,69.81981981981981]","[2038.8429493244698,2057.37194932447,2047.54894932447,1948.4539493244697]"
700,5167,4.813859610080753,451.0322588955902,6.050113362898587,1.0255467361558062,1.0594164583716048,0.38085034478584767,0.9883245256328452,0.42242655020724784,6,0.8181818181818182,4,"[3157.225812269131,3608.258071164721,3608.258071164721,3382.741941716926]","[10.20979020979021,13.144603934077619,11.727931982995749,12.133699633699633]","[0.0,0.43859649122807015,0.0,0.5555555555555556]","[59.35784113269119,207.2204509562498,193.93908642982618,202.4339624013039]","[1.5231481481481481,1.7407407407407407,1.7407407407407407,1.6319444444444444]","[0.0,0.0,0.0,0.0]","[0.7106481481481481,0.7430555555555556,0.6550925925925926,0.7731481481481481]","[9.954954954954955,12.815656565656568,11.763649425287355,13.397435897435898]","[97.32291666666666,97.29861111111111,97.54513888888889,97.4849537037037]","[76.47420147420146,71.54521510096576,75.5952380952381,73.12271062271063]","[3055.840914190335,3491.9109141903346,3423.398914190335,3477.876414190335]"
700,5167,1.3146192327376354,479.74818062065174,2.209741113258888,1.6145268784690734,1.866858260046375,0.10590504968379084,1.4562550806644048,0.47836096555769547,5,0.8181818181818182,5,"[1439.2445418619552,1439.2445418619552,1439.2445418619552,1439.2445418619552,1439.2445418619552]","[13.392857142857142,13.076923076923077,10.813654430675708,10.526315789473683,10.8999108999109]","[0.0,0.0,0.0,0.0,0.0]","[77.88924949767028,121.02893239026898,119.99097899204114,96.05563040100307,101.67737231771903]","[2.5347222222222223,2.5347222222222223,2.5347222222222223,2.5347222222222223,2.5347222222222223]","[0.0,1.1111111111111112,1.1176323676323676,0.0,1.5386343216531895]","[0.15162037037037035,0.21643518518518517,0.20023148148148148,0.15856481481481483,0.16435185185185186]","[12.01923076923077,12.31527093596059,14.393939393939394,13.33570412517781,13.423423423423424]","[97.3136574074074,97.24884259259258,97.2650462962963,97.30671296296296,97.30092592592592]","[75.0,73.57679914070891,71.27924340467894,73.02631578947368,70.77380952380952]","[1278.3782343644386,1396.2437343644388,1398.900734364439,1326.5322343644389,1315.9387343644387]"
700,5167,3.7477715243181704,467.8996990446368,4.803294623295264,0.3672748028680186,1.1646526199982299,0.41880146744598545,1.9419792441372958,0.9940425845533982,12,0.8181818181818182,5,"[2807.3981942678206,2807.3981942678206,2807.3981942678206,2807.3981942678206,2807.3981942678206]","[11.805555555555555,12.93103448275862,12.916666666666668,14.965034965034965,13.333333333333334]","[0.0,0.0,0.0,0.0,0.0]","[85.14389213142277,47.187799297215406,86.93346844891141,52.619198638334296,40.783860810454286]","[1.7361111111111112,1.7361111111111112,1.7384259259259258,1.7372685185185186,1.7361111111111112]","[0.0,0.0,0.0,0.0,0.0]","[0.22453703703703703,0.13310185185185186,0.29282407407407407,0.14699074074074076,0.09722222222222222]","[12.331932773109244,14.655172413793103,12.403846153846153,11.684782608695652,13.224043715846996]","[98.03819444444444,98.13078703703704,97.96527777777779,98.11342592592592,98.16666666666666]","[73.57142857142858,66.96914700544465,71.92307692307693,74.50592885375494,73.10734463276836]","[2519.30691918134,2439.055919181341,2552.3554191813405,2448.4509191813404,2410.3134191813406]"
700,5167,1.1347625846302747,280.99117961668924,6.391299073053875,0.6098292751712564,1.9213530782959292,0.16469642221800174,1.3631288963672632,0.3562155817813054,4,0.7272727272727273,3,"[3371.8941554002718,3371.8941554002718,3371.8941554002718]","[13.342491201904837,13.014755948013523,13.169091218003881]","[0.27484953347291413,0.19709962560780475,0.21442584949555438]","[9639.948436002003,8610.911811908105,10178.113555100601]","[6.888888888888889,6.888888888888889,6.888888888888889]","[0.707968989560733,0.8485544082404664,0.7648345845348272]","[21.914351851851855,19.71759259259259,24.899305555555557]","[14.057809617478387,13.909006886415806,13.83328722510009]","[71.19675925925927,73.39351851851852,68.21180555555554]","[71.79551394680024,72.06657003663165,72.0722052646037]","[29481.220055068028,27112.68155506807,31191.34805506793]"
700,5167,5.495742317212627,117.39313185063037,9.531799125071904,0.9837654449048816,1.1342307871357729,0.1493099571339372,0.4288218697085946,0.7293111896230906,9,0.6363636363636364,2,"[1702.2004118341404,2758.7385984898133]","[14.105134858850358,14.093529788597053]","[0.0,0.14792899408284024]","[455.75995655440624,590.370282102922]","[0.7152777777777777,1.1481481481481481]","[0.14792899408284024,0.29990467797341774]","[83.58564814814815,72.18287037037037]","[15.338000602228245,16.093350383631712]","[15.652777777777779,26.569444444444443]","[69.7850797952424,68.93137254901961]","[5835.734580034925,6232.191580034927]"
700,5167,9.21156250903093,378.31963313618473,1.1804049638747958,0.7895792050151464,0.8227864984906138,0.49122238466331114,1.1374864212616977,0.2614464919388929,2,0.8311688311688311,7,"[1134.9588994085543,945.7990828404619,1134.9588994085543,1134.9588994085543,945.7990828404619,756.6392662723695,945.7990828404619]","[12.771739130434781,13.060428849902532,13.750654793085385,12.916666666666668,12.164579606440071,14.030335861321777,9.338662790697676]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[115.7061739873954,70.6944780462945,107.74551977004089,126.60867654691197,99.37016349753398,31.361292573847862,84.59485980102728]","[0.2847222222222222,0.23726851851851852,0.2847222222222222,0.2847222222222222,0.23726851851851852,0.18981481481481483,0.23726851851851852]","[0.0,0.6578947368421052,1.3525780682643427,0.6756756756756757,1.2224209898628504,0.0,1.7217245240761478]","[0.3738425925925926,0.3599537037037037,0.3680555555555556,0.4872685185185185,0.34143518518518523,0.16435185185185183,0.32638888888888895]","[16.666666666666664,19.154135338345867,17.028985507246375,16.333333333333332,18.065268065268064,17.711598746081506,15.282392026578073]","[99.34143518518519,99.35532407407408,99.34722222222223,99.22800925925927,99.4212962962963,99.64583333333334,99.38888888888889]","[70.19927536231884,66.2280701754386,64.9616368286445,69.54700183294057,67.23214285714286,70.00971345313258,69.4813829787234]","[875.5233826605074,745.9868826605075,857.1228826605075,924.1913826605075,843.0513826605074,645.1573826605074,773.7438826605076]"
700,5167,5.578734102328571,492.017193710497,1.9482127223000372,0.33386504158151303,0.594985188757991,0.5477243407138613,1.009406348126362,0.3378054878511313,4,0.8181818181818182,4,"[1476.051581131491,1476.051581131491,1476.051581131491,1476.051581131491]","[15.471923536439665,13.860435339308578,13.80952380952381,9.953703703703702]","[0.0,0.0,0.0,0.0]","[46.54848132934166,56.304805011309554,55.10467342843777,38.70688537944136]","[0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112]","[0.0,0.0,0.0,0.0]","[0.2013888888888889,0.2465277777777778,0.23379629629629628,0.16550925925925927]","[14.285714285714285,17.64127764127764,15.504807692307693,12.5]","[99.1875,99.14236111111111,99.1550925925926,99.22337962962963]","[70.03367003367003,63.07759372275501,71.00840336134453,71.98275862068965]","[1055.481606704568,1097.019606704568,1083.4336067045683,1046.9316067045681]"
700,5167,0.01,202.8254697283086,14.552393746994134,0.9805770783939036,2.0,0.4670804111403325,0.7693653137222326,0.8885993681582312,7,0.9090909090909091,3,"[405.6509394566172,405.6509394566172,405.6509394566172]","[10.0,12.701612903225806,5.555555555555555]","[0.0,0.0,0.0]","[67.94918009008902,41.11191827406725,24.066352620611305]","[99.8738425925926,99.88773148148147,99.9375]","[0.0,0.0,0.0]","[0.12268518518518517,0.1099537037037037,0.05092592592592593]","[13.75,9.943181818181817,11.437908496732025]","[0.0023148148148148147,0.0023148148148148147,0.0023148148148148147]","[77.5,75.73529411764706,71.98275862068965]","[7181.854998553025,7105.700998553025,7046.109998553025]"
700,5167,7.072065758983585,345.386603277396,0.8256031595681272,1.2669065807962907,1.7301195457780267,0.29022534100540587,1.9688509191008585,0.2745325596277427,9,0.9090909090909091,6,"[690.773206554792,690.773206554792,690.773206554792,690.773206554792,690.773206554792,690.773206554792]","[9.761904761904763,15.476190476190474,12.202380952380953,12.701612903225806,14.459930313588849,13.333333333333334]","[0.0,0.0,0.0,0.0,0.0,0.0]","[20.567435138363166,20.643382858905053,45.87084374493998,27.724503122434605,50.2664490451324,38.01713874390444]","[0.22685185185185186,0.22685185185185186,0.22685185185185186,0.22685185185185186,0.22685185185185186,0.22685185185185186]","[0.0,0.0,0.0,0.0,0.0,0.0]","[0.034722222222222224,0.03819444444444445,0.08564814814814814,0.05092592592592592,0.09027777777777778,0.07291666666666667]","[13.392857142857142,20.0,17.708333333333332,12.701612903225806,13.240418118466899,18.88888888888889]","[99.73842592592592,99.7349537037037,99.6875,99.72222222222223,99.68287037037038,99.69907407407408]","[70.71428571428572,62.6984126984127,67.69746646795826,75.0,74.39024390243902,67.77777777777777]","[445.5310165923463,460.5080165923463,533.4935165923464,469.6980165923463,541.5800165923463,498.6645165923462]"
